Minerali,per porzione,% RDA
Calcio,"16,0 mg","1,6 %"
Rame,"1,5 mg","150,0 %"
Ferro,"6,0 mg","40,1 %"
Magnesio,"228,0 mg","76,0 %"
Manganese,"3,3 mg","163,2 %"
Fosforo,"570,0 mg","81,4 %"
Potassio,"390,0 mg","19,5 %"
Selenio,"< 0,1 mg","18,0 %"
Zinco,"3,4 mg","48,0 %"
