,0,1,2,3
1,Proteine(%): 20.9,,,
2,Lisina:,1902,9.03,
3,Istidina:,807,3.57,
4,Arginina:,1254,6.5,
5,Acido aspartico:,2027,9.77,
6,Treonina:,853,4.19,
7,Serina:,855,4.02,
8,Acido glutamico:,3563,16.95,
9,Prolina:,859,4.76,
10,Glicina:,1039,6.19,
11,Alanina:,1285,6.39,
12,Cistina:,228,1.15,
13,Valina:,1009,4.8,
14,Metionina:,600,2.8,
15,Isoleucina:,903,4.38,
16,Leucina:,1797,8.38,
17,Tirosina:,740,3.33,
18,Fenilalanina:,853,4.01,
19,Triptofano:,234,0.93,
20,Indice Chimico:,79,,
21,Aminoacido limitante:,Trip.,,
