Minerali,per porzione,% RDA
Calcio,"13,5 mg","1,4 %"
Rame,"< 0,1 mg","9,3 %"
Ferro,"1,6 mg","10,8 %"
Magnesio,"16,2 mg","5,4 %"
Manganese,"0,6 mg","31,9 %"
Fosforo,"58,1 mg","8,3 %"
Potassio,"47,3 mg","2,4 %"
Selenio,"< 0,1 mg","33,8 %"
Zinco,"0,7 mg","9,5 %"
