,0,1,2
1,Parte edibile (%):,100,
2,Acqua (g):,9.5,
3,Proteine (g):,36.9,
4,Lipidi(g):,19.1,
5,Colesterolo (mg):,0,
6,Carboidrati disponibili (g):,23.2,
7,Amido (g):,11.1,
8,Zuccheri solubili (g):,11,
9,Fibra totale (g):,11.9,
10,Fibra solubile (g):,,
11,Fibra insolubile (g):,,
12,Alcol (g):,0,
13,Energia (kcal):,407,
14,Energia (kJ):,1701,
15,Sodio (mg):,4,
16,Potassio (mg):,1740,
17,Ferro (mg):,6.9,
18,Calcio (mg):,257,
19,Fosforo (mg):,591,
20,Magnesio (mg):,,
21,Zinco (mg):,,
22,Rame (mg):,,
23,Selenio (µg):,,
24,Tiamina (mg):,0.99,
25,Riboflavina (mg):,0.52,
26,Niacina (mg):,2.5,
27,Vitamina A retinolo eq. (µg):,,
28,Vitamina C (mg):,tr,
29,Vitamina E (mg):,,
