Minerali,per porzione,% RDA
Calcio,"44,7 mg","4,5 %"
Rame,"0,2 mg","17,9 %"
Ferro,"0,6 mg","3,8 %"
Magnesio,"34,3 mg","11,4 %"
Manganese,"0,4 mg","19,9 %"
Fosforo,"87,4 mg","12,5 %"
Potassio,"614,6 mg","30,7 %"
Selenio,"< 0,1 mg","2,4 %"
Zinco,"0,2 mg","3,4 %"
