,0,1,2,3
1,Proteine(%): 12.4,,,
2,Lisina:,880,7.1,
3,Istidina:,298,2.4,
4,Arginina:,767,6.18,
5,Acido aspartico:,1209,9.75,
6,Treonina:,623,5.03,
7,Serina:,842,6.79,
8,Acido glutamico:,1508,12.16,
9,Prolina:,496,4,
10,Glicina:,416,3.35,
11,Alanina:,719,5.8,
12,Cistina:,323,2.61,
13,Valina:,823,6.63,
14,Metionina:,437,3.53,
15,Isoleucina:,657,5.3,
16,Leucina:,1041,8.4,
17,Tirosina:,503,4.06,
18,Fenilalanina:,662,5.34,
19,Triptofano:,197,1.59,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Lis.,,
