Valori nutrizionali,per porzione,% RDA
Valore calorico,365 kcal 1.528 kJ,"18,3 %"
Grassi,"9,1 g","14,0 %"
Grassi saturi,"3,1 g","14,0 %"
Grassi monoinsaturi,"3,8 g","12,9 %"
Grassi polinsaturi,"1,4 g","9,5 %"
Carboidrati,"59,7 g","22,3 %"
Zuccheri,"25,4 g","50,8 %"
Proteine,"10,6 g","14,5 %"
Fibre alimentari,"1,0 g","0,3 %"
Colesterolo,"221,0 mg","736,7 %"
Sodio,"0,1 g","< 0,1 %"
Acqua,"19,5 g","1,0 %"
