Minerali,per porzione,% RDA
Calcio,"6,9 mg","0,7 %"
Rame,"0,1 mg","13,3 %"
Ferro,"0,9 mg","6,0 %"
Magnesio,"13,8 mg","4,6 %"
Manganese,"0,3 mg","12,7 %"
Fosforo,"103,5 mg","14,8 %"
Potassio,"370,3 mg","18,5 %"
Selenio,"< 0,1 mg","19,2 %"
Zinco,"2,7 mg","38,8 %"
