Valori nutrizionali,per porzione,% RDA
Valore calorico,380 kcal 1.593 kJ,"19,0 %"
Grassi,"19,7 g","30,3 %"
Grassi saturi,"9,1 g","41,4 %"
Grassi monoinsaturi,"7,6 g","26,2 %"
Grassi polinsaturi,"2,0 g","13,5 %"
Carboidrati,"31,5 g","11,8 %"
Zuccheri,"6,0 g","11,9 %"
Proteine,"19,4 g","26,5 %"
Fibre alimentari,"3,7 g","1,2 %"
Colesterolo,"59,9 mg","199,5 %"
Sodio,"0,8 g","0,1 %"
Acqua,"59,3 g","3,0 %"
