,0,1,2,3
1,Proteine(%): 21,,,
2,Lisina:,1854,8.83,
3,Istidina:,774,3.69,
4,Arginina:,1466,6.98,
5,Acido aspartico:,2100,10,
6,Treonina:,1050,5,
7,Serina:,810,3.86,
8,Acido glutamico:,3550,16.9,
9,Prolina:,966,4.6,
10,Glicina:,1023,4.87,
11,Alanina:,1387,6.6,
12,Cistina:,171,0.81,
13,Valina:,1521,7.24,
14,Metionina:,386,1.84,
15,Isoleucina:,1071,5.1,
16,Leucina:,1953,9.3,
17,Tirosina:,788,3.75,
18,Fenilalanina:,1012,4.82,
19,Triptofano:,305,1.45,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Solf.,,
