Minerali,per porzione,% RDA
Calcio,"9,4 mg","0,9 %"
Rame,"0,1 mg","11,9 %"
Ferro,"2,4 mg","15,8 %"
Magnesio,"17,9 mg","6,0 %"
Manganese,"0,0 mg","0,0 %"
Fosforo,"164,9 mg","23,6 %"
Potassio,"278,8 mg","13,9 %"
Selenio,"< 0,1 mg","56,7 %"
Zinco,"3,9 mg","55,7 %"
