,0,1,2,3
1,Proteine(%): 22.2,,,
2,Lisina:,1814,8.17,
3,Istidina:,771,3.47,
4,Arginina:,1521,6.85,
5,Acido aspartico:,2123,9.56,
6,Treonina:,957,4.31,
7,Serina:,968,4.36,
8,Acido glutamico:,3375,15.2,
9,Prolina:,1121,5.05,
10,Glicina:,1385,6.24,
11,Alanina:,1398,6.3,
12,Cistina:,275,1.24,
13,Valina:,1117,5.03,
14,Metionina:,567,2.55,
15,Isoleucina:,1046,4.71,
16,Leucina:,1757,7.91,
17,Tirosina:,758,3.14,
18,Fenilalanina:,884,3.98,
19,Triptofano:,193,0.87,
20,Indice Chimico:,79,,
21,Aminoacido limitante:,Trip.,,
