Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (150 g),Yogurt,Fermented foods,Fermented milk products,Latticini
Grassi,0 g,0 g,"-100%2,69 g","-100%11,9 g","-100%11,9 g","-100%15,4 g"
- Acidi Grassi saturi,0 g,0 g,"-100%1,75 g","-100%7,9 g","-100%7,9 g","-100%9,61 g"
Carboidrati,4 g,6 g,"-67%12,3 g","-44%7,16 g","-44%7,16 g","-34%6,1 g"
- Zuccheri,4 g,6 g,"-65%11,4 g","-35%6,16 g","-35%6,16 g","-26%5,42 g"
Proteine,10 g,15 g,"+158%3,88 g",0%10 g,0%10 g,"+27%7,89 g"
Sale,"0,1 g","0,15 g","-12%0,113 g","-81%0,529 g","-81%0,529 g","-75%0,405 g"
Sodio,"0,039 g","0,059 g","-12%0,044 g","-81%0,208 g","-81%0,208 g","-75%0,159 g"
Nutrition score - France,-5,-5,"-337%2,11","-179%6,32","-179%6,32","-185%5,86"
Nutri-Score,A,A,C,C,C,C
