Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"1,1 mg","100,1 %"
Vitamina B11,"1,3 mg","318,0 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,2 mg","12,7 %"
Vitamina B3,"5,5 mg","34,3 %"
Vitamina B5,"3,0 mg","50,1 %"
Vitamina B6,"0,7 mg","51,2 %"
Vitamina C,"7,8 mg","9,8 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
