Valori nutrizionali,per porzione,% RDA
Valore calorico,174 kcal 730 kJ,"8,7 %"
Grassi,"4,5 g","7,0 %"
Grassi saturi,"1,1 g","4,8 %"
Grassi monoinsaturi,"0,9 g","3,2 %"
Grassi polinsaturi,"1,7 g","11,4 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"31,3 g","42,9 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"86,3 mg","287,7 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"125,1 g","6,3 %"
