Valori nutrizionali,per porzione,% RDA
Valore calorico,72 kcal 299 kJ,"3,6 %"
Grassi,"4,7 g","7,3 %"
Grassi saturi,"1,6 g","7,1 %"
Grassi monoinsaturi,"1,8 g","6,3 %"
Grassi polinsaturi,"1,0 g","6,3 %"
Carboidrati,"0,4 g","0,1 %"
Zuccheri,"0,2 g","0,4 %"
Proteine,"6,3 g","8,6 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"185,0 mg","616,7 %"
Sodio,"0,1 g","< 0,1 %"
Acqua,"37,9 g","1,9 %"
