Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Non-sugared beverages,Fruit juices and nectars,Succo e nettare,Fruit-based beverages,Plant-based beverages,Non-Alcoholic beverages,Bevande,Cibi e bevande a base vegetale
Grassi,0 g,"-100%0,29 g","-100%0,026 g","-100%0,03 g","-100%0,042 g","-100%0,874 g","-100%0,604 g","-100%0,527 g","-100%9,61 g"
- Acidi Grassi saturi,0 g,"-100%0,05 g","-100%0,005 g","-100%0,005 g","-100%0,008 g","-100%0,135 g","-100%0,133 g","-100%0,118 g","-100%2,12 g"
Carboidrati,9 g,"+59%5,66 g","-24%11,9 g",-25%12 g,"-24%11,9 g","-3%9,27 g","+8%8,35 g","-0%9,03 g","-79%43,9 g"
- Zuccheri,9 g,"+100%4,51 g","-20%11,2 g","-20%11,2 g","-20%11,2 g","+11%8,14 g","+20%7,52 g","+12%8,07 g","+2%8,81 g"
Proteine,"0,6 g","+18%0,51 g","+95%0,307 g","+106%0,291 g","+127%0,264 g","-28%0,838 g","-21%0,761 g","-19%0,745 g",-91%7 g
Sale,0 g,"-100%0,031 g","-100%0,007 g","-100%0,007 g","-100%0,006 g","-100%0,05 g","-100%0,177 g","-100%0,136 g","-100%0,533 g"
Sodio,0 g,"-100%0,012 g","-100%0,003 g","-100%0,003 g","-100%0,002 g","-100%0,02 g","-100%0,07 g","-100%0,054 g","-100%0,21 g"
Vitamina C (Acido ascorbico),30 mg,?,?,?,?,?,?,?,?
Nutrition score - France,2,"-47%3,8","-79%9,42","-80%9,8","-81%10,5","-65%5,75","-68%6,33","-71%6,99","-48%3,87"
Nutri-Score,C,C,E,E,E,D,D,D,C
