Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Yogurt alla frutta,Yogurt,Fermented foods,Fermented milk products,Latticini
Grassi,"3,8 g","+31%2,91 g","+41%2,69 g","-68%11,9 g","-68%11,9 g","-75%15,4 g"
- Acidi Grassi saturi,"2,2 g","+22%1,81 g","+26%1,75 g","-72%7,9 g","-72%7,9 g","-77%9,61 g"
Carboidrati,13 g,"+1%12,9 g","+6%12,3 g","+82%7,16 g","+82%7,16 g","+113%6,1 g"
- Zuccheri,11 g,"-10%12,2 g","-4%11,4 g","+79%6,16 g","+79%6,16 g","+103%5,42 g"
Proteine,"3,2 g","-3%3,3 g","-18%3,88 g",-68%10 g,-68%10 g,"-59%7,89 g"
Sale,"0,13 g","+12%0,116 g","+15%0,113 g","-75%0,529 g","-75%0,529 g","-68%0,405 g"
Sodio,"0,051 g","+12%0,046 g","+15%0,044 g","-75%0,208 g","-75%0,208 g","-68%0,159 g"
"Fruits, vegetables and nuts (estimate from ingredients list)","4,2 %",?,?,?,?,?
Nutrition score - France,4,"+29%3,1","+90%2,11","-37%6,32","-37%6,32","-32%5,86"
Nutri-Score,C,C,C,C,C,C
