,0,1,2,3
1,Proteine(%): 30.5,,,
2,Lisina:,2622,8.6,
3,Istidina:,923,3.03,
4,Arginina:,1914,6.28,
5,Acido aspartico:,3069,10.07,
6,Treonina:,1259,4.13,
7,Serina:,1226,4.02,
8,Acido glutamico:,4944,16.22,
9,Prolina:,1320,4.33,
10,Glicina:,1740,5.71,
11,Alanina:,1960,6.43,
12,Cistina:,317,1.04,
13,Valina:,1679,5.51,
14,Metionina:,835,2.74,
15,Isoleucina:,1591,5.22,
16,Leucina:,2640,8.66,
17,Tirosina:,1030,3.38,
18,Fenilalanina:,1210,3.97,
19,Triptofano:,302,0.99,
20,Indice Chimico:,90,,
21,Aminoacido limitante:,Trip.,,
