Valori nutrizionali,per porzione,% RDA
Valore calorico,213 kcal 891 kJ,"10,6 %"
Grassi,"12,1 g","18,6 %"
Grassi saturi,"4,5 g","20,7 %"
Grassi monoinsaturi,"5,4 g","18,6 %"
Grassi polinsaturi,"1,0 g","6,9 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"24,2 g","33,2 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"71,2 mg","237,3 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"51,9 g","2,6 %"
