,0,1,2,3
1,Proteine(%): 30.1,,,
2,Lisina:,2561,8.51,
3,Istidina:,1050,3.49,
4,Arginina:,1818,6.04,
5,Acido aspartico:,3097,10.29,
6,Treonina:,1330,4.42,
7,Serina:,1267,4.21,
8,Acido glutamico:,4611,15.32,
9,Prolina:,1327,4.41,
10,Glicina:,1511,5.02,
11,Alanina:,1836,6.1,
12,Cistina:,403,1.34,
13,Valina:,1718,5.71,
14,Metionina:,807,2.68,
15,Isoleucina:,1556,5.17,
16,Leucina:,2381,7.91,
17,Tirosina:,1011,3.36,
18,Fenilalanina:,1167,3.88,
19,Triptofano:,316,1.05,
20,Indice Chimico:,95,,
21,Aminoacido limitante:,Trip.,,
