Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,1 mg","9,1 %"
Vitamina B11,"0,0 mg","0,0 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"< 0,1 mg","4,1 %"
Vitamina B3,"0,6 mg","3,8 %"
Vitamina B5,"0,3 mg","4,9 %"
Vitamina B6,"0,1 mg","8,6 %"
Vitamina C,"1,3 mg","1,6 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"4,5 mg","37,3 %"
Vitamina K,"0,0 mg","0,0 %"
