Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,3 mg","31,3 %"
Vitamina B11,"0,1 mg","30,4 %"
Vitamina B12,"0,0 mg","0,0 %"
Vitamina B2,"0,1 mg","8,9 %"
Vitamina B3,"1,0 mg","6,5 %"
Vitamina B5,"0,4 mg","6,5 %"
Vitamina B6,"0,2 mg","16,3 %"
Vitamina C,"2,8 mg","3,5 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
