,0,1,2,3
1,Proteine(%): 9.2,,,
2,Lisina:,261,2.84,
3,Istidina:,268,2.91,
4,Arginina:,430,4.67,
5,Acido aspartico:,599,6.51,
6,Treonina:,342,3.72,
7,Serina:,475,5.16,
8,Acido glutamico:,1820,19.78,
9,Prolina:,880,9.57,
10,Glicina:,347,3.77,
11,Alanina:,720,7.83,
12,Cistina:,204,2.22,
13,Valina:,482,5.24,
14,Metionina:,194,2.11,
15,Isoleucina:,357,3.88,
16,Leucina:,1168,12.7,
17,Tirosina:,351,3.82,
18,Fenilalanina:,481,5.23,
19,Triptofano:,63,0.68,
20,Indice Chimico:,49,,
21,Aminoacido limitante:,Lis.,,
