Informazioni nutrizionali,Come vendutoper 100 g / 100 ml
Grassi,"27,2 g"
- Acidi Grassi saturi,"14,4 g"
Carboidrati,"44,2 g"
- Zuccheri,"33,4 g"
Fibra alimentare,0 g
Proteine,5 g
Sale,"0,54 g"
Sodio,"0,213 g"
Nutrition score - France,24
Nutri-Score,E
