Valori nutrizionali,per porzione,% RDA
Valore calorico,60 kcal 251 kJ,"3,0 %"
Grassi,"1,4 g","2,1 %"
Grassi saturi,"0,9 g","3,9 %"
Grassi monoinsaturi,"0,4 g","1,4 %"
Grassi polinsaturi,"< 0,1 g","0,5 %"
Carboidrati,"10,5 g","3,9 %"
Zuccheri,"9,5 g","18,9 %"
Proteine,"1,3 g","1,8 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"5,5 mg","18,4 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"5,5 g","0,3 %"
