Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (125 g),Yogurt,Fermented foods,Fermented milk products,Latticini
Grassi,"4,1 g","5,12 g","+52%2,69 g","-66%11,9 g","-66%11,9 g","-73%15,4 g"
- Acidi Grassi saturi,"2,5 g","3,12 g","+43%1,75 g","-68%7,9 g","-68%7,9 g","-74%9,61 g"
Carboidrati,"15,5 g","19,4 g","+26%12,3 g","+116%7,16 g","+116%7,16 g","+154%6,1 g"
- Zuccheri,"15,2 g",19 g,"+33%11,4 g","+147%6,16 g","+147%6,16 g","+180%5,42 g"
Fibra alimentare,"0,2 g","0,25 g","-27%0,275 g","-2%0,205 g","-2%0,205 g","+50%0,133 g"
Proteine,"3,9 g","4,88 g","+1%3,88 g",-61%10 g,-61%10 g,"-51%7,89 g"
Sale,"0,13 g","0,162 g","+15%0,113 g","-75%0,529 g","-75%0,529 g","-68%0,405 g"
Sodio,"0,051 g","0,064 g","+15%0,044 g","-75%0,208 g","-75%0,208 g","-68%0,159 g"
Nutrition score - France,4,4,"+90%2,11","-37%6,32","-37%6,32","-32%5,86"
Nutri-Score,C,C,C,C,C,C
