,0,1,2,3
1,Proteine(%): 19,,,
2,Lisina:,1424,7.49,
3,Istidina:,535,2.82,
4,Arginina:,667,3.51,
5,Acido aspartico:,1245,6.55,
6,Treonina:,632,3.33,
7,Serina:,894,4.71,
8,Acido glutamico:,4151,21.85,
9,Prolina:,1742,9.17,
10,Glicina:,374,1.97,
11,Alanina:,540,2.84,
12,Cistina:,88,0.46,
13,Valina:,1187,6.25,
14,Metionina:,566,2.98,
15,Isoleucina:,955,5.03,
16,Leucina:,1690,8.89,
17,Tirosina:,987,5.19,
18,Fenilalanina:,901,4.74,
19,Triptofano:,229,1.21,
20,Indice Chimico:,98,,
21,Aminoacido limitante:,Treo.,,
