Minerali,per porzione,% RDA
Calcio,"43,6 mg","4,4 %"
Rame,"0,2 mg","21,8 %"
Ferro,"2,2 mg","14,5 %"
Magnesio,"87,1 mg","29,0 %"
Manganese,"< 0,1 mg","3,0 %"
Fosforo,"1.120,7 mg","160,1 %"
Potassio,"1.698,8 mg","84,9 %"
Selenio,"0,1 mg","481,8 %"
Zinco,"1,9 mg","26,6 %"
