,0,1,2,3
1,Proteine(%): 24,,,
2,Lisina:,1936,8.07,
3,Istidina:,799,3.33,
4,Arginina:,1633,6.81,
5,Acido aspartico:,2250,9.38,
6,Treonina:,992,4.13,
7,Serina:,,,
8,Acido glutamico:,3860,16.08,
9,Prolina:,1416,5.9,
10,Glicina:,2105,8.77,
11,Alanina:,1718,7.16,
12,Cistina:,218,0.91,
13,Valina:,1161,4.84,
14,Metionina:,581,2.42,
15,Isoleucina:,1101,4.59,
16,Leucina:,1827,7.61,
17,Tirosina:,786,3.28,
18,Fenilalanina:,968,4.03,
19,Triptofano:,206,0.86,
20,Indice Chimico:,82,,
21,Aminoacido limitante:,Trip.,,
