,0,1,2,3
1,Proteine(%): 4.6,,,
2,Lisina:,210,4.57,
3,Istidina:,74,1.61,
4,Arginina:,182,3.96,
5,Acido aspartico:,504,10.96,
6,Treonina:,131,2.85,
7,Serina:,149,3.24,
8,Acido glutamico:,968,21.04,
9,Prolina:,265,5.76,
10,Glicina:,158,3.43,
11,Alanina:,265,5.76,
12,Cistina:,42,0.91,
13,Valina:,173,3.76,
14,Metionina:,61,1.33,
15,Isoleucina:,120,2.61,
16,Leucina:,210,4.57,
17,Tirosina:,96,2.09,
18,Fenilalanina:,120,2.61,
19,Triptofano:,55,1.2,
20,Indice Chimico:,69,,
21,Aminoacido limitante:,Leu.,,
