,0,1,2,3
1,Proteine(%): 11,,,
2,Lisina:,855,7.77,
3,Istidina:,228,2.07,
4,Arginina:,659,5.99,
5,Acido aspartico:,1010,9.18,
6,Treonina:,501,4.55,
7,Serina:,535,4.86,
8,Acido glutamico:,1984,18.04,
9,Prolina:,535,4.86,
10,Glicina:,507,4.61,
11,Alanina:,619,5.63,
12,Cistina:,196,1.54,
13,Valina:,620,5.64,
14,Metionina:,337,3.06,
15,Isoleucina:,568,5.16,
16,Leucina:,862,7.84,
17,Tirosina:,389,3.54,
18,Fenilalanina:,480,4.36,
19,Triptofano:,143,1.3,
20,Indice Chimico:,100,,
21,Aminoacido limitante:,Ist.,,
