Valori nutrizionali,per porzione,% RDA
Valore calorico,79 kcal 332 kJ,"4,0 %"
Grassi,"4,5 g","6,9 %"
Grassi saturi,"2,0 g","8,9 %"
Grassi monoinsaturi,"1,9 g","6,6 %"
Grassi polinsaturi,"0,3 g","2,1 %"
Carboidrati,"7,0 g","2,6 %"
Zuccheri,"5,7 g","11,5 %"
Proteine,"2,7 g","3,8 %"
Fibre alimentari,"0,8 g","0,3 %"
Colesterolo,"0,2 mg","0,5 %"
Sodio,"< 0,1 g","< 0,1 %"
Acqua,"0,4 g","< 0,1 %"
