Minerali,per porzione,% RDA
Calcio,"4,2 mg","0,4 %"
Rame,"0,2 mg","21,2 %"
Ferro,"1,0 mg","6,5 %"
Magnesio,"125,0 mg","41,7 %"
Manganese,"0,5 mg","25,4 %"
Fosforo,"265,7 mg","38,0 %"
Potassio,"308,7 mg","15,4 %"
Selenio,"< 0,1 mg","27,7 %"
Zinco,"1,9 mg","26,9 %"
