,0,1,2,3
1,Proteine(%): 13.7,,,
2,Lisina:,972,7.12,
3,Istidina:,367,2.69,
4,Arginina:,859,6.28,
5,Acido aspartico:,1260,9.23,
6,Treonina:,558,4.09,
7,Serina:,595,4.36,
8,Acido glutamico:,2060,15.09,
9,Prolina:,950,6.96,
10,Glicina:,1170,8.57,
11,Alanina:,891,6.53,
12,Cistina:,109,0.8,
13,Valina:,730,5.35,
14,Metionina:,314,2.3,
15,Isoleucina:,606,4.4,
16,Leucina:,1033,7.57,
17,Tirosina:,457,3.35,
18,Fenilalanina:,549,4.02,
19,Triptofano:,98,0.72,
20,Indice Chimico:,65,,
21,Aminoacido limitante:,Trip.,,
