0,1
Grassi saturi totali,0.11
C4:0\÷C10:0 (laurico),0.00
C12:0 (laurico),
C14:0 (miristico),
C16:0 (palmitico),0.09
C18:0 (stearico),0.01
C20:0 (arachidico),
C22:0 (beenico),
Grassi monoinsaturi totali,0.37
C14:1 (miristoleico),
C16:1 (palmitoleico),8.00
C18:1 (oleico),0.36
C20:1 (eicosaenoico),
C22:1 (erucico),
Grassi polinsaturi totali,0.49
C18:2 W6 (linoleico),0.48
C18:3 W3 (linolenico),0.01
C20:4 W6 (arachidonico),0.03
C20:5 W3 (eicosapentaenoico - EPA),
C22:6 W3 (docosaesaenoico - DHA),
Rapporto Polinsaturi/Saturi,4.40
