Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (30 g)
Grassi,"8,6 g","2,58 g"
- Acidi Grassi saturi,1 g,"0,3 g"
Carboidrati,"3,8 g","1,14 g"
- Zuccheri,"0,3 g","0,09 g"
Fibra alimentare,"2,6 g","0,78 g"
Proteine,"5,7 g","1,71 g"
Sale,"2,159 g","0,648 g"
Sodio,"0,85 g","0,255 g"
Nutrition score - France,5,5
Nutri-Score,C,C
