Valori nutrizionali,per porzione,% RDA
Valore calorico,298 kcal 1.246 kJ,"14,9 %"
Grassi,"15,4 g","23,7 %"
Grassi saturi,"2,2 g","10,1 %"
Grassi monoinsaturi,"3,4 g","11,7 %"
Grassi polinsaturi,"8,7 g","58,1 %"
Carboidrati,"17,1 g","6,4 %"
Zuccheri,"5,2 g","10,3 %"
Proteine,"28,6 g","39,2 %"
Fibre alimentari,"10,3 g","3,4 %"
Colesterolo,"0,0 mg","0,0 %"
Sodio,"0,4 g","< 0,1 %"
Acqua,"107,6 g","5,4 %"
