Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Come vendutoper porzione (46 g),Gelato,Gelato e Sorbetto,Frozen desserts,Desserts,Frozen foods
Grassi,22 g,"10,1 g",+47%15 g,"+64%13,4 g","+72%12,8 g","+110%10,5 g","+114%10,3 g"
- Acidi Grassi saturi,12 g,"5,52 g","+15%10,4 g","+32%9,07 g","+38%8,67 g","+78%6,74 g","+119%5,48 g"
Carboidrati,29 g,"13,3 g","-7%31,1 g","-8%31,6 g","-11%32,5 g","-2%29,6 g","+2%28,4 g"
- Zuccheri,27 g,"12,4 g","+7%25,3 g","+10%24,6 g",+8%25 g,"+22%22,2 g","+160%10,4 g"
Proteine,"4,1 g","1,89 g","+1%4,04 g","+7%3,83 g","+9%3,76 g","+12%3,66 g","-46%7,65 g"
Sale,"0,1 g","0,046 g","-40%0,167 g","-39%0,163 g","-38%0,16 g","-26%0,135 g","-88%0,814 g"
Sodio,"0,039 g","0,018 g","-40%0,066 g","-39%0,064 g","-38%0,063 g","-26%0,053 g","-88%0,32 g"
Nutrition score - France,19,19,"+15%16,5",+27%15,"+29%14,7","+67%11,4","+99%9,54"
Nutri-Score,E,E,D,D,D,D,C
