0,1
Grassi saturi totali,13.91
C4:0\÷C10:0 (laurico),2.02
C12:0 (laurico),0.77
C14:0 (miristico),2.47
C16:0 (palmitico),5.72
C18:0 (stearico),2.47
C20:0 (arachidico),0.00
C22:0 (beenico),0.00
Grassi monoinsaturi totali,7.41
C14:1 (miristoleico),0.31
C16:1 (palmitoleico),0.59
C18:1 (oleico),6.12
C20:1 (eicosaenoico),0.00
C22:1 (erucico),0.00
Grassi polinsaturi totali,0.64
C18:2 W6 (linoleico),0.31
C18:3 W3 (linolenico),0.33
C20:4 W6 (arachidonico),0.00
C20:5 W3 (eicosapentaenoico - EPA),0.00
C22:6 W3 (docosaesaenoico - DHA),0.00
Rapporto Polinsaturi/Saturi,0.00
