,0,1,2,3
1,Proteine(%): 5.5,,,
2,Lisina:,348,6.33,
3,Istidina:,85,1.55,
4,Arginina:,934,16.98,
5,Acido aspartico:,494,8.98,
6,Treonina:,310,5.64,
7,Serina:,265,4.81,
8,Acido glutamico:,901,16.38,
9,Prolina:,224,4.08,
10,Glicina:,208,3.78,
11,Alanina:,345,6.28,
12,Cistina:,57,1.03,
13,Valina:,226,4.11,
14,Metionina:,38,0.69,
15,Isoleucina:,201,3.65,
16,Leucina:,342,6.22,
17,Tirosina:,139,2.53,
18,Fenilalanina:,206,3.75,
19,Triptofano:,54,0.98,
20,Indice Chimico:,69,,
21,Aminoacido limitante:,Solf.,,
