Minerali,per porzione,% RDA
Calcio,"27,1 mg","2,7 %"
Rame,"1,2 mg","121,7 %"
Ferro,"1,5 mg","9,8 %"
Magnesio,"35,0 mg","11,7 %"
Manganese,"0,3 mg","13,8 %"
Fosforo,"27,8 mg","4,0 %"
Potassio,"169,9 mg","8,5 %"
Selenio,"< 0,1 mg","36,2 %"
Zinco,"1,8 mg","25,8 %"
