Minerali,per porzione,% RDA
Calcio,"13,2 mg","1,3 %"
Rame,"< 0,1 mg","0,6 %"
Ferro,"0,4 mg","2,6 %"
Magnesio,"14,7 mg","4,9 %"
Manganese,"0,2 mg","8,6 %"
Fosforo,"26,5 mg","3,8 %"
Potassio,"104,4 mg","5,2 %"
Selenio,"< 0,1 mg","0,5 %"
Zinco,"0,2 mg","2,5 %"
