,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,55%,-
2,Acqua,"78,50g",-
3,Carboidrati disponibili,"0,90g",-
4,Carboidrati complessi,0,-
5,Zuccheri solubili,"0,90g",-
6,Proteine,"17,90g",-
7,Grassi (Lipidi),"0,50g",-
8,Saturi totali,,-
9,Monoinsaturi totali,,-
10,Polinsaturi totali,,-
11,Colesterolo,,-
12,Fibra totale,0,-
13,Fibra solubile,0,-
14,Fibra insolubile,0,-
15,Alcol (g),0,-
16,Sodio,80mg,5.33% RDA
17,Potassio,245mg,5.21% RDA
18,Ferro,1mg,12.50% RDA
19,Calcio,31mg,3.10% RDA
20,Fosforo,218mg,31.14% RDA
21,Magnesio,ND,-
22,Zinco,ND,-
23,Rame,ND,-
24,Selenio,ND,-
25,Tiamina (Vit. B1),"0,06mg",5% RDA
26,Riboflavina (Vit. B2),"0,15mg",11.54% RDA
27,Niacina (Vit. B3 o PP),ND,-
28,Vitamina A retinolo eq.,18µg,2% RDA
29,Vitamina C,Tracce,0% RDA
30,Vitamina E,ND,-
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
