Informazioni nutrizionali,Come vendutoper 100 g / 100 ml,Yogurt,Fermented foods,Fermented milk products,Latticini
Grassi,"3,4 g","+26%2,69 g","-71%11,9 g","-71%11,9 g","-78%15,4 g"
- Acidi Grassi saturi,"2,4 g","+37%1,75 g","-70%7,9 g","-70%7,9 g","-75%9,61 g"
Carboidrati,17 g,"+38%12,3 g","+137%7,16 g","+137%7,16 g","+179%6,1 g"
- Zuccheri,16 g,"+40%11,4 g","+160%6,16 g","+160%6,16 g","+195%5,42 g"
Proteine,"2,9 g","-25%3,88 g",-71%10 g,-71%10 g,"-63%7,89 g"
Sale,"0,1 g","-12%0,113 g","-81%0,529 g","-81%0,529 g","-75%0,405 g"
Sodio,"0,039 g","-12%0,044 g","-81%0,208 g","-81%0,208 g","-75%0,159 g"
Nutrition score - France,5,"+137%2,11","-21%6,32","-21%6,32","-15%5,86"
Nutri-Score,C,C,C,C,C
