,0,1,2
0,Composizione chimica,valore per 100g,RDA (%)
1,Parte edibile,100%,-
2,Acqua,"71,90g",-
3,Carboidrati disponibili,"15,90g",-
4,Carboidrati complessi,"13,50g",-
5,Zuccheri solubili,1g,-
6,Proteine,"6,70g",-
7,Grassi (Lipidi),"0,50g",-
8,Saturi totali,,-
9,Monoinsaturi totali,,-
10,Polinsaturi totali,,-
11,Colesterolo,0,-
12,Fibra totale,"5,50g",-
13,Fibra solubile,"0,90g",-
14,Fibra insolubile,"4,58g",-
15,Alcol (g),0,-
16,Sodio,294mg,19.60% RDA
17,Potassio,234mg,4.98% RDA
18,Ferro,"2,20mg",27.50% RDA
19,Calcio,31mg,3.10% RDA
20,Fosforo,102mg,14.57% RDA
21,Magnesio,ND,-
22,Zinco,"0,80mg",7.27% RDA
23,Rame,"0,20mg",20% RDA
24,Selenio,6µg,10.91% RDA
25,Tiamina (Vit. B1),ND,-
26,Riboflavina (Vit. B2),ND,-
27,Niacina (Vit. B3 o PP),ND,-
28,Vitamina A retinolo eq.,ND,-
29,Vitamina C,0mg,0% RDA
30,Vitamina E,ND,-
31,Vitamina B6,ND,-
32,Vitamina B12,ND,-
33,Manganese,ND,-
