Minerali,per porzione,% RDA
Calcio,"0,9 mg","< 0,1 %"
Rame,"< 0,1 mg","0,3 %"
Ferro,"< 0,1 mg","0,1 %"
Magnesio,"0,3 mg","0,1 %"
Manganese,"< 0,1 mg","< 0,1 %"
Fosforo,"2,3 mg","0,3 %"
Potassio,"4,7 mg","0,2 %"
Selenio,"< 0,1 mg","1,3 %"
Zinco,"< 0,1 mg","0,2 %"
