Minerali,per porzione,% RDA
Calcio,"5,6 mg","0,6 %"
Rame,"< 0,1 mg","2,9 %"
Ferro,"0,3 mg","1,8 %"
Magnesio,"5,6 mg","1,9 %"
Manganese,"< 0,1 mg","2,9 %"
Fosforo,"15,4 mg","2,2 %"
Potassio,"40,6 mg","2,0 %"
Selenio,"< 0,1 mg","64,2 %"
Zinco,"0,2 mg","2,6 %"
