Minerali,per porzione,% RDA
Calcio,"45,9 mg","4,6 %"
Rame,"0,9 mg","94,4 %"
Ferro,"31,6 mg","210,8 %"
Magnesio,"51,0 mg","17,0 %"
Manganese,"0,4 mg","18,4 %"
Fosforo,"739,5 mg","105,6 %"
Potassio,"453,9 mg","22,7 %"
Selenio,"0,6 mg","1.859,8 %"
Zinco,"9,7 mg","138,4 %"
