,0,1,2,3,4,5
1,Categoria merceologica: 2011 - alghe,,,,,
2,Componenti Alimentari,Valore,Fonte,Codice,Classe,Note
3,Contenuti in 100 g / unità,,,,,
4,COMPONENTI PRINCIPALI,,,,,
5,"Parte edibile, %",100,09,340,,
6,"Energia, ricalcolata, kJ",577,86,,,
7,"Energia, Ric con fibra, kJ",933,86,,,
8,"Energia, ricalcolata, kcal",136,86,,,
9,"Energia, Ric con fibra, kcal",225,86,,,
10,"Proteine totali, g",30.7,09,340,,
11,"Proteine animali, g",0.0,09,340,,
12,"Proteine vegetali, g",30.7,09,340,,
13,"Lipidi totali, g",1.5,09,340,,
14,"Lipidi animali, g",0.0,09,340,,
15,"Lipidi vegetali, g",1.5,09,340,,
16,"Colesterolo, mg",0,09,340,,
17,"Carboidrati disponibili (MSE), g",tr,09,340,,
18,"Amido (MSE), g",0.0,09,340,,
19,"Carboidrati solubili (MSE), g",tr,09,340,,
20,"Fibra alimentare totale, g",44.4,09,340,,metodo Englyst
21,"Alcol, g",0.0,09,340,,
22,"Acqua, g",8.7,09,340,,
23,MINERALI ed ELEMENTI IN TRACCIA,,,,,
24,"Ferro, mg",19.6,09,340,,
25,"Calcio, mg",430,09,340,,
26,"Sodio, mg",790,09,340,,
27,"Potassio, mg",2840,09,340,,
28,"Fosforo, mg",350,09,340,,
29,"Zinco, mg",6.40,09,340,,
30,VITAMINE IDROSOLUBILI,,,,,
31,"Vitamina B1, Tiamina, mg",0.24,09,340,,
32,"Vitamina B2, Riboflavina, mg",1.34,09,340,,
33,"Vitamina C, mg",14,09,340,,
34,"Niacina, mg",5.50,09,340,,
35,"Vitamina B6, mg",0.07,09,340,,
36,"Folati totali, µg",146,21,11446,,"per i nutrienti 21/11446 ALIMENTO SIMILE Sea weed, laver, raw (Porphyra lao) acqua=85.03g, lip=0.28g"
37,VITAMINE LIPOSOLUBILI,,,,,
38,Retinolo equivalente,,,,,
39,"Retinolo eq. (RE), µg",2485,09,340,,CALC
40,"Retinolo, µg",0,09,340,,
41,"ß-carotene eq., µg",14910,09,340,,
42,"Vitamina E (ATE), mg",1.00,21,11446,,
43,"Vitamina D, µg",0.00,09,340,,
44,ACIDI GRASSI,,,,,
45,"Acidi grassi saturi totali, g",0.33,21,11446,,RIPR lip=0.28g saturi=0.061g 18:1=0.008g mono=0.025g 18:2=0.004g 18:3=0.001g altri PUFA=0.105g PUFA=0.11g
46,"Acidi grassi monoinsaturi totali, g",0.13,21,11446,,
47,"Acido oleico, g",0.04,21,11446,,
48,"Acidi grassi polinsaturi totali, g",0.59,21,11446,,
49,"Acido linoleico, g",0.02,21,11446,,
50,"Acido linolenico, g",0.01,21,11446,,
51,"Altri acidi grassi polinsaturi, g",0.56,86,,,
