Vitamine,per porzione,% RDA
Vitamina A,"0,0 mg","0,0 %"
Vitamina B1,"0,1 mg","13,4 %"
Vitamina B11,"< 0,1 mg","3,1 %"
Vitamina B12,"< 0,1 mg","616,0 %"
Vitamina B2,"0,9 mg","66,0 %"
Vitamina B3,"17,1 mg","107,2 %"
Vitamina B5,"2,7 mg","45,0 %"
Vitamina B6,"0,1 mg","8,8 %"
Vitamina C,"154,9 mg","193,7 %"
Vitamina D,"0,0 mg","0,0 %"
Vitamina E,"0,0 mg","0,0 %"
Vitamina K,"0,0 mg","0,0 %"
