Valori nutrizionali,per porzione,% RDA
Valore calorico,1.028 kcal 4.305 kJ,"51,4 %"
Grassi,"63,9 g","98,3 %"
Grassi saturi,"17,9 g","81,4 %"
Grassi monoinsaturi,"22,2 g","76,4 %"
Grassi polinsaturi,"15,8 g","105,3 %"
Carboidrati,"0,0 g","0,0 %"
Zuccheri,"0,0 g","0,0 %"
Proteine,"113,7 g","155,8 %"
Fibre alimentari,"0,0 g","0,0 %"
Colesterolo,"389,6 mg","1.298,6 %"
Sodio,"0,2 g","< 0,1 %"
Acqua,"271,8 g","13,6 %"
