name,biotina | mcg,folati totali | mcg,iodio | mcg,selenio | mcg,vitamina b12 | mcg,vitamina d | mcg,vitamina k | mcg,acidi grassi monoinsaturi totali | g,acidi grassi polinsaturi totali | g,acidi grassi saturi totali | g,acido arachidonico | g,acido aspartico | mg,acido beenico | g,acido decosaesaenoico (dha) | g,acido eicosapentaenoico (epa) | g,acido erucico | g,acido glutammico | mg,acido laurico | g,acido linoleico | g,acido linolenico | g,acido miristico | g,acido miristoleico | g,acido oleico | g,acido palmitico | g,acido palmitoleico | g,acido pantotenico | mg,acido stearico | g,acqua | g,alcol | g,altri acidi grassi polinsaturi | g,arginina | mg,calcio | mg,cistina | mg,cloro | mg,colesterolo | mg,fenilalanina | mg,fibra alimentare totale | g,fosforo | mg,fruttosio | g,galattosio | g,glicina | mg,glucosio | g,lattosio (mse) | g,lipidi totali | g,magnesio | mg,maltosio (mse) | g,manganese | mg,niacina | mg,parte edibile | %,prolina | mg,proteine totali | g,saccarosio (mse) | g,serina | mg,sodio | mg,tirosina | mg,treonina | mg,vitamina b6 | mg,vitamina c | mg,zinco | mg,zolfo | mg,acido eicosenoico | g,acido arachico | g,amido (mse) | g,carboidrati solubili (mse) | g,lipidi animali | g,lipidi vegetali | g,proteine animali | g,proteine vegetali | g,ferro | mg,potassio | mg,isoleucina | mg,leucina | mg,metionina | mg,valina | mg,istidina | mg,triptofano | mg,rame | mg,lisina | mg,alanina | mg,tiamina (vit. b1) | mg,riboflavina (vit. b2) | mg,"vitamina e, aggiunta | mg",ß-carotene equivalente | mcg,"somma degli acidi butirrico, caproico, caprilico e caprico | g","calorie, ricalcolata con fibra | kcal","calorie, ricalcolata | kcal",retinolo equivalente | mcg,Carboidrati disponibili | g
marsala all'uovo,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,72.8,14.8,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.7,0.0,0.0,4.8,0.0,0.0,11.0,0.0,0.0,0.0,100.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0,0.01,0.0,0.0,25.0,0.0,0.0,0.0,12.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,150.0,0.0,12.4
"suino, cuore",5.1,3.0,3.0,6.0,10.0,0.85,0.0,2.2,2.42,2.5,0.58,1501.0,0.0,0.0,0.0,0.0,2406.0,0.02,1.66,0.17,0.17,0.0,1.94,1.27,0.22,3.2,0.97,72.0,0.0,0.0,1157.0,35.0,183.0,139.0,79.0,847.0,0.0,245.0,0.0,0.0,934.0,0.4,0.0,9.4,25.0,0.0,0.03,6.1,100.0,0.0,18.3,0.0,861.0,80.0,633.0,842.0,0.37,5.0,2.3,130.0,0.04,0.0,0.0,0.4,9.4,0.0,18.3,0.0,5.3,300.0,896.0,1628.0,417.0,1039.0,452.0,223.0,0.47,1554.0,1244.0,0.4,1.27,0.47,0.0,0.0,159.0,159.0,9.0,0.4
"cavallo, senza grasso visibile",2.6,8.0,5.0,3.0,2.1,0.6,0.0,2.68,1.09,2.01,0.06,1770.0,0.0,0.0,0.0,0.0,2830.0,0.01,0.68,0.32,0.22,0.02,1.97,1.54,0.59,0.6,0.21,74.9,0.0,0.03,1160.0,4.0,200.0,9.0,61.0,820.0,0.0,231.0,0.0,0.0,1040.0,1.7,0.0,6.6,29.0,0.0,0.02,5.54,100.0,890.0,19.8,0.0,690.0,74.0,670.0,840.0,0.64,0.0,3.7,240.0,0.0,0.0,0.0,1.7,6.6,0.0,19.8,0.0,3.9,331.0,910.0,1520.0,480.0,960.0,900.0,150.0,0.2,1570.0,900.0,0.04,0.18,0.48,0.0,0.01,145.0,145.0,21.0,1.7
"lino, semi",0.0,60.0,0.0,0.0,0.0,0.0,0.0,5.3,21.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1,17.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.1,0.0,0.0,0.0,198.0,0.0,0.0,0.0,0.0,34.8,660.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1.4,100.0,0.0,24.5,0.0,0.0,60.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,24.5,8.2,725.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.16,0.7,0.0,0.0,447.0,377.0,0.0,0.0
"albicocche, disidratate",1.0,14.0,3.0,7.0,0.0,0.0,3.1,0.15,0.15,0.03,0.0,1548.0,0.0,0.0,0.0,0.0,311.0,0.0,0.15,0.0,0.0,0.0,0.15,0.03,0.0,0.7,0.0,3.5,0.0,0.0,109.0,86.0,31.0,35.0,0.0,102.0,21.6,139.0,19.5,0.0,116.0,40.5,0.0,1.0,65.0,0.0,0.4,3.6,100.0,1356.0,5.6,24.6,144.0,33.0,64.0,121.0,0.17,15.0,0.7,160.0,0.0,0.0,0.0,84.6,0.0,1.0,0.0,5.6,5.3,1260.0,104.0,173.0,25.0,129.0,78.0,26.0,0.4,137.0,182.0,0.0,0.08,4.36,8460.0,0.0,392.0,349.0,0.0,84.6
pizza con pomodoro,0.0,62.0,0.0,0.0,0.0,0.0,0.0,2.64,0.6,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.55,0.05,0.0,0.0,2.62,0.0,0.0,0.0,0.0,40.5,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.1,49.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.9,100.0,0.0,4.0,0.0,0.0,210.0,0.0,0.0,0.23,0.0,0.7,0.0,0.0,0.0,35.4,12.6,0.0,4.0,0.0,3.9,0.0,176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23,0.1,1.83,363.0,0.0,253.0,247.0,0.0,51.9
lumaca,6.0,6.0,0.0,45.0,9.1,1.1,0.0,0.12,0.1,0.13,0.04,1387.0,0.0,0.03,0.02,0.04,1985.0,0.0,0.02,0.0,0.01,0.0,0.03,0.09,0.02,0.21,0.04,82.8,0.0,0.0,1335.0,57.0,101.0,480.0,65.0,446.0,0.0,141.0,0.0,0.0,809.0,0.0,0.0,1.7,86.0,0.0,0.45,1.1,24.0,640.0,12.9,0.0,601.0,206.0,411.0,578.0,0.34,0.0,1.6,0.0,0.03,0.0,0.0,0.0,1.7,0.0,12.9,0.0,5.0,347.0,448.0,1030.0,326.0,561.0,264.0,167.0,1.03,793.0,842.0,0.03,0.11,0.13,0.0,0.0,67.0,67.0,60.0,0.0
fiocchi di latte magro,3.0,27.0,4.0,4.0,0.7,0.05,0.0,2.25,0.2,4.24,0.0,700.0,0.0,0.0,0.0,0.0,1610.0,0.23,0.09,0.11,0.75,0.09,1.86,1.74,0.18,0.4,0.75,78.8,0.0,0.0,348.0,73.0,84.0,550.0,24.0,499.0,0.0,75.0,0.0,0.0,194.0,0.0,3.2,7.1,9.0,0.0,0.0,0.12,100.0,800.0,9.7,0.0,517.0,290.0,487.0,397.0,0.08,0.0,0.6,110.0,0.0,0.0,0.0,3.2,7.1,0.0,9.7,0.0,0.1,89.0,488.0,978.0,242.0,642.0,309.0,0.0,0.04,736.0,293.0,0.01,0.4,0.0,18.0,0.64,115.0,115.0,80.0,3.2
"origano, secco macinato",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,5.26,2.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,4.2,0.0,0.0,0.51,0.0,0.0,0.0,0.0,7.2,0.0,0.01,0.0,1580.0,0.0,0.0,0.0,0.0,42.8,200.0,0.0,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,6.2,100.0,0.0,11.0,0.0,0.0,15.0,0.0,0.0,1.21,0.0,4.4,0.0,0.0,0.0,0.0,49.5,0.0,10.3,0.0,11.0,44.0,1670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.32,1.69,4140.0,0.0,408.0,322.0,0.0,49.5
aceto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.4,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.4,0.5,89.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.6
"pesche, secche",0.2,14.0,23.0,8.0,0.0,0.0,15.7,0.26,0.34,0.08,0.0,517.0,0.0,0.0,0.0,0.0,471.0,0.0,0.33,0.01,0.0,0.0,0.25,0.07,0.01,0.3,0.01,25.0,0.0,0.0,79.0,48.0,25.0,11.0,0.0,98.0,2.8,117.0,10.2,0.0,108.0,10.2,0.0,0.7,54.0,0.0,0.8,5.3,100.0,131.0,3.1,47.8,143.0,16.0,81.0,121.0,0.1,18.0,0.8,240.0,0.0,0.0,0.0,68.3,0.0,0.7,0.0,3.1,6.0,950.0,89.0,175.0,75.0,169.0,58.0,9.0,0.63,100.0,185.0,0.01,0.19,0.19,2340.0,0.0,280.0,275.0,0.0,68.3
"caciottina mista, latte ovino e vaccino",2.2,10.0,4.0,7.7,1.5,0.16,0.0,7.28,1.96,17.75,0.0,1834.0,0.0,0.0,0.0,0.0,6557.0,1.08,1.19,0.77,3.21,0.0,7.25,7.74,0.0,0.48,2.8,41.3,0.0,0.0,1075.0,360.0,122.0,990.0,90.0,1353.0,0.0,300.0,0.0,0.0,455.0,0.0,1.5,28.5,30.0,0.0,0.01,0.16,100.0,2909.0,26.9,0.0,1547.0,514.0,1598.0,1033.0,0.07,0.0,3.7,110.0,0.0,0.0,0.0,1.5,28.5,0.0,26.9,0.0,0.6,145.0,1147.0,2416.0,721.0,1725.0,1173.0,363.0,0.03,2783.0,742.0,0.02,0.32,0.49,198.0,2.93,370.0,370.0,231.0,1.5
vodka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.3,31.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0,0.0,222.0,222.0,0.0,0.0
yogurt di latte parzialmente scremato,2.9,17.0,63.0,1.0,0.2,0.01,0.0,0.38,0.05,0.95,0.0,233.0,0.0,0.0,0.0,0.0,573.0,0.05,0.04,0.01,0.16,0.0,0.35,0.45,0.03,0.45,0.15,89.0,0.0,0.0,98.0,120.0,27.0,150.0,8.0,152.0,0.0,94.0,0.0,1.5,63.0,0.0,2.3,1.7,19.0,0.0,0.0,0.1,100.0,268.0,3.4,0.0,161.0,45.0,170.0,125.0,0.09,1.0,0.6,48.0,0.0,0.0,0.0,3.8,1.7,0.0,3.4,0.0,0.1,149.0,143.0,268.0,81.0,188.0,81.0,36.0,0.0,233.0,98.0,0.04,0.18,0.06,7.0,0.14,43.0,43.0,14.0,3.8
banana,2.6,14.0,8.0,1.0,0.0,0.0,0.5,0.04,0.09,0.11,0.0,126.0,0.0,0.0,0.0,0.0,110.0,0.0,0.04,0.05,0.0,0.0,0.03,0.1,0.01,0.36,0.01,76.8,0.0,0.0,90.0,7.0,32.0,79.0,0.0,47.0,1.8,28.0,3.1,0.0,50.0,2.9,0.0,0.3,34.0,0.0,0.4,0.7,65.0,49.0,1.2,6.8,47.0,1.0,163.0,41.0,0.29,16.0,0.2,13.0,0.0,0.0,2.6,12.8,0.0,0.3,0.0,1.2,0.8,350.0,35.0,56.0,24.0,48.0,90.0,14.0,0.16,49.0,53.0,0.06,0.06,0.27,270.0,0.0,69.0,65.0,0.0,15.4
grissini integrali,0.0,28.0,0.0,0.0,0.0,0.0,0.0,9.49,2.7,3.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.06,0.0,0.0,4.46,0.0,0.0,0.0,0.0,2.7,0.0,0.01,0.0,50.0,0.0,0.0,0.0,0.0,10.5,295.0,0.0,0.0,0.0,0.0,0.0,17.2,0.0,0.0,0.0,4.5,100.0,0.0,8.8,0.0,0.0,659.0,0.0,0.0,0.18,0.0,2.2,0.0,0.0,0.0,56.2,1.9,0.0,17.2,0.0,8.8,3.1,297.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,3.92,0.0,0.0,429.0,408.0,0.0,58.1
semola,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.06,0.31,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.02,0.0,0.0,0.06,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,3.6,165.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,100.0,0.0,11.5,0.0,0.0,12.0,0.0,0.0,0.15,0.0,0.6,0.0,0.0,0.0,75.7,1.9,0.0,0.5,0.0,11.5,1.3,170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.15,0.0,0.0,0.0,349.0,342.0,0.0,77.6
crackers senza grassi,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.14,0.69,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65,0.04,0.0,0.0,0.14,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,2.7,113.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,5.7,100.0,0.0,10.5,0.0,0.0,636.0,0.0,0.0,0.09,0.0,0.9,0.0,0.0,0.0,79.6,0.0,0.0,1.6,0.0,10.5,7.7,115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.59,0.08,0.0,0.0,360.0,355.0,0.0,79.6
gallina,2.0,11.0,8.0,9.0,0.0,0.6,0.0,4.78,2.66,3.79,0.29,2032.0,0.0,0.08,0.02,0.0,3416.0,0.0,1.89,0.16,0.15,0.02,3.9,2.54,0.67,1.1,1.09,66.0,0.0,0.21,1275.0,15.0,249.0,75.0,93.0,765.0,0.0,205.0,0.0,0.0,1070.0,0.0,0.0,12.3,24.0,0.0,0.01,4.0,70.0,905.0,20.9,0.0,767.0,62.0,690.0,892.0,0.38,0.0,1.1,140.0,0.01,0.0,0.0,0.0,12.3,0.0,20.9,0.0,1.6,300.0,961.0,1670.0,552.0,931.0,539.0,220.0,0.09,1733.0,955.0,0.3,0.1,0.14,0.0,0.0,194.0,194.0,0.0,0.0
mandarini,0.5,18.0,0.0,0.1,0.0,0.0,0.0,0.06,0.06,0.04,0.0,143.0,0.0,0.0,0.0,0.0,68.0,0.0,0.05,0.02,0.0,0.0,0.05,0.03,0.01,0.2,0.0,81.4,0.0,0.0,76.0,32.0,2.0,2.0,0.0,20.0,1.7,19.0,3.4,0.0,21.0,3.0,0.0,0.3,10.0,0.0,0.0,0.3,80.0,82.0,0.9,11.3,37.0,1.0,17.0,18.0,0.07,42.0,0.1,10.0,0.0,0.0,0.0,17.6,0.0,0.3,0.0,0.9,0.3,210.0,19.0,31.0,2.0,23.0,12.0,2.0,0.09,36.0,31.0,0.08,0.07,0.2,108.0,0.0,76.0,72.0,0.0,17.6
cioccolato al latte,0.0,11.0,0.0,0.0,0.0,0.0,0.0,12.04,1.32,21.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.03,0.29,0.0,0.0,11.83,0.0,0.0,0.0,0.0,1.7,0.0,0.0,0.0,262.0,0.0,0.0,28.0,0.0,0.8,207.0,0.0,0.0,0.0,0.0,0.0,37.6,0.0,0.0,0.0,0.6,100.0,0.0,8.9,0.0,0.0,120.0,0.0,0.0,0.04,0.0,0.2,0.0,0.0,0.0,0.0,50.8,24.6,13.0,6.0,2.9,3.0,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.39,0.55,13.0,0.0,566.0,564.0,31.0,50.8
pop corn,0.0,23.0,0.0,0.0,0.0,0.0,0.0,1.31,2.26,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.19,0.07,0.0,0.0,1.31,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.2,281.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.2,100.0,0.0,12.7,0.0,0.0,4.0,0.0,0.0,0.25,0.0,3.4,0.0,0.0,0.0,75.1,1.6,0.0,5.0,0.0,12.7,2.7,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.12,0.12,18.0,0.0,388.0,383.0,0.0,76.7
liquori da dessert (tra 31 e 35 %vol),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.8,28.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,3.3,0.0,0.0,0.0,3.1,0.0,0.0,100.0,0.0,0.0,21.7,0.0,6.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,314.0,314.0,0.0,31.0
marmellata di prugne,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,63.4,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,2.6,28.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,1.8,100.0,0.0,2.1,0.0,0.0,10.0,0.0,0.0,0.02,20.0,0.06,0.0,0.0,0.0,0.0,31.2,0.0,0.6,0.0,2.1,1.0,344.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,246.0,0.0,136.0,131.0,0.0,31.2
ciccioli,5.0,2.0,7.0,12.0,1.0,0.6,0.0,15.64,6.22,14.14,0.49,3941.0,0.0,0.0,0.04,0.0,6444.0,0.08,4.28,0.32,0.53,0.0,14.42,8.32,0.65,1.26,4.77,12.0,0.0,1.09,2577.0,30.0,490.0,2360.0,84.0,1585.0,0.0,235.0,0.0,0.0,2397.0,0.0,0.0,40.0,23.0,0.0,0.01,2.0,100.0,1810.0,40.8,0.0,1712.0,2330.0,1306.0,1769.0,0.55,0.0,2.0,110.0,0.2,0.0,0.0,0.0,40.0,0.0,40.8,0.0,1.4,360.0,2102.0,3348.0,1033.0,2292.0,1339.0,385.0,0.06,3381.0,2858.0,0.22,0.19,0.07,0.0,0.0,523.0,523.0,0.0,0.0
"stoccafisso, secco",1.0,25.0,110.0,148.0,10.0,0.0,0.0,0.5,1.18,0.68,0.12,8764.0,0.0,0.62,0.02,0.02,12962.0,0.0,0.03,0.0,0.04,0.0,0.33,0.47,0.09,1.68,0.16,12.0,0.0,0.4,5404.0,60.0,961.0,76.0,82.0,4146.0,0.0,450.0,0.0,0.0,3831.0,1.1,0.0,3.5,133.0,0.0,0.05,3.5,78.0,3213.0,80.1,0.0,4090.0,500.0,3213.0,4241.0,0.86,0.0,1.6,0.0,0.07,0.0,0.0,1.1,3.5,0.0,80.1,0.0,3.3,1500.0,3845.0,6992.0,2771.0,4288.0,2412.0,919.0,0.18,8363.0,5470.0,0.14,0.5,0.6,0.0,0.0,356.0,356.0,0.0,1.1
brioche o croissant con marmellata,0.0,66.0,0.0,0.0,0.0,0.12,0.0,4.47,1.03,9.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.77,0.23,0.0,0.0,4.1,0.0,0.0,0.0,0.0,21.2,0.0,0.03,0.0,10.0,0.0,0.0,47.0,0.0,2.5,64.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,1.9,100.0,0.0,6.5,0.0,0.0,352.0,0.0,0.0,0.1,0.0,0.8,0.0,0.0,0.0,43.0,15.4,9.0,7.5,1.6,4.9,1.3,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.15,0.0,0.0,0.0,398.0,394.0,19.0,58.4
biscotto per la prima colazione,0.0,13.0,0.0,0.0,0.0,0.0,0.0,2.96,1.22,3.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.12,0.09,0.0,0.0,2.61,0.0,0.0,0.0,0.0,2.2,0.0,0.01,0.0,22.0,0.0,0.0,128.0,0.0,5.7,157.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.5,100.0,0.0,6.6,0.0,0.0,410.0,0.0,0.0,0.06,0.0,0.6,0.0,0.0,0.0,66.9,18.5,6.4,1.5,2.4,4.2,0.9,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.19,1.4,0.0,0.0,429.0,418.0,0.0,85.4
"prugne, secche",0.0,3.0,1.0,3.0,0.0,0.0,59.5,0.07,0.08,0.12,0.0,808.0,0.0,0.0,0.0,0.0,115.0,0.0,0.06,0.02,0.0,0.0,0.02,0.04,0.05,0.41,0.06,29.3,0.0,0.0,37.0,59.0,11.0,3.0,0.0,52.0,8.4,85.0,19.6,0.0,47.0,29.0,0.0,0.5,2.0,0.0,0.3,1.0,88.0,131.0,2.2,6.6,60.0,8.0,21.0,49.0,0.21,3.0,0.4,17.0,0.0,0.0,0.0,55.0,0.0,0.5,0.0,2.2,3.9,824.0,41.0,67.0,16.0,57.0,27.0,25.0,0.14,50.0,67.0,0.18,0.02,0.43,114.0,0.02,236.0,220.0,0.0,55.0
prosciutto crudo di montagna,2.0,4.0,7.0,7.0,0.0,0.6,0.0,9.82,2.71,7.23,0.19,2607.0,0.0,0.0,0.0,0.0,4139.0,0.0,2.18,0.2,0.31,0.0,8.94,4.55,0.63,1.07,2.08,44.8,0.0,0.14,1649.0,18.0,304.0,1980.0,69.0,1053.0,0.0,208.0,0.0,0.0,1222.0,0.0,0.0,22.0,31.0,0.0,0.01,5.87,100.0,1095.0,26.2,0.0,1055.0,2628.0,859.0,1186.0,0.43,0.0,2.9,180.0,0.19,0.0,0.0,0.0,22.0,0.0,26.2,0.0,1.4,533.0,1356.0,2176.0,657.0,1379.0,945.0,275.0,0.19,2257.0,1799.0,0.7,0.23,0.06,0.0,0.0,303.0,303.0,0.0,0.0
"latte di vacca, scremato uht",1.7,1.0,15.0,1.0,0.2,0.0,0.0,0.05,0.01,0.14,0.0,302.0,0.0,0.0,0.0,0.0,864.0,0.03,0.01,0.0,0.02,0.0,0.04,0.05,0.01,0.32,0.02,90.5,0.0,0.0,118.0,112.0,41.0,100.0,2.0,197.0,0.0,92.0,0.0,0.0,78.0,0.0,5.2,0.2,11.0,0.0,0.0,0.1,100.0,416.0,3.7,0.0,228.0,49.0,159.0,184.0,0.05,0.0,0.4,31.0,0.0,0.0,0.0,5.2,0.2,0.0,3.7,0.0,0.2,150.0,215.0,398.0,91.0,261.0,104.0,56.0,0.0,305.0,133.0,0.04,0.18,0.0,0.0,0.02,36.0,36.0,0.0,5.2
yogurt greco,2.6,6.0,63.0,2.0,0.2,0.05,0.0,1.96,0.3,4.83,0.0,438.0,0.0,0.0,0.0,0.0,1078.0,0.28,0.19,0.12,0.84,0.0,1.94,2.15,0.02,0.5,0.79,78.5,0.0,0.0,185.0,150.0,51.0,100.0,15.0,286.0,0.0,130.0,0.2,1.1,118.0,0.1,0.5,9.1,12.0,0.0,0.0,0.06,100.0,505.0,6.4,0.1,303.0,71.0,320.0,236.0,0.05,0.0,0.5,53.0,0.0,0.0,0.0,2.0,9.1,0.0,6.4,0.0,0.3,150.0,269.0,505.0,152.0,354.0,152.0,67.0,0.0,438.0,185.0,0.03,0.36,0.38,36.0,0.77,115.0,115.0,115.0,2.0
finocchio,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.2,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,2.2,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,59.0,0.0,1.2,0.0,0.0,141.0,0.0,0.0,0.07,12.0,0.1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.2,0.4,276.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.2,12.0,0.0,13.0,9.0,0.0,1.0
funghi sott'olio,0.0,42.0,0.0,0.0,0.0,2.1,0.0,1.19,1.98,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.17,0.0,0.0,1.17,0.0,0.0,0.0,0.0,86.0,0.0,0.01,0.0,15.0,0.0,0.0,0.0,0.0,1.6,98.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,4.04,100.0,0.0,3.3,0.0,0.0,1650.0,0.0,0.0,0.17,0.0,0.38,0.0,0.0,0.0,0.0,0.0,0.0,3.9,0.0,3.3,0.8,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.12,2.03,0.0,0.0,52.0,48.0,0.0,0.0
muesli,0.0,140.0,0.0,0.0,0.0,0.0,0.0,2.14,2.38,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,0.13,0.0,0.0,2.13,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,120.0,0.0,0.0,0.0,0.0,8.1,280.0,0.0,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,6.5,100.0,0.0,10.6,0.0,0.0,380.0,0.0,0.0,1.6,0.0,2.5,0.0,0.0,0.0,23.7,47.4,0.0,5.9,0.0,10.6,5.6,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7,3.2,0.0,0.0,378.0,362.0,0.0,71.1
"fichi, seccati al forno e mandorlati",1.0,9.0,1.0,0.0,0.0,0.0,15.6,0.72,1.56,0.65,0.0,1016.0,0.0,0.0,0.0,0.0,465.0,0.0,1.56,0.0,0.03,0.0,0.71,0.5,0.01,0.51,0.13,18.3,0.0,0.0,121.0,186.0,57.0,170.0,0.0,120.0,14.0,111.0,25.0,0.0,170.0,31.5,0.0,4.2,80.0,0.0,0.5,0.6,100.0,961.0,5.2,1.8,202.0,87.0,65.0,134.0,0.26,0.0,0.9,81.0,0.0,0.0,0.0,58.2,0.0,4.2,0.0,5.2,3.0,1010.0,140.0,202.0,54.0,192.0,58.0,32.0,0.24,139.0,211.0,0.14,0.1,0.39,48.0,0.0,305.0,277.0,0.0,58.2
