name,biotina | mcg,folati totali | mcg,iodio | mcg,selenio | mcg,vitamina b12 | mcg,vitamina d | mcg,vitamina k | mcg,acidi grassi monoinsaturi totali | g,acidi grassi polinsaturi totali | g,acidi grassi saturi totali | g,acido arachidonico | g,acido aspartico | mg,acido beenico | g,acido decosaesaenoico (dha) | g,acido eicosapentaenoico (epa) | g,acido erucico | g,acido glutammico | mg,acido laurico | g,acido linoleico | g,acido linolenico | g,acido miristico | g,acido miristoleico | g,acido oleico | g,acido palmitico | g,acido palmitoleico | g,acido pantotenico | mg,acido stearico | g,acqua | g,alcol | g,altri acidi grassi polinsaturi | g,arginina | mg,calcio | mg,cistina | mg,cloro | mg,colesterolo | mg,fenilalanina | mg,fibra alimentare totale | g,fosforo | mg,fruttosio | g,galattosio | g,glicina | mg,glucosio | g,lattosio (mse) | g,lipidi totali | g,magnesio | mg,maltosio (mse) | g,manganese | mg,niacina | mg,parte edibile | %,prolina | mg,proteine totali | g,saccarosio (mse) | g,serina | mg,sodio | mg,tirosina | mg,treonina | mg,vitamina b6 | mg,vitamina c | mg,zinco | mg,zolfo | mg,acido eicosenoico | g,acido arachico | g,amido (mse) | g,carboidrati solubili (mse) | g,lipidi animali | g,lipidi vegetali | g,proteine animali | g,proteine vegetali | g,ferro | mg,potassio | mg,isoleucina | mg,leucina | mg,metionina | mg,valina | mg,istidina | mg,triptofano | mg,rame | mg,lisina | mg,alanina | mg,tiamina (vit. b1) | mg,riboflavina (vit. b2) | mg,"vitamina e, aggiunta | mg",ß-carotene equivalente | mcg,"somma degli acidi butirrico, caproico, caprilico e caprico | g","calorie, ricalcolata con fibra | kcal","calorie, ricalcolata | kcal",retinolo equivalente | mcg,Carboidrati disponibili | g
erbe aromatiche (semi),0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.11,1.5,7.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,8.67,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,744.0,0.0,0.0,0.0,0.0,24.7,406.0,0.0,0.0,0.0,0.0,0.0,22.1,0.0,0.0,0.0,5.13,100.0,0.0,14.1,0.0,0.0,91.0,0.0,0.0,0.44,3.0,3.6,0.0,0.0,0.0,0.0,24.2,0.0,22.1,0.0,14.1,29.3,1265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38,0.26,2.72,297.0,0.0,395.0,346.0,0.0,24.2
anacardi,13.0,68.0,11.0,12.0,0.0,0.0,34.1,24.96,8.23,8.17,0.0,1500.0,0.18,0.0,0.0,0.0,3620.0,0.02,8.16,0.07,0.02,0.0,24.68,4.11,0.14,1.08,3.38,3.0,0.0,0.0,1740.0,45.0,280.0,18.0,0.0,790.0,3.0,490.0,0.0,0.0,800.0,0.0,0.0,46.0,260.0,0.0,1.8,1.0,100.0,690.0,15.0,5.6,850.0,16.0,490.0,590.0,0.43,0.0,6.0,380.0,0.15,0.28,13.2,5.6,0.0,46.0,0.0,15.0,6.0,565.0,730.0,1280.0,270.0,910.0,400.0,240.0,2.0,520.0,700.0,0.2,0.02,1.0,0.0,0.03,550.0,544.0,0.0,18.8
"marmellata (amarene,ciliege,uva,marasche)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,2.4,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,100.0,0.0,0.6,0.0,0.0,11.0,0.0,0.0,0.0,8.0,0.1,0.0,0.0,0.0,0.0,62.3,0.0,0.0,0.0,0.6,2.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.03,0.0,0.0,0.0,241.0,236.0,0.0,62.3
granito di tenero,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.11,0.61,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.03,0.0,0.0,0.11,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,2.5,105.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,100.0,0.0,9.2,0.0,0.0,3.0,0.0,0.0,0.15,0.0,0.6,0.0,0.0,0.0,82.3,0.0,0.0,1.0,0.0,9.2,2.2,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.05,0.23,0.0,0.0,359.0,354.0,0.0,82.3
caciotta romana di pecora,2.4,7.0,44.0,15.0,1.1,0.5,0.0,7.94,0.6,17.34,0.0,1875.0,0.0,0.0,0.0,0.0,5449.0,0.92,0.29,0.31,3.08,0.0,7.04,7.36,0.42,0.42,2.43,32.5,0.0,0.0,730.0,1160.0,141.0,2350.0,104.0,1388.0,0.0,675.0,0.0,0.1,491.0,0.0,2.0,27.3,41.0,0.0,0.0,0.2,100.0,3228.0,27.7,0.0,1357.0,1890.0,1494.0,951.0,0.09,0.0,3.5,230.0,0.0,0.0,0.0,2.1,27.3,0.0,27.7,0.0,2.1,94.0,1462.0,2807.0,844.0,1975.0,685.0,349.0,1.01,2173.0,812.0,0.03,0.47,0.73,20.0,2.84,364.0,364.0,113.0,2.1
"piselli, secchi",0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.63,0.22,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.05,0.0,0.0,0.58,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,15.7,320.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.2,100.0,0.0,21.7,0.0,0.0,38.0,0.0,0.0,0.13,4.0,2.6,0.0,0.0,0.0,50.7,2.9,0.0,2.0,0.0,21.7,4.5,990.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58,0.15,0.0,60.0,0.0,337.0,306.0,0.0,53.6
"pistacchi, secchi",30.0,51.0,6.0,8.0,0.0,0.0,60.0,36.47,10.66,5.61,0.0,1992.0,0.0,0.0,0.0,0.0,4326.0,0.0,10.66,0.0,0.0,0.0,36.47,4.49,0.0,0.52,1.12,3.9,0.0,0.0,2266.0,131.0,326.0,7.0,0.0,982.0,10.6,500.0,0.1,0.0,1058.0,0.2,0.0,56.1,158.0,0.1,1.2,1.4,50.0,724.0,18.1,4.0,819.0,1.0,641.0,661.0,1.7,2.0,2.37,160.0,0.0,0.0,3.6,4.5,0.0,56.1,0.0,18.1,7.3,972.0,782.0,1268.0,208.0,933.0,436.0,145.0,0.75,565.0,855.0,0.67,0.1,4.57,258.0,0.0,629.0,608.0,0.0,8.1
marsala tipico,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,57.7,14.2,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,12.0,10.7,0.0,0.0,10.7,0.0,0.0,11.0,0.0,0.0,0.1,100.0,0.0,0.1,6.5,0.0,4.0,0.0,0.0,0.01,0.0,0.0,25.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.1,0.4,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.01,0.0,0.0,0.0,205.0,205.0,0.0,28.0
"cervo, senza grasso visibile",0.0,4.0,6.0,9.0,6.3,0.4,0.0,0.1,0.23,0.2,0.06,2100.0,0.0,0.0,0.01,0.0,3550.0,0.0,0.11,0.02,0.0,0.0,0.08,0.12,0.02,0.0,0.08,76.5,0.0,0.03,1466.0,5.0,171.0,64.0,50.0,1012.0,0.0,210.0,0.0,0.0,1023.0,0.0,0.0,0.8,25.0,0.0,0.03,6.4,100.0,966.0,21.0,0.0,810.0,55.0,788.0,1050.0,0.37,0.0,2.4,320.0,0.0,0.0,0.0,0.0,0.8,0.0,21.0,0.0,3.3,340.0,1071.0,1953.0,386.0,1521.0,774.0,305.0,0.21,1854.0,1387.0,0.22,0.25,0.2,0.0,0.0,91.0,91.0,0.0,0.0
"wurstel, saltato in padella",2.0,3.0,18.0,8.0,1.0,0.9,0.0,12.48,5.11,8.01,0.68,1491.0,0.0,0.0,0.0,0.0,2544.0,0.0,4.12,0.31,0.39,0.0,11.35,4.65,0.61,0.75,2.71,51.8,0.0,0.0,1008.0,16.0,165.0,1280.0,72.0,613.0,0.0,152.0,0.0,0.0,1442.0,0.0,0.0,26.9,13.0,0.0,0.02,4.05,100.0,1275.0,16.4,0.0,695.0,930.0,488.0,647.0,0.12,0.0,1.9,86.0,0.52,0.25,1.3,0.0,26.9,0.0,16.4,0.0,1.4,164.0,688.0,1209.0,349.0,869.0,456.0,120.0,0.09,1178.0,1089.0,0.14,0.46,0.63,0.0,0.0,313.0,313.0,0.0,1.3
succo di frutta ns,0.6,6.0,1.0,0.4,0.0,0.0,0.82,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,86.9,0.0,0.0,16.0,10.0,3.0,4.0,0.0,9.0,0.3,10.0,4.0,0.0,13.0,2.6,0.0,0.0,6.0,0.0,0.08,0.18,100.0,19.0,0.3,4.7,11.0,6.0,5.0,7.0,0.03,28.0,0.05,5.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.3,0.3,75.0,7.0,11.0,3.0,11.0,4.0,2.0,0.04,13.0,14.0,0.02,0.01,0.17,235.0,0.0,45.0,44.0,0.0,11.4
whisky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.9,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.05,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,238.0,238.0,0.0,0.0
"bovino, vitellone, 15-18 mesi, geretto anteriore e posteriore, senza grasso visibile",1.0,5.0,12.0,16.0,2.0,0.8,0.0,1.04,0.64,1.07,0.09,2027.0,0.0,0.03,0.07,0.08,3563.0,0.0,0.3,0.06,0.07,0.05,0.8,0.56,0.08,0.65,0.39,75.0,0.0,0.09,1254.0,5.0,228.0,69.0,63.0,853.0,0.0,175.0,0.0,0.0,1039.0,0.0,0.0,3.2,17.0,0.0,0.0,4.3,100.0,859.0,20.9,0.0,855.0,56.0,740.0,853.0,0.45,0.0,4.6,220.0,0.0,0.0,0.0,0.0,3.2,0.0,20.9,0.0,1.4,287.0,903.0,1797.0,600.0,1009.0,807.0,234.0,0.06,1902.0,1285.0,0.1,0.17,0.2,0.0,0.0,112.0,112.0,0.0,0.0
tartufo nero,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.3,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,8.5,62.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,79.0,0.0,6.0,0.0,0.0,55.0,0.0,0.0,0.18,1.0,3.8,0.0,0.0,0.0,0.0,0.7,0.0,0.5,0.0,6.0,3.5,368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.09,0.12,0.0,0.0,48.0,31.0,0.0,0.7
maionese,0.0,4.0,0.0,0.0,0.0,0.3,0.0,23.7,33.35,8.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.07,0.24,0.0,0.0,23.22,0.0,0.0,0.0,0.0,15.1,0.0,0.04,0.0,18.0,0.0,0.0,70.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,100.0,0.0,4.2,0.0,0.0,450.0,0.0,0.0,0.01,0.0,0.5,0.0,0.0,0.0,0.0,2.2,4.8,65.2,4.2,0.0,0.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,18.99,100.0,0.0,655.0,655.0,86.0,2.2
pompelmo,1.0,26.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,107.0,0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.0,91.2,0.0,0.0,68.0,17.0,6.0,3.0,0.0,36.0,1.6,16.0,2.1,0.0,11.0,1.9,0.0,0.0,9.0,0.0,0.0,0.2,70.0,49.0,0.6,2.2,22.0,1.0,6.0,10.0,0.03,40.0,0.1,7.0,0.0,0.0,0.0,6.2,0.0,0.0,0.0,0.6,0.3,230.0,6.0,11.0,6.0,12.0,6.0,6.0,0.06,15.0,19.0,0.05,0.03,0.19,0.0,0.0,29.0,26.0,0.0,6.2
