,acidi grassi saturi totali | g,acido arachico | g,acido arachidonico | g,acido aspartico | g,acido beenico | g,acido decosaesaenoico (dha) | g,acido eicosapentaenoico (epa) | g,acido eicosenoico | g,acido erucico | g,acido fitico | g,acido glutamico | g,acido glutammico | g,acido laurico | g,acido linoleico | g,acido linolenico | g,acido miristico | g,acido miristoleico | g,acido oleico | g,acido palmitico | g,acido palmitoleico | g,acido pantotenico | g,acido stearico | g,acqua | g,alanina | g,alcol | %,alcol | g,altri acidi grassi polinsaturi | g,amido | g,arginina | g,biotina | g,c12:0 | g,c14:0 | g,c14:1 | g,c16:0 | g,c16:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c20:0 | g,c20:1 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,c4:0÷c10:0 | g,calcio | g,"calorie, ricalcolata con fibra | kcal","calorie, ricalcolata | kcal",carboidrati disponibili | g,carboidrati | %,cistina | g,cloro | g,colesterolo | g,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,folati totali | g,fosforo | g,fruttosio | g,galattosio | g,glicina | g,glucosio | g,indice chimico | g,iodio | g,isoleucina | g,istidina | g,lattosio (mse) | g,leucina | g,lipidi animali | g,lipidi totali | g,lipidi vegetali | g,lipidi | %,lisina | g,magnesio | g,maltosio (mse) | g,manganese | g,metionina | g,monoinsaturi totali | %,niacina | g,parte edibile | %,polinsaturi totali | %,potassio | g,prolina | g,proteine animali | g,proteine totali | g,proteine vegetali | g,proteine | %,rame | g,rapporto polinsaturi/saturi | g,riboflavina | g,saccarosio (mse) | g,saturi totali | %,selenio | g,serina | g,sodio | g,"somma degli acidi butirrico, caproico, caprilico e caprico | g",tiamina | g,tirosina | g,treonina | g,triptofano | g,valina | g,vitamina a retinolo eq. | g,vitamina b12 | g,vitamina b6 | g,vitamina c | g,vitamina d | g,"vitamina e, aggiunta | g",vitamina k | g,zinco | g,zolfo | g,zuccheri solubili | g,ß-carotene equivalente | g
cheddar,18.52,0.0,0.0,1.6059999999999999,0.0,0.0,0.0,0.0,0.0,0.0,,6.1160000000000005,0.68,0.5,0.38,3.17,0.0,7.64,8.64,0.88,0.00036,3.59,38.5,0.706,0.0,0.0,0.0,0.0,0.945,3e-06,,,,,,,,,,,,,,,,,0.0,0.81,381.0,381.0,0.5,0.0,0.126,1.03,0.09,1.3159999999999998,0.0005,0.0,0.0,0.0,3.3e-05,0.545,0.0,0.0,0.431,0.0,,3.9e-05,1.5519999999999998,0.878,0.5,2.395,31.0,31.0,0.0,74.0,2.08,0.025,0.0,0.0,0.655,8.52,0.0001,100.0,0.88,0.12,2.8169999999999997,25.0,25.0,0.0,26.0,2.9999999999999997e-05,,0.00045,0.0,,1.2e-05,1.462,0.61,2.44,1e-05,1.207,0.89,0.321,1.67,0.00035650000000000005,1.1e-06,0.0001,0.0,2.3e-07,0.00047999999999999996,0.0,0.0023,0.23,0.5,0.00020299999999999997
"suino, leggero, lombo, senza grasso visibile",2.23,0.0,0.03,2.08,0.0,0.0,0.0,0.18,0.0,0.0,3.157,3.157,0.01,1.68,0.0,0.07,0.0,2.1,1.41,0.1,0.00146,0.73,70.7,1.2890000000000001,0.0,0.0,0.11,0.0,1.285,2e-06,0.01,0.07,0.0,1.41,0.1,0.73,2.1,1.68,0.0,0.0,0.18,0.03,0.0,0.0,0.0,0.0,0.0,0.006999999999999999,146.0,146.0,0.0,0.0,0.239,0.051,0.061,0.809,0.0013000000000000002,0.0,0.0,0.0,3e-06,0.15,0.0,0.0,1.0859999999999999,0.0,0.08,5e-06,1.08,0.647,0.0,1.624,7.0,7.0,0.0,43.0,1.7369999999999999,0.024,0.0,1e-05,0.541,2.38,0.004,79.0,1.82,0.22,0.853,20.7,20.7,0.0,57.0,0.00015,0.8,0.0003,0.0,2.23,1.4000000000000001e-05,0.852,0.073,0.0,0.00025,0.657,0.919,0.183,1.2429999999999999,0.0,1e-06,0.00054,0.0,5e-07,5e-05,0.0,0.0018000000000000004,0.2,0.0,0.0
marsala tipico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2e-05,0.0,57.75,0.0,48.0,14.1,0.0,0.0,0.0,1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,205.0,204.0,28.0,52.0,0.0,0.008,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.012,10.7,0.0,0.0,10.7,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011000000000000001,0.0,0.0,0.0,0.0,0.0001,100.0,0.0,0.048499999999999995,0.0,0.0,0.05,0.1,0.0,0.0001,,1e-05,6.5,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.0,0.0,0.025,28.0,0.0
corvina,0.18,0.0,0.02,2.0469999999999997,0.0,0.17,0.02,0.02,0.01,0.0,,2.985,0.0,0.01,0.01,0.01,0.0,0.12,0.13,0.02,0.00075,0.04,78.0,1.209,0.0,0.0,0.01,0.0,1.196,5e-06,,,,,,,,,,,,,,,,,0.0,0.07400000000000001,88.0,88.0,0.2,1.0,0.215,0.09699999999999999,0.055,0.78,0.0144,0.0,0.0,0.0,9e-06,0.128,0.0,0.0,0.96,0.2,,3e-05,0.922,0.588,0.0,1.625,0.8,0.8,0.0,8.0,1.8359999999999999,0.061,0.0,1e-05,0.5920000000000001,0.16,0.0004,68.0,0.25,0.527,0.7070000000000001,20.0,20.0,0.0,91.0,0.0008,,0.00011999999999999999,0.0,,3.65e-05,0.8160000000000001,0.053,0.0,4e-05,0.675,0.8759999999999999,0.22399999999999998,1.03,0.0,6e-07,0.0003,0.0,0.0,0.0005,0.0,0.0021000000000000003,0.2,0.2,0.0
pecorino,17.34,0.0,0.0,1.746,0.0,0.0,0.0,0.0,0.0,0.0,,5.0760000000000005,1.08,0.29,0.31,3.08,0.0,7.04,7.36,0.42,0.00042,2.43,34.0,0.7559999999999999,0.0,0.0,0.0,0.0,0.68,2.4e-06,,,,,,,,,,,,,,,,,0.0,0.607,392.0,392.0,0.2,0.0,0.131,2.35,0.104,1.2930000000000001,0.0006,0.0,0.0,0.0,7.000000000000003e-06,0.59,0.0,0.0,0.457,0.0,,3.9e-05,1.361,0.638,0.2,2.615,32.0,32.0,0.0,74.0,2.024,0.04,0.0,2e-05,0.7859999999999999,7.94,0.0002,100.0,0.6,0.09,3.0069999999999997,25.8,25.8,0.0,26.0,2.9999999999999997e-05,,0.00047000000000000004,0.0,,6.3e-06,1.264,1.8,2.84,2.9999999999999997e-05,1.391,0.8859999999999999,0.325,1.84,0.00043000000000000004,1.1e-06,8.999999999999999e-05,0.0,5e-07,0.0007,0.0,0.00339,0.23,0.2,9e-06
gallina,3.79,0.0,0.29,2.032,0.0,0.08,0.02,0.01,0.0,0.0,,3.4160000000000004,0.0,1.89,0.16,0.15,0.02,3.9,2.54,0.67,0.0011,1.09,66.0,0.955,0.0,0.0,0.21,0.0,1.275,2e-06,,,,,,,,,,,,,,,,,0.0,0.015,194.0,194.0,0.0,0.0,0.249,0.075,0.09300000000000001,0.765,0.0016,0.0,0.0,0.0,1.1e-05,0.205,0.0,0.0,1.07,0.0,,8e-06,0.961,0.539,0.0,1.67,12.3,12.3,0.0,57.0,1.733,0.024,0.0,1e-05,0.552,4.78,0.004,70.0,2.66,0.3,0.905,20.9,20.9,0.0,43.0,8.999999999999999e-05,,0.0001,0.0,,9e-06,0.767,0.062,0.0,0.0003,0.6900000000000001,0.892,0.22,0.9309999999999999,0.0,0.0,0.00037999999999999997,0.0,6e-07,0.00014,0.0,0.0011,0.14,0.0,0.0
"bovino, vitellone, 15-18 mesi, sottofesa, senza grasso visibile",0.87,0.0,0.07,2.134,0.0,0.03,0.06,0.0,0.06,0.0,3.7510000000000003,3.7510000000000003,0.0,0.24,0.05,0.06,0.04,0.65,0.45,0.07,0.00066,0.31,74.6,1.3530000000000002,0.0,0.0,0.07,0.0,1.32,1e-06,0.0,0.06,0.04,0.45,0.07,0.31,0.65,0.24,0.05,0.0,0.0,0.07,0.06,0.0,0.06,0.03,0.0,0.004,111.0,111.0,0.0,0.0,0.24,0.049,0.06,0.898,0.0018000000000000004,0.0,0.0,0.0,2.4e-05,0.206,0.0,0.0,1.093,0.0,0.1,1e-05,0.95,0.8490000000000001,0.0,1.892,2.6,2.6,0.0,21.0,2.002,0.018000000000000002,0.0,2e-05,0.631,0.85,0.005,100.0,0.52,0.342,0.904,22.0,22.0,0.0,79.0,5e-05,0.6,0.00016999999999999999,0.0,0.87,3e-06,0.9,0.040999999999999995,0.0,0.0001,0.779,0.898,0.24600000000000002,1.063,0.0,2e-06,0.00055,0.0,5e-07,0.00015,0.0,0.004,0.21,0.0,0.0
"agnello, costoletta, senza grasso visibile",1.09,0.0,0.08,1.72,0.0,0.0,0.0,0.0,0.0,0.0,,2.825,0.01,0.23,0.01,0.09,0.0,0.87,0.58,0.04,0.0009199999999999999,0.34,76.5,1.306,0.0,0.0,0.01,0.0,1.3730000000000002,2e-06,0.01,0.09,0.0,0.58,0.04,0.34,0.87,0.23,0.01,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.013,106.0,106.0,0.0,0.0,0.265,0.07400000000000001,0.075,0.81,0.0017,0.0,0.0,0.0,6e-06,0.209,0.0,0.0,1.224,0.0,,6e-06,1.0590000000000002,0.5529999999999999,0.0,1.5630000000000002,2.7,2.7,0.0,23.0,1.654,0.02,0.0,1e-05,0.488,0.94,0.00576,100.0,0.33,0.325,1.018,20.4,20.4,0.0,77.0,0.00016999999999999999,0.3,0.00018999999999999998,0.0,1.09,1.8e-05,0.863,0.07,0.01,0.00017999999999999998,0.667,0.957,0.259,1.02,0.0,2e-06,0.0003,0.0,4e-07,8.999999999999999e-05,0.0,0.00275,0.21,0.0,0.0
"faraona, coscio, senza pelle, cotto al forno",2.0,0.0,0.08,3.4,0.0,0.0,0.0,0.03,0.0,0.0,5.585,5.585,0.0,1.37,0.08,0.09,0.0,2.03,1.32,0.18,0.0009400000000000001,0.65,59.1,2.326,0.0,0.0,0.01,0.3,2.267,3e-06,0.0,0.09,0.0,1.32,0.18,0.65,2.03,1.37,0.08,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.0,0.011000000000000001,194.0,194.0,0.3,1.0,0.354,0.08600000000000001,0.099,1.44,0.0028,0.0,0.0,0.0,6e-06,0.29,0.0,0.0,2.35,0.0,0.083,8e-06,1.653,1.004,0.0,2.787,6.1,6.1,0.0,28.0,3.0460000000000003,0.01,0.0,2e-05,0.909,2.2,0.00878,78.0,1.54,0.46,1.8659999999999999,34.4,34.4,0.0,71.0,0.00029,0.8,0.00011,0.0,2.0,1.8e-05,0.0,0.18,0.0,7.000000000000001e-05,1.216,1.511,0.307,1.535,0.0,4e-07,0.00047000000000000004,0.0,3e-07,0.0,0.0,0.00344,0.16,0.0,0.0
wurstel,6.94,0.22,0.59,1.26,0.0,0.0,0.0,0.45,0.0,0.0,2.06,2.06,0.0,3.57,0.27,0.34,0.0,9.83,4.03,0.53,0.00075,2.35,58.9,0.8909999999999999,0.0,0.0,0.0,1.35,0.8590000000000001,2e-06,0.0,0.34,0.0,4.03,0.53,2.35,9.83,3.57,0.27,0.22,0.45,0.59,0.0,0.0,0.0,0.0,0.0,0.013999999999999999,270.0,270.0,1.4,2.0,0.109,1.28,0.062,0.5489999999999999,0.0012,0.0,0.0,0.0,3e-06,0.13,0.0,0.0,1.17,0.0,0.065,1.8e-05,0.606,0.3670000000000001,0.0,1.033,23.3,23.3,0.0,78.0,0.972,0.011000000000000001,0.0,2e-05,0.314,10.81,0.0027199999999999998,100.0,4.43,0.14,0.95,13.7,13.7,0.0,20.0,8e-05,0.6,0.0003,0.0,6.94,8e-06,0.595,0.7929999999999999,0.0,0.00015,0.457,0.5579999999999999,0.098,0.73,0.0,1e-06,0.00011999999999999999,0.0,9.000000000000002e-07,0.00063,0.0,0.0016,0.08600000000000001,0.0,0.0
