name,"acidi grassi, trans | g","acidi grassi, trans-monoenoici | g","acidi grassi, trans-polienoico | g",acqua | g,ceneri | g,destrosio | g,fibre | g,fruttosio | g,galattosio | g,grassi | g,idrossiprolina | g,zuccheri | g,c4:1 | g,c5:1 | g,c6:1 c | g,c6:1 t | g,c7:1 | g,c8:1 c | g,c8:1 t | g,c0:1 | g,c2:1 c | g,c2:1 t | g,c4:1 c | g,c0:5 n-3 | g,c1:5 | g,c2:5 n-3 | g,c8:2 clas | g,c8:2 i | g,"c8:2 n-6 c,c | g",c8:2 t not further defined | g,"c8:2 t,t | g","c8:3 n-3 c,c,c | g","c8:3 n-6 c,c,c | g",c8:3i | g,c8:4 | g,"c0:2 n-6 c,c | g",c0:3 n-3 | g,c0:3 n-6 | g,c2:4 | g,c4:0 | g,c6:0 | g,c8:0 | g,c0:0 | g,c2:0 | g,c3:0 | g,c5:0 | g,c7:0 | g,c2:6 n-3 | g,c6:1 not further defined | g,c8:1 not further defined | g,c2:1 not further defined | g,c8:2 not further defined | g,c8:3 not further defined | g,c0:3 not further defined | g,c0:4 not further defined | g,acidi grassi monoinsaturi totali | g,acidi grassi saturi totali | g,acidi grassi polinsaturi totali | g,proteine totali | g,lattosio (mse) | g,maltosio (mse) | g,saccarosio (mse) | g,"calorie, ricalcolata | kcal",carboidrati disponibili | g,amido | g,prolina | g,isoleucina | g,leucina | g,metionina | g,valina | g,istidina | g,triptofano | g,lisina | g,glicina | g,alanina | g,arginina | g,treonina | g,tirosina | g,acido aspartico | g,fenilalanina | g,serina | g,cistina | g,acido folico (vit. b9 o m o folacina) | g,alpha-tocoferolo (vit. e) | g,beta-sistosterolo | g,betaina | g,calcio | g,campesterolo | g,"carotene, alfa | g",colesterolo | g,colina totale (vit. j) | g,"criptoxantina, beta | g",ferro | g,fitosteroli | g,fluoro | g,folato alimentare | g,fosforo | g,licopene | g,luteina + zeaxantina | g,magnesio | g,manganese | g,potassio | g,rame | g,selenio | g,sodio | g,stigmasterolo | g,tocoferolo beta | g,tocoferolo delta | g,tocoferolo gamma | g,"vitamina b-12, aggiunta | g",vitamina d2 | g,vitamina d3 | g,"vitamina e, aggiunta | g",zinco | g,folati totali | g,acido pantotenico | g,vitamina k | g,vitamina b12 | g,vitamina b6 | g,niacina | g,vitamina c | g,vitamina d | g,colecalcifenolo (vit. d) | g,ß-carotene equivalente | g,retinolo equivalente | g,vitamina a retinolo eq. | g,riboflavina | g,tiamina | g,acido glutamico | g
pavesi gocciole king,,,,,,,2.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,,,,490.0,62.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,
algida kids calippo shots,,,,,,,,,,1.0,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,,,35.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,
agnesi ponte - pasta di semola minestre - risetto,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1999998092651,,,,348.0,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arance,,,,86.75,0.44,,2.4,,,0.12,,9.35,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.003,0.02,0.0,0.018000000000000002,0.006999999999999999,,0.0,0.023,0.015,0.025,0.94,,,,47.08,11.75,,0.046,0.025,0.023,0.02,0.04,0.018000000000000006,0.009000000000000003,0.047,0.094,0.05,0.065,0.015,0.016,0.114,0.031,0.032,0.01,0.0,0.00017999999999999998,,,0.04,,1.1e-05,0.0,0.008400000000000001,0.000116,0.0001,,,2.9999999999999997e-05,0.014,0.0,0.000129,0.01,2.5e-05,0.181,4.5e-05,5e-07,0.0,,,,,0.0,,,0.0,7.000000000000001e-05,2.9999999999999997e-05,0.00025,0.0,0.0,6e-05,0.00028199999999999997,0.0532,0.0,0.0,7.099999999999999e-05,0.0,6.75e-05,4e-05,8.7e-05,0.094
granarolo - centrale del latte milano dessert - panna cotta creme caramel,,,,,,,,,,18.7000007629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,240.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
knorr magia di aromi basilico,,,,,,,,,,31.7000007629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1999998092651385,,,,461.0,38.5999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lattuga,,,,94.61,0.58,0.39,2.1,0.8,0.0,0.3,,1.19,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.003,0.009000000000000001,0.0,0.047,0.113,,0.0,0.012,0.039,0.16,1.23,0.0,0.0,0.0,17.21,3.29,0.0,0.045,0.045,0.076,0.015,0.055,0.021,0.01,0.064,0.049,0.056,0.054000000000000006,0.043,0.025,0.139,0.065,0.05,0.006,0.0,0.00013000000000000002,,0.0001,0.033,,0.0,0.0,0.0099,0.0,0.0009699999999999999,,,0.000136,0.03,0.0,0.0023120000000000003,0.014,0.000155,0.247,4.8e-05,4e-07,0.008,,0.0,1e-05,0.00036,0.0,,,0.0,0.00023,0.000136,0.00014199999999999998,0.0001025,0.0,7.400000000000001e-05,0.000313,0.004,0.0,0.0,0.005226,0.0,0.002613,6.7e-05,7.200000000000003e-05,0.17800000000000002
"pollo in scatola, senza brodo",,,,64.9,0.8,,0.0,,,8.1,,0.0,,,,,,,,0.084,,,,0.011000000000000001,,0.011000000000000001,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.011000000000000001,,,,0.21100000000000002,0.465,2.73,0.0,1.597,0.07400000000000001,,0.07400000000000001,3.279,2.25,1.9780000000000002,25.3,,,,184.51,0.9,,,,,,,,,,,,,,,,,,,0.0,0.00032,,0.0054,0.014,,0.0,0.05,0.0738,0.0,0.0013000000000000002,,,2e-06,0.153,0.0,0.0,0.019,,0.153,5e-05,1.84e-05,0.135,,,,,0.0,,1e-07,0.0,0.0025,2e-06,,2.3e-06,1e-06,0.00019,0.0024,0.0,1e-07,1.25e-07,0.0,5.3e-05,5.31e-05,0.0001,0.0,
latte parzialmente scremato,,,,90.13,0.89,,0.0,,,0.88,,4.79,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.028999999999999998,0.017,0.01,0.022000000000000002,0.025,,,,0.0,0.02,0.221,0.0,0.02,0.013000000000000001,,0.0,0.254,0.5479999999999999,0.033,3.31,,,,40.39,4.79,,0.334,0.204,0.329,0.081,0.243,0.095,0.03600000000000001,0.277,0.073,0.11900000000000001,0.126,0.158,0.139,0.264,0.17400000000000002,0.172,0.031,0.0,5e-05,,,0.116,,0.0,0.004,0.0177,0.0,5e-05,,4e-06,5e-06,0.08900000000000001,0.0,0.0,0.011,2e-06,0.151,1.1e-05,2e-06,0.105,,2e-05,2e-05,3e-05,0.0,,0.0,0.0,0.00042,5e-06,0.000275,1e-07,2.2e-07,3.400000000000001e-05,5.8e-05,0.001,0.0,2.5e-08,1e-06,1.3e-05,1.4099999999999999e-05,0.000154,3.400000000000001e-05,0.643
ferrero kinder cereali - pezzo singolo,,,,,,,1.20000004768372,,,33.7000007629395,,47.2000007629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7000007629395,,9.0,,,,553.0,53.4000015258789,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,,,0.25,,,,,,,,0.10300000000000001,,,,,,,,,,,,,,,,,,,,,,,,
