name,"acidi grassi, trans | g","acidi grassi, trans-monoenoici | g","acidi grassi, trans-polienoico | g",acqua | g,ceneri | g,destrosio | g,fibre | g,fruttosio | g,galattosio | g,grassi | g,idrossiprolina | g,zuccheri | g,c4:1 | g,c5:1 | g,c6:1 c | g,c6:1 t | g,c7:1 | g,c8:1 c | g,c8:1 t | g,c0:1 | g,c2:1 c | g,c2:1 t | g,c4:1 c | g,c0:5 n-3 | g,c1:5 | g,c2:5 n-3 | g,c8:2 clas | g,c8:2 i | g,"c8:2 n-6 c,c | g",c8:2 t not further defined | g,"c8:2 t,t | g","c8:3 n-3 c,c,c | g","c8:3 n-6 c,c,c | g",c8:3i | g,c8:4 | g,"c0:2 n-6 c,c | g",c0:3 n-3 | g,c0:3 n-6 | g,c2:4 | g,c4:0 | g,c6:0 | g,c8:0 | g,c0:0 | g,c2:0 | g,c3:0 | g,c5:0 | g,c7:0 | g,c2:6 n-3 | g,c6:1 not further defined | g,c8:1 not further defined | g,c2:1 not further defined | g,c8:2 not further defined | g,c8:3 not further defined | g,c0:3 not further defined | g,c0:4 not further defined | g,acidi grassi monoinsaturi totali | g,acidi grassi saturi totali | g,acidi grassi polinsaturi totali | g,proteine totali | g,lattosio (mse) | g,maltosio (mse) | g,saccarosio (mse) | g,"calorie, ricalcolata | kcal",carboidrati disponibili | g,amido | g,prolina | g,isoleucina | g,leucina | g,metionina | g,valina | g,istidina | g,triptofano | g,lisina | g,glicina | g,alanina | g,arginina | g,treonina | g,tirosina | g,acido aspartico | g,fenilalanina | g,serina | g,cistina | g,acido folico (vit. b9 o m o folacina) | g,alpha-tocoferolo (vit. e) | g,beta-sistosterolo | g,betaina | g,calcio | g,campesterolo | g,"carotene, alfa | g",colesterolo | g,colina totale (vit. j) | g,"criptoxantina, beta | g",ferro | g,fitosteroli | g,fluoro | g,folato alimentare | g,fosforo | g,licopene | g,luteina + zeaxantina | g,magnesio | g,manganese | g,potassio | g,rame | g,selenio | g,sodio | g,stigmasterolo | g,tocoferolo beta | g,tocoferolo delta | g,tocoferolo gamma | g,"vitamina b-12, aggiunta | g",vitamina d2 | g,vitamina d3 | g,"vitamina e, aggiunta | g",zinco | g,folati totali | g,acido pantotenico | g,vitamina k | g,vitamina b12 | g,vitamina b6 | g,niacina | g,vitamina c | g,vitamina d | g,colecalcifenolo (vit. d) | g,ß-carotene equivalente | g,retinolo equivalente | g,vitamina a retinolo eq. | g,riboflavina | g,tiamina | g,acido glutamico | g
nestle baci tubo san valentino,,,,,,,,,,39.4000015258789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,571.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"pane francese, fatto in casa",,,,54.7,1.8,,,,,10.8,,,,,,,,,,0.006999999999999999,,,,0.001,,0.0,,,,,,,,,0.0,,,,,0.021,0.012,0.008,0.017,0.019,,,,0.01,0.099,4.414,0.001,2.431,0.115,,0.038,4.524,2.7230000000000003,2.594,7.7,,,,228.97,25.0,,0.588,0.375,0.621,0.188,0.419,0.179,0.094,0.413,0.251,0.334,0.364,0.305,0.28200000000000003,0.578,0.389,0.465,0.156,2e-05,,,,0.1,,,0.116,,,0.0016699999999999998,,,2.3e-05,0.117,,,0.017,0.000188,0.134,5.8e-05,2.01e-05,0.479,,,,,,,,,0.00067,4.3e-05,0.0005489999999999999,,3.1e-07,7.400000000000001e-05,0.001628,0.0003,,,6.599999999999999e-05,0.000118,0.0001509,0.000321,0.000204,1.7180000000000002
"asparagi, surgelati, lessi e salati",,,,94.1,0.61,,1.6,,,0.42,,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,,,,,0.002,0.011000000000000001,,0.175,0.01,,,0.013000000000000001,0.096,0.185,2.95,,,,17.69,1.92,,0.157,0.109,0.128,0.028,0.114,0.046,0.029,0.14,0.096,0.139,0.138,0.08199999999999999,0.047,0.342,0.07,0.112,0.035,0.0,0.0012,,0.0007,0.018000000000000002,,0.0,0.0,0.0209,0.0,0.0005600000000000001,,,0.000135,0.049,2.4e-05,0.000618,0.01,0.00014,0.172,0.000105,3.9e-06,0.24,,2e-05,0.0,0.00017,0.0,,,0.0,0.00041,0.000135,0.00015800000000000002,7.999999999999999e-05,0.0,2e-05,0.001038,0.0244,0.0,0.0,0.000483,0.0,0.0002418,0.000103,6.500000000000001e-05,0.483
spumante dolce,,,,70.51,0.3,2.6,0.0,5.15,,0.0,,7.78,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.2,,,0.05,160.37,13.69,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.008,,0.0,0.0,0.005,0.0,0.00024,,,0.0,0.009000000000000001,0.0,0.0,0.009000000000000001,0.000119,0.092,4.5e-05,5e-07,0.009000000000000001,,,,,0.0,,,0.0,7.000000000000001e-05,0.0,3.2e-05,0.0,0.0,0.0,0.000213,0.0,0.0,0.0,0.0,0.0,0.0,1.8000000000000007e-05,1.8000000000000007e-05,
granarolo latte accadì - latte accadi scremato,,,,,,,,,,0.100000001490116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1300001144409197,,,,33.0,4.90000009536743,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"granarolo - yomo yomo 100% naturale 0,1% grassi frutti rossi",,,,,,,,,,0.100000001490116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.30000019073486,,,,70.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
danone - activia delizia albicocca,,,,,,,0.699999988079071,,,2.9000000953674303,,13.1999998092651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.1999998092651385,,,,103.0,14.1000003814697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nestle - motta la cremeria - biscotto,,,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.699999809265139,,,,297.0,49.4000015258789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asparagi di bosco,,,,89.3,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,,,4.0,34.89,4.0,0.0,0.265,0.12,0.21,0.061,0.17300000000000001,0.07400000000000001,0.055,0.21,0.158,0.265,0.182,0.131,0.096,0.504,0.12,0.149,0.042,,,,,0.025,,,0.0,,,0.0011,,,,0.09,,,,,0.198,,,0.005,,,,,,,,,,,,,,,0.0015,,,,,0.000155,,0.00043,0.00013000000000000002,0.968
sale,,,,0.2,99.8,,0.0,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.024,,0.0,0.0,0.0,0.0,0.00033,0.0,2e-06,0.0,0.0,0.0,0.0,0.001,0.0001,0.008,3e-05,1e-07,38.758,,,,,0.0,,,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barretta di latte e cereali,0.0,,,8.69,1.76,,0.4,,,10.98,,45.97,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.045,0.05,0.325,0.244,2.72,,,,0.0,0.009000000000000001,1.177,0.0,0.23,0.009000000000000001,,0.0,1.186,9.113999999999999,0.239,6.47,,,,413.0,72.05,,,,,,,,,,,,,,,,,,,8.7e-05,0.00042,,,0.41,,0.0,0.006,0.031,0.0,0.0059900000000000005,,,1.1e-05,0.155,0.0,0.0,0.021,0.000206,0.254,4.900000000000001e-05,7.699999999999999e-06,0.319,,,,,1.51e-06,,,0.0,0.00084,9.8e-05,0.000495,2.5e-06,2e-06,0.0008190000000000001,0.008194,0.0154,1.6999999999999996e-06,1.7e-06,0.0,0.000188,0.0001881,0.000696,0.000615,
mousse al cioccolato,,,,62.94,0.76,,0.6,,,16.0,,14.81,0.002,,,,,,,0.006999999999999999,,,,0.001,,0.0,,,,,,,,,0.0,,,,,0.312,0.203,0.13699999999999998,0.252,0.278,0.0,0.001,0.004,0.01,0.26899999999999996,4.627,0.001,0.6559999999999999,0.17600000000000002,,0.037000000000000005,5.027,9.151,0.879,4.14,,,,224.9,16.07,,,,,,,,,,,,,,,,,,,0.0,0.0005099999999999999,,,0.096,,3e-06,0.14,,3e-06,0.00055,,,1.4999999999999999e-05,0.117,0.0,9.4e-05,0.02,5.9e-05,0.14300000000000002,7.5e-05,7.400000000000001e-06,0.038,,,,,0.0,,,0.0,0.00064,1.4999999999999999e-05,0.0005329999999999999,1.6e-06,4.7e-07,5.8e-05,0.000146,0.0001,,,2.7e-05,0.000138,0.00015269999999999994,0.000205,4.5e-05,
bagel,0.0,,,28.27,1.76,,2.6,,,1.72,0.0,5.82,0.0,0.0,,,0.0,0.41100000000000003,0.0,0.003,,,0.0,0.0,,0.0,,,,,,0.11,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.41100000000000003,0.0,0.8340000000000001,0.11,0.0,0.0,0.418,0.28300000000000003,0.9440000000000001,11.14,,,,288.48,57.11,48.7,1.311,0.449,0.8170000000000002,0.209,0.507,0.252,0.138,0.279,0.414,0.386,0.42700000000000016,0.334,0.334,0.531,0.5770000000000002,0.5640000000000001,0.25,0.000103,0.00012,,,0.099,,0.0,0.0,0.016399999999999998,0.0,0.0045000000000000005,0.0,,2.8000000000000013e-05,0.092,0.0,5.5e-05,0.024,0.000575,0.085,0.00015,2.52e-05,0.48,,,,,0.0,,,0.0,0.0013000000000000002,0.000131,0.000229,1e-06,0.0,7.000000000000001e-05,0.004375,0.0,0.0,0.0,0.0,0.0,0.0,0.00027,0.000602,3.8930000000000016
agnesi pasta di semola le specialità artigianali - conchiglioni,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,340.0,71.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proteine isolate della soia,,,,4.42,4.01,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6709999999999999,0.871,1.729,87.75,,,,387.91,0.0,,4.5,4.3,7.2,1.15,4.5,2.3000000000000003,1.1,5.5,3.7,3.8,6.7,3.3000000000000003,3.3000000000000003,10.2,4.6000000000000005,4.6000000000000005,1.15,0.0,,,,0.2,,,0.0,,,0.016,,,0.0002,0.862,,,0.04,,0.1,0.0014,,1.188,,,,,,,,,0.004,0.0002,0.0002,,0.0,,0.0003,0.0,,,,0.0,0.0,0.0001,0.0002,16.8
"succo di mela, concentrato, congelato, senza vitamina c aggiunta",,,,57.0,1.12,,0.4,,,0.37,,38.83,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.001,,,,0.0,0.001,0.013999999999999999,0.0,0.08900000000000001,0.019,,0.0,0.015,0.06,0.10800000000000001,0.51,,,,166.11,41.0,,,,,,,,,,,,,,,,,,,0.0,4e-05,,,0.02,,0.0,0.0,0.006500000000000001,0.0,0.00091,,,1e-06,0.025,0.0,5.6999999999999996e-05,0.017,0.000225,0.448,5e-05,4e-07,0.025,,,,,0.0,,,0.0,0.00013000000000000002,1e-06,0.000223,0.0,0.0,0.000116,0.000135,0.0021000000000000003,0.0,0.0,0.0,0.0,0.0,5.400000000000001e-05,1.1e-05,
nestle baci scatola incartata,,,,,,,,,,39.4000015258789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,571.0,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colussi - sapori tutto l'anno - cantuccini noir,,,,,,,,,,23.2000007629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.89999961853027,,,,486.0,60.4000015258789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barilla - mulino bianco torte - frolla croccante,,,,,,,2.2999999523162797,,,28.5,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5,,6.199999809265139,,,,511.0,57.2999992370605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,
barilla - mulino bianco fette biscottate armonie al malto d'orzo,,,,,,,4.0,,,6.199999809265139,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0999999046325697,,11.0,,,,400.0,75.1999969482422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,,,,,,,,,,
nestle nescafé dolce gusto cappuccino,,,,,,,,,,19.2000007629395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7999992370605,,,,444.0,50.4000015258789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
farfaraccio,,,,94.5,1.46,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,,,,14.1,3.61,,,,,,,,,,,,,,,,,,,0.0,,,,0.10300000000000001,,,0.0,,,0.0001,,,1e-05,0.012,,,0.014,0.00027400000000000005,0.655,0.000103,9.000000000000002e-07,0.006999999999999999,,,,,,,,,0.00016,1e-05,3.2e-05,,0.0,9.6e-05,0.0002,0.0315,0.0,0.0,,0.0,1.4999999999999999e-05,2e-05,2e-05,
barilla - mulino bianco merende - nastrine,,,,,,,2.0,,,28.5,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6999998092651,,7.0,,,,671.0,46.5999984741211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,
nestle - baby omogeneizzato di mela banana arancia,,,,,,,1.89999997615814,,,0.100000001490116,,11.8000001907349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.5,,,,51.0,12.1000003814697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"patatine fritte, burger king",,,,36.66,2.36,0.32,2.9,0.0,0.2,17.4,0.0,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,0.0,0.0,0.17,331.02,40.08,38.1,0.145,0.11800000000000001,0.185,0.065,0.17800000000000002,0.07,0.03,0.2880000000000001,0.10300000000000001,0.112,0.197,0.12,0.105,0.7340000000000001,0.158,0.11900000000000001,0.012,,0.0007599999999999999,,,0.009000000000000001,,,,,,0.0012900000000000001,,,,0.14300000000000002,,,0.03,0.000242,0.473,0.000145,1.2e-06,0.455,,4e-05,0.0026100000000000003,0.004,,,,,0.0011,,0.00039000000000000016,1.11e-05,,0.000175,0.0023420000000000003,0.0007,,,,,,3e-05,0.00017300000000000006,0.547
"bieta, lessa",,,,92.65,1.26,,2.1,,,0.08,,1.1,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.016,0.0,0.025,0.003,,0.0,0.016,0.012,0.027999999999999997,1.88,,,,20.08,4.13,,,0.154,0.135,0.02,0.114,0.038,0.018000000000000006,0.10300000000000001,,,0.122,0.08600000000000001,,,0.114,,,0.0,0.00189,,0.0001,0.058,,4.5e-05,0.0,0.0287,0.0,0.0022600000000000003,,,9e-06,0.033,0.0,0.011015,0.08600000000000001,0.000334,0.5489999999999999,0.00016299999999999998,9.000000000000002e-07,0.179,,,,,0.0,,,0.0,0.00033,9e-06,0.00016299999999999998,0.0003273,0.0,8.499999999999999e-05,0.00036,0.018000000000000002,0.0,0.0,0.003652,0.0,0.0018372,8.599999999999999e-05,3.400000000000001e-05,
"carne di montone, arrosto",,,,54.0,1.41,,,,,11.09,0.244,,0.012,0.0,,,0.085,,,0.006999999999999999,,,,,,,,,,,,0.147,0.025,,,0.0,,,,,,0.0,0.012,0.01,,0.063,0.158,,0.20600000000000002,4.149,,0.396,0.172,0.0,0.07400000000000001,4.459,5.142,0.8140000000000001,33.43,,,,233.75,0.08,,1.411,1.588,2.764,0.918,1.6780000000000002,0.975,0.257,2.999,1.651,1.964,2.178,1.403,1.162,3.122,1.399,1.332,0.34800000000000003,,0.0008,,0.0339,0.01,,,0.109,0.1006,,0.00476,,,0.0,0.272,,,0.031,3.3e-05,0.409,6.2e-05,3.8e-05,0.135,,0.0,0.0,0.0,,,,,0.0059299999999999995,0.0,0.000897,,4.44e-06,0.000377,0.006520000000000001,,,,,,,0.0003,6e-05,5.167000000000002
granarolo linea granarolo - uova fresche granarolo,,,,,,,,,,9.60000038146973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1000003814697,,,,150.0,0.699999988079071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
agnesi ponte - pasta di semola corta - cellentani,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.1999998092651,,,,348.0,71.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"bovino, polmone",,,,80.5,1.1,,0.0,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.79,0.31,16.3,,,,90.11,0.0,,,0.6759999999999999,0.931,0.259,0.6940000000000002,,0.129,1.208,,,,0.606,0.34400000000000003,,0.579,,0.139,0.0,,,,0.006999999999999999,,,0.229,,,0.005229999999999999,,,1.1e-05,0.28800000000000003,,,0.012,1.8000000000000007e-05,0.274,0.00024100000000000008,1.7199999999999998e-05,0.108,,,,,,,,,0.00116,1.1e-05,,,3.83e-06,0.00011,0.004025000000000001,0.039,,,,0.0,0.0,0.000231,4.7e-05,
focaccia alla cipolla,,,,32.6,1.8,,2.3,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.013999999999999999,0.11699999999999999,,0.66,0.036000000000000004,,,0.131,0.22,0.696,10.5,,,,275.1,53.4,,1.18,0.404,0.735,0.188,0.456,0.227,0.124,0.251,0.373,0.3470000000000001,0.384,0.301,0.301,0.478,0.519,0.508,0.225,0.0,,,,0.07400000000000001,,,0.0,,,0.00136,,,2.2e-05,0.096,,,0.029,0.00054,0.101,0.00016299999999999998,,0.534,,,,,,,,,0.00088,2.2e-05,0.000363,,0.0,5.1e-05,0.0017579999999999998,0.0,,,,0.0,0.0,5.2000000000000004e-05,0.00016299999999999998,3.5039999999999996
"biscotti, per l'infanzia",0.004,,,6.4,2.3,,1.4,,,4.2,,12.65,,,,,,,,0.004,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.051,0.013999999999999999,0.015,0.034,0.034,,0.0,0.001,0.0,0.069,1.629,0.0,0.97,0.027999999999999997,,0.0,1.702,1.206,0.998,10.7,,,,391.25,76.4,,,,,,,,,,,,,,,,,,,2.9e-05,0.0011,,,0.263,,6e-06,0.006999999999999999,0.0338,0.0,0.00355,,2.1e-06,2e-05,0.16399999999999998,0.0,0.000169,0.035,,0.32299999999999995,0.00014199999999999998,2.35e-05,0.227,,,,,0.0,,,0.0,0.00093,4.9e-05,0.000526,5e-07,7e-08,0.000111,0.0043300000000000005,0.0091,5e-07,5.25e-07,1.3e-05,2.7e-05,3.48e-05,0.000537,0.00023300000000000005,
granarolo - centrale del latte milano uova extrafresche centrale del latte,,,,,,,,,,9.60000038146973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.1000003814697,,,,150.0,0.699999988079071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nestle - buitoni torta margherita buitoni,,,,,,,0.8999999761581421,,,24.2999992370605,,20.6000003814697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4000000953674303,,5.900000095367429,,,,408.0,41.4000015258789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,,,,,,,,,,,,,,,,,,
pollo arrosto (solo carne),,,,67.41,0.95,,0.0,,,6.63,,,,,,,,,,0.04,,,,0.01,,0.02,,,,,,,,,,,,,,,,,0.0,0.01,,,,0.03,0.34,2.08,0.0,1.24,0.06,,0.1,2.5,1.81,1.51,25.01,,,,167.07,0.0,,1.029,1.321,1.877,0.6930000000000001,1.24,0.7759999999999999,0.292,2.125,1.229,1.365,1.5090000000000001,1.056,0.8440000000000001,2.229,0.993,0.86,0.32,0.0,,,,0.012,,,0.075,,,0.00121,,,5e-06,0.192,,,0.021,1.7000000000000007e-05,0.229,5.7e-05,2.46e-05,0.075,,,,,,,,,0.00152,5e-06,0.000972,,2.9e-07,0.00041,0.007881,0.0,,,,1.2e-05,1.23e-05,0.000147,6.2e-05,3.745
nestle la cremeria - spagnola,,,,,,,2.2999999523162797,,,4.90000009536743,,27.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.90000009536743,,2.09999990463257,,,,179.0,31.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,
danone - activia 0.1 % bianco e cereali integrali,,,,,,,1.29999995231628,,,0.100000001490116,,7.599999904632571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.30000019073486,,,,56.0,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"carote, surgelate, lesse",,,,90.32,0.69,0.36,3.3,0.28,0.0,0.68,,4.08,0.0,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,0.0,0.0,0.0,0.006,,0.0,,0.0,0.006,0.025,0.0,0.289,0.044000000000000004,,0.0,0.031,0.12,0.33399999999999996,0.58,0.0,0.0,3.44,37.05,7.73,0.31,0.034,0.048,0.063,0.013000000000000001,0.043,0.025,0.006999999999999999,0.063,0.029,0.07,0.057,0.11900000000000001,0.026000000000000002,0.11800000000000001,0.038,0.034,0.051,0.0,0.00101,,0.0001,0.035,,0.0037159999999999997,0.0,0.0086,0.000199,0.0005300000000000001,,,1.1e-05,0.031,0.0,0.000676,0.011,0.000167,0.192,8.199999999999999e-05,6e-07,0.059000000000000004,,,,,0.0,,,0.0,0.00035,1.1e-05,0.000174,1.36e-05,0.0,8.400000000000001e-05,0.00041600000000000003,0.0023,0.0,0.0,0.008199,0.0,0.005078399999999999,3.700000000000001e-05,3e-05,0.228
"estratto di vaniglia, con alcol",,,,64.46,0.22,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,237.09,2.41,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,0.00013000000000000002,,,0.0,0.022,,,0.005,0.0004820000000000001,0.098,2.3e-05,,0.004,,,,,,,,,6e-05,0.0,2.6000000000000002e-05,,0.0,1.9e-05,0.00031800000000000003,0.0,0.0,0.0,,0.0,0.0,7.099999999999999e-05,8e-06,
coscia di tacchino arrosto,,,,61.18,0.98,,0.0,,,9.63,,,,,,,,,,0.03,,,,0.0,,0.03,,,,,,,,,,,,,,,,,0.0,0.01,,,,0.05,0.45,2.31,0.02,2.22,0.11,,0.23,2.83,2.99,2.66,27.93,,,,206.02,0.0,,1.253,1.4169999999999998,2.188,0.794,1.465,0.851,0.312,2.572,1.58,1.764,1.962,1.227,1.074,2.7,1.098,1.236,0.301,0.0,,,,0.035,,,0.09,,,0.00228,,,9e-06,0.2,,,0.023,2.2000000000000006e-05,0.281,0.000157,4.11e-05,0.08,,,,,,,,,0.00434,9e-06,0.0012369999999999998,,3.7e-07,0.00034,0.0034730000000000004,0.0,,,,0.0,0.0,0.000252,6.4e-05,4.49
crema di sedano,,,,84.96,2.23,,0.6,,,4.46,,1.35,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,0.0,,,,,0.05,0.04,0.02,0.05,0.04,,,,0.0,0.05,0.95,0.0,1.94,0.06,,0.0,1.03,1.12,2.0,1.32,,,,71.94,7.03,,0.11,0.062,0.099,0.024,0.07100000000000001,0.031,0.015,0.059000000000000004,0.041,0.048,0.047,0.047,0.043,0.092,0.062,0.06,0.015,0.0,0.00139,,,0.032,,0.0,0.011,0.009000000000000001,0.0,0.0005,,,2e-06,0.03,0.0,0.000155,0.005,0.0002,0.098,0.000113,1.8e-06,0.516,,,,,0.0,,,0.0,0.00012,2e-06,0.00092,1.7199999999999998e-05,4e-08,1e-05,0.00026500000000000004,0.0002,0.0,0.0,0.00015099999999999998,9e-06,8.46e-05,3.9e-05,2.3e-05,0.306
kraft susanna snack,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,305.0,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chili con carne,,,,76.7,1.64,,,,,3.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,0.008,,,,,0.047,1.3,,0.12,0.08900000000000001,,,1.347,1.3559999999999999,0.209,9.73,,,,101.1,8.67,,0.443,0.403,0.735,0.19,0.459,0.28400000000000003,0.116,0.727,0.5820000000000001,0.54,0.61,0.392,0.2830000000000001,1.0070000000000001,0.4,0.406,0.1,6e-06,,,,0.027000000000000003,,,0.053,,,0.00205,,,1.2e-05,0.078,,,0.018000000000000002,0.000157,0.273,0.000235,1.74e-05,0.398,,,,,,,,,0.00141,1.8e-05,0.0014199999999999998,2e-06,4.5e-07,0.00013000000000000002,0.00098,0.0006,,,,0.0,0.0001971,0.00045,5e-05,1.7080000000000002
loacker fondente dark noir 75 grammi,,,,,,,,,,23.7999992370605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.800000190734861,,,,489.0,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
