name,acido aspartico | g,acido fitico | g,acido glutamico | g,acqua | g,alanina | g,alcol | g,amido | g,aminoacido limitante,arginina | g,c12:0 | g,c14:0 | g,c14:1 | g,c16:0 | g,c16:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c20:0 | g,c20:1 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,calcio | g,carboidrati disponibili | g,categoria,cistina | g,codice alimento,colesterolo | g,energia | kj,energia | kcal,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,fosforo | g,glicina | g,indice chimico,isoleucina | g,istidina | g,leucina | g,lipidi | g,lisina | g,magnesio | g,metionina | g,niacina | g,nome scientifico,potassio | g,prolina | g,proteine | g,rame | g,rapporto polinsaturi/saturi,riboflavina | g,selenio | g,serina | g,sodio | g,tiamina | g,tirosina | g,treonina | g,triptofano | g,valina | g,vitamina a retinolo eq. | g,vitamina c | g,vitamina e | g,zinco | g,zuccheri solubili | g
sardine fritte,0.305,0.0,0.4,43.1,0.273,0.0,0.0,Fenil.,0.147,0.0,0.45,0.0,2.71,0.54,0.68,9.76,0.8,0.43,0.0,0.0,0.65,0.91,0.0,0.0,1.53,,,Prodotti della pesca,0.036000000000000004,122806.0,,,,0.106,,0.0,0.0,0.0,,0.276,92.0,0.137,0.112,0.25,21.2,0.25,0.10200000000000001,0.08600000000000001,,Sardina pilchardus,,0.28700000000000003,32.3,0.0021000000000000003,1.1,,8.45e-05,0.161,,,0.079,0.156,,0.17400000000000002,,0.0,,0.0057,
"pollo, sovracoscio senza pelle, cotto [in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura]",,0.0,,61.3,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.018000000000000002,0.0,Carni Fresche,,106613.0,,786.0,188.0,,0.0014,0.0,0.0,0.0,,,,,,,8.3,,0.041,,,Gallus gallus,0.488,,28.3,0.00011,,,,,0.112,,,,,,5e-08,0.0,,0.0026000000000000003,0.0
salsa tomato ketchup,,,,64.8,,0.0,1.0,,,0.0,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,24.0,Prodotti Vari,,502260.0,0.0,412.0,98.0,,0.0002,,,0.9,0.043000000000000003,,,,,,0.05,,,,0.0021000000000000003,,5.901,,2.1,,1.0,8.999999999999999e-05,,,1.12,0.001,,,,,0.00022999999999999998,0.002,,,22.9
mortadella,1.5070000000000001,0.0,2.333,52.3,0.9420000000000001,0.0,0.0,Trip.,0.882,0.0,0.41,0.0,5.7,0.6,3.1,11.72,3.47,0.17,0.04,0.0,0.22,0.0,0.0,0.0,0.0,0.009000000000000001,1.5,Carni Trasformate e Conservate,0.159,110200.0,0.07,1328.0,317.0,0.5690000000000001,0.0014,0.0,0.0,0.0,0.18,1.061,90.0,0.713,0.464,1.207,28.1,1.189,0.008,0.401,0.00359,,0.13,0.794,14.7,,0.4,0.00026000000000000003,2.2e-06,0.614,0.506,0.00019,0.467,0.614,0.146,0.758,5e-08,0.0,,0.0008,1.5
gallina,,0.0,,66.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.015,0.0,Carni Fresche,,106100.0,,813.0,194.0,,0.0016,0.0,0.0,0.0,0.20500000000000002,,,,,,12.3,,,,0.004,Gallus gallus,,,20.9,,,0.0001,,,,0.0003,,,,,,0.0,,,0.0
"pasta di semola, cotta [bollita in acqua distillata senza aggiunta di sale e scolata]",0.216,,1.472,61.7,0.151,0.0,26.4,Lis.,0.171,,,,,,,,,,,,,,,,,0.004,30.3,Cereali e Derivati,0.107,805.0,0.0,573.0,137.0,0.24,0.0008,1.03,0.51,1.5,0.032,0.151,35.0,0.194,0.1,0.366,0.5,0.095,0.024,0.078,0.0006,,0.033,0.488,4.7,0.0001,,4e-05,,0.23800000000000002,0.001,2e-05,0.128,0.135,0.048,0.245,0.0,0.0,5e-05,0.0005,1.3
"fave fresche, cotte [saltate in padella senza aggiunta di grassi e di sale]",,,,81.0,,0.0,2.5,,,,,,,,,,,,,,,,,,,0.026000000000000002,5.3,Legumi,,4406.0,0.0,204.0,49.0,,0.002,4.86,1.08,5.9,0.11,,,,,,0.5,,,,,Vicia faba,0.23600000000000002,,6.1,,,,,,0.02,,,,,,,0.0,,,2.6
"pollo, sovracoscio con pelle crudo",1.716,0.0,2.5460000000000003,67.4,1.075,0.0,0.0,Trip.,1.206,,,,,,,,,,,,,,,,,0.01,0.0,Carni Fresche,0.20400000000000001,106600.0,0.082,818.0,196.0,0.682,0.0008,0.0,0.0,0.0,,0.907,100.0,0.87,0.498,1.375,14.0,1.547,0.021,0.517,,Gallus gallus,0.277,0.731,17.4,0.0001,,,,0.788,0.07100000000000001,,0.5670000000000001,0.839,0.2,0.893,5e-08,0.0,,0.00145,0.0
"marmellate, normali e tipo frutta viva",,0.0,,36.0,,0.0,0.0,,,0.0,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018000000000000002,58.7,Dolci,,204500.0,0.0,930.0,222.0,,0.0014,,,2.2,0.007,,,,,,0.05,,,,0.0009000000000000001,,0.1,,0.5,,1.0,2e-05,,,0.012,2e-05,,,,,0.0,0.004,5e-05,,58.7
"pollo intero senza pelle, cotto [in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura]",2.662,0.0,3.959,65.3,1.6540000000000001,0.0,0.0,Trip.,1.92,0.0,0.12,0.07,0.97,0.16,0.6,1.13,0.73,0.03,0.0,0.01,0.4,0.02,0.0,0.0,0.1,0.01,0.0,Carni Fresche,0.357,106213.0,0.109,670.0,160.0,1.191,0.0011,0.0,0.0,0.0,,1.295,100.0,1.395,0.968,2.355,5.4,2.584,0.031,0.882,,Gallus gallus,0.366,1.149,27.9,7.000000000000001e-05,0.9,,,1.242,0.09,,0.996,1.362,0.312,1.532,5e-08,0.0,,0.0020499999999999997,0.0
