name,acido aspartico | g,acido fitico | g,acido glutamico | g,acqua | g,alanina | g,alcol | g,amido | g,aminoacido limitante,arginina | g,c12:0 | g,c14:0 | g,c14:1 | g,c16:0 | g,c16:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c20:0 | g,c20:1 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,calcio | g,carboidrati disponibili | g,categoria,cistina | g,codice alimento,colesterolo | g,energia | kj,energia | kcal,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,fosforo | g,glicina | g,indice chimico,isoleucina | g,istidina | g,leucina | g,lipidi | g,lisina | g,magnesio | g,metionina | g,niacina | g,nome scientifico,potassio | g,prolina | g,proteine | g,rame | g,rapporto polinsaturi/saturi,riboflavina | g,selenio | g,serina | g,sodio | g,tiamina | g,tirosina | g,treonina | g,triptofano | g,valina | g,vitamina a retinolo eq. | g,vitamina c | g,vitamina e | g,zinco | g,zuccheri solubili | g
salmone fresco,,0.0,,68.0,,0.0,0.0,,,0.0,0.52,0.0,2.03,0.65,0.42,2.46,0.15,0.09,0.0,0.91,0.05,0.89,0.0,0.58,1.19,0.027,1.0,Prodotti della pesca,,122400.0,0.035,776.0,185.0,,0.0007,0.0,0.0,0.0,0.28,,,,,,12.0,,,,0.007,Salmo salar,0.31,,18.4,,1.0,0.00015,,,0.098,0.0002,,,,,1.3e-05,5e-05,,,1.0
mele cotogne,,,,84.3,,0.0,0.05,,,,,,,,,,,,,,,,,,,0.004,6.3,Frutta,,7220.0,0.0,108.0,26.0,,0.0001,4.51,1.41,5.9,0.014,,,,,,0.1,,,,0.0007,Cydonia oblonga (Pyrus cydonia),,,0.3,,,3e-05,,,,2e-05,,,,,0.0,0.014,,,6.3
pop corn,,0.61,,4.3,,0.0,,,,,,,,,,,,,,,,,,,,0.01,77.9,Prodotti Vari,,501200.0,0.0,1581.0,378.0,,0.0027,,,15.1,0.3,,,,,,4.2,,,,0.00195,,0.301,,12.0,0.00042,,0.00028000000000000003,,,0.004,0.0002,,,,,1.9999999999999998e-05,0.0,,0.00344,
guava,,,,87.2,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.01,3.5,Frutta,,7560.0,0.0,85.0,20.0,,0.0002,,,5.4,,,,,,,0.5,,,,0.001,Psidium guajava,0.15,,0.7,,,4e-05,,,0.004,3e-05,,,,,8.2e-05,0.243,,,3.5
anguilla di mare,,0.0,,62.8,,0.0,0.0,,,0.0,0.57,0.0,3.43,1.72,0.85,6.57,0.43,0.21,0.0,0.24,0.47,0.0,0.0,0.05,0.0,0.017,0.7,Prodotti della pesca,,120240.0,0.088,993.0,237.0,,0.0006,0.0,0.0,0.0,0.223,,,,,,19.6,,,,0.0026000000000000003,Anguilla anguilla,0.27,,14.6,,0.9,0.00032,,,0.08700000000000001,0.00017999999999999998,,,,,0.009800999999999999,0.002,,,0.7
"cuore di bovino, cotto",,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,Frattaglie,,115219.0,0.274,,,,,0.0,0.0,0.0,,,,,,,,,,,,Bos taurus,,,,,,,,,,,,,,,,,,,
pecorino,,0.0,,34.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.607,0.2,Formaggi e latticini,,166050.0,,1640.0,392.0,,0.0006,0.0,0.0,0.0,0.59,,,,,,32.0,,0.04,,0.0002,,0.09,,25.8,,,0.00047,6.3e-06,,1.8,3e-05,,,,,0.00037999999999999997,0.0,0.0007,0.0033799999999999998,0.2
crostata con marmellata,,,,20.9,,0.0,,,,,,,,,,,,,,,,,,,,,65.5,Dolci,,208510.0,,1418.0,339.0,,,,,,,,,,,,8.2,,,,,,,,4.9,,,,,,,,,,,,0.0,0.0,,,
"pere fresche, senza buccia",,0.0,,87.4,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.011,8.8,Frutta,,7260.0,0.0,147.0,35.0,,0.0003,2.56,1.29,3.8,0.015,,,,,,0.1,,0.007,,0.0001,Pyrus communis,0.127,,0.3,5e-05,,3e-05,,,0.002,1e-05,,,,,5e-08,0.004,,5e-05,8.8
"yogurt da latte, scremato",,0.0,,89.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,4.0,Latte e Yogurt,,152000.0,0.002,152.0,36.0,,,0.0,0.0,0.0,,,,,,,0.9,,,,,,0.185,,3.3,,,,,,0.058,,,,,,,0.001,5e-05,,4.0
fiori di zucca,,,,94.3,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.039,0.5,Verdure e Ortaggi,,5330.0,0.0,51.0,12.0,,0.002,,,,0.037,,,,,,0.4,,,,,Cucurbita pepo,,,1.7,,,0.00016,,,,8.999999999999999e-05,,,,,0.000252,0.028,,,0.5
germe di frumento [composizione media fra germe di frumento duro e tenero],,4.14,,10.0,,0.0,,,,0.0,0.0,0.0,0.01,0.04,1.66,1.41,5.38,0.68,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.07200000000000001,55.0,Cereali e Derivati,,330.0,0.0,1708.0,408.0,,0.01,,,,1.1,,,,,,10.0,,0.255,,0.006200000000000001,,0.8270000000000001,,28.0,0.00095,3.5,0.00061,3.9e-06,,0.003,0.00244,,,,,9.999999999999999e-06,0.0,0.016,0.00122,
"dentice, surgelato",,0.0,,80.1,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.03,0.7,Prodotti della pesca,,120920.0,,431.0,103.0,,0.0008,0.0,0.0,0.0,0.188,,,,,,3.5,,,,0.0033,Dentex dentex,,,17.2,,,0.00015,,,,8e-05,,,,,,0.0,,,0.7
"pasta di semola, integrale, cotta [bollita in acqua distillata senza aggiunta di sale]",,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Cereali e Derivati,,855.0,0.0,,,,,2.58,0.44,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,5e-05,,
"merendine, tipo pan di spagna",,,,17.9,,0.0,25.3,Lis.,,0.0,0.0,0.0,2.98,0.0,0.0,3.17,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058,62.7,Dolci,0.098,210050.0,0.058,1601.0,383.0,0.37,0.0014,,,,0.117,,65.0,0.322,,0.579,13.1,0.278,,0.186,,,0.10300000000000001,,7.4,0.00015,0.2,,,0.372,,,0.257,0.23800000000000002,0.078,0.383,,0.0,,0.00071,34.9
gelato confezionato- cono con panna e cioccolato,,,,43.2,,0.0,,,,,,,,,,,,,,,,,,,,0.10300000000000001,34.9,Dolci,,206270.0,,1217.0,291.0,,,,,,0.222,,,,,,15.5,,,,,,,,5.1,,,,,,,,,,,,,,,,
"cicoria da taglio, coltivata",,,,95.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.15,1.7,Verdure e Ortaggi,,5230.0,0.0,51.0,12.0,,0.0015,,,,0.026000000000000002,,,,,,0.1,,,,0.0003,Cichorium intybus,0.18,,1.2,,,8e-05,,,0.007,3e-05,,,,,0.000267,0.008,,,1.7
dadi da brodo,,,,4.6,,0.0,,,,,,,,,,,,,,,,,,,,,5.0,Prodotti Vari,,503010.0,,1045.0,250.0,,,,,,,,,,,,18.7,,,,,,,,15.7,,,,,,,,,,,,,,,,
fiocchi d'avena,,,,10.3,,0.0,66.2,,,,,,,,,,,,,,,,,,,0.054,72.8,Cereali e Derivati,,3030.0,0.0,1559.0,373.0,,0.005200000000000001,4.99,3.3,8.3,0.365,,,,,,7.5,,,,0.001,Avena sativa,,,8.0,,,0.00014000000000000001,,,,0.00055,,,,,0.0,0.0,,,0.0
"maiale, leggero, spalla",1.953,0.0,2.81,73.1,1.129,0.0,0.0,Trip.,1.18,0.01,0.13,0.0,1.63,0.13,0.47,1.86,1.35,,0.0,0.13,0.03,0.0,0.0,0.0,0.0,0.007,0.0,Carni Fresche,0.216,105220.0,0.067,555.0,133.0,0.711,0.0012,0.0,0.0,0.0,0.18,0.961,87.0,1.0,0.649,1.559,6.3,1.608,,0.499,0.003,Sus scrofa domestica,0.21,0.791,19.0,0.00015,0.6,0.00035,1.4e-05,0.77,0.073,0.00026000000000000003,0.638,0.81,0.183,1.11,5e-08,0.0,,0.0018000000000000002,0.0
pollo intero senza pelle crudo,1.917,0.0,2.825,76.1,1.1480000000000001,0.0,0.0,Trip.,1.341,0.0,0.04,0.05,0.69,0.18,0.48,0.83,0.53,0.04,0.0,0.0,0.13,0.01,0.0,0.0,0.03,0.008,0.0,Carni Fresche,0.246,106210.0,0.075,460.0,110.0,0.8230000000000001,0.0007,0.0,0.0,0.0,0.2,0.9,100.0,0.98,0.6890000000000001,1.641,3.6,1.7910000000000001,0.026000000000000002,0.623,0.0058,Gallus gallus,0.307,0.733,19.4,6e-05,0.7,0.00015,9.999999999999999e-06,0.885,0.07,0.0001,0.679,0.9530000000000001,0.215,1.036,5e-08,0.0,,0.00126,0.0
banane,0.126,,0.11,76.8,0.053,0.0,2.4,Lis.,0.09,,,,,,,,,,,,,,,,,0.007,15.4,Frutta,0.032,7510.0,0.0,273.0,65.0,0.047,0.0008,1.19,0.62,1.8,0.028,0.05,70.0,0.035,0.09,0.056,0.3,0.049,,0.024,0.0007,Musa sapientium,0.35000000000000003,0.049,1.2,,,6e-05,,0.047,0.001,6e-05,0.163,0.041,0.014,0.048,4.4999999999999996e-05,0.016,,,12.8
crescenza,1.02,0.0,2.63,58.3,0.43,0.0,0.0,Treo.,0.45,,,,,,,,,,,,,,,,,0.557,1.9,Formaggi e latticini,0.1,160890.0,0.053,1177.0,281.0,0.68,0.0001,0.0,0.0,0.0,0.28500000000000003,0.25,97.0,0.63,0.36,1.25,23.3,1.01,0.02,0.4,,,0.11,1.48,16.1,,,,6.4e-06,0.77,0.35000000000000003,,0.76,0.53,0.22,0.8200000000000001,0.000135,5e-05,0.00045000000000000004,0.00233,1.9
melone d'inverno,,0.0,,94.1,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.021,4.9,Frutta,,7240.0,0.0,93.0,22.0,,0.0003,,,0.7,0.016,,,,,,0.2,,,,0.0005,Cucumis melo var. inodorus,,,0.5,,,2e-05,,,,1e-05,,,,,4.9999999999999996e-06,0.012,,,4.9
pangrattato,,,,6.8,,0.0,66.2,,,,,,,,,,,,,,,,,,,0.11,77.8,Cereali e Derivati,,570.0,0.0,1469.0,351.0,,0.0021000000000000003,,,,0.13,,,,,,2.1,,,,0.0018000000000000002,,0.19,,10.1,,,8e-05,,,0.4,0.00054,,,,,0.0,0.0,,,5.0
"cavolo verza, cotto [bollito in acqua distillata senza aggiunta di sale]",,,,90.1,,0.0,0.05,,,,,,,,,,,,,,,,,,,,,Verdure e Ortaggi,,5215.0,0.0,,,,,1.81,0.74,2.6,,,,,,,0.2,,,,,"Brassica oleracea, cv. capitata",,,2.1,,,,,,,,,,,,,,,,
carote crude,,0.01,,91.6,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.044,7.6,Verdure e Ortaggi,,5150.0,0.0,147.0,35.0,,0.0007,2.7,0.41,3.1,0.037,,,,,,0.2,,0.011,,0.0007,Daucus carota,0.22,,1.1,0.00019,,4e-05,1e-06,,0.095,4e-05,,,,,0.001148,0.004,,0.00292,7.6
"sogliola, fresca",1.7710000000000001,0.0,2.6630000000000003,79.5,0.987,0.0,0.0,Trip.,1.0210000000000001,0.0,0.03,0.0,0.12,0.08,0.03,0.13,0.05,0.07,0.0,0.05,0.18,0.22,0.0,0.01,0.32,0.012,0.8,Prodotti della pesca,0.132,123100.0,0.025,348.0,83.0,0.646,0.0008,0.0,0.0,0.0,0.195,0.716,100.0,0.8170000000000001,0.455,1.336,1.4,1.62,0.019,0.394,0.0017,Solea solea,0.28,0.5720000000000001,16.9,0.0002,4.4,5e-05,3.6e-05,0.771,0.12,5e-05,0.623,0.793,0.217,0.903,5e-08,0.0,,0.0015,0.8
"merluzzo o nasello, surgelato, filetti",,0.0,,83.9,,0.0,0.0,,,0.0,0.01,0.0,0.08,0.01,0.02,0.06,0.0,0.0,0.0,0.02,0.01,0.03,0.0,0.02,0.15,0.011,0.0,Prodotti della pesca,,121430.0,0.049,284.0,68.0,,0.0003,0.0,0.0,0.0,0.16,,,,,,0.6,,0.019,,0.0015,Merluccius merluccius,0.31,,15.6,0.00028000000000000003,1.9,5e-05,1.6499999999999998e-05,,0.068,6e-05,,,,,0.0,0.0,,0.0019,0.0
farina di soia,,,,7.0,,0.0,11.1,,,0.02,0.04,0.0,2.25,0.04,0.9,5.62,11.68,1.66,0.07,0.04,0.0,0.0,0.02,0.0,0.0,0.21,23.4,Cereali e Derivati,,290.0,0.0,1868.0,446.0,,0.006900000000000001,,,11.2,0.6,,,,,,23.5,,,,0.002,Glicine max,1.6600000000000001,,36.8,,4.0,0.00028000000000000003,,,0.009000000000000001,0.00075,,,,,0.0,0.0,,,11.2
burrini,,0.0,,26.5,,0.0,0.0,,,,,,,,,,,,,,,,,,,,4.1,Formaggi e latticini,,160420.0,,2204.0,527.0,,,0.0,0.0,0.0,,,,,,,47.0,,,,,,,,22.1,,,,,,,,,,,,,,,,4.1
"rape, cotte [bollite in acqua distillata senza aggiunta di sale]",,,,86.7,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.5,Verdure e Ortaggi,,5665.0,0.0,149.0,36.0,,,1.5,0.52,2.0,,,,,,,0.0,,,,,Brassica rapa cv. rapifera,,,1.9,,,,,,,,,,,,,,,,7.5
"sardine, sott'olio, sgocciolate",,0.0,,,,0.0,0.0,,,0.0,0.4,0.0,1.81,0.56,0.45,6.42,0.96,0.13,0.0,0.18,0.0,0.71,0.0,0.26,0.56,,,Prodotti della pesca,,122820.0,0.14,,,,,0.0,0.0,0.0,,,,,,,13.6,,,,,Sardina pilchardus,,,,,1.0,,,,,,,,,,,0.0,,,
"pasta di semola, integrale, cotta e condita al ragù",,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,Cereali e Derivati,,865.0,0.03,,,,,2.13,0.79,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pane formato rosetta,0.421,0.05,2.859,30.7,0.28700000000000003,0.0,45.5,Lis.,0.327,,,,,,,,,,,,,,,,,0.02,57.6,Cereali e Derivati,0.224,560.0,0.0,1126.0,269.0,0.448,0.001,1.63,1.46,3.1,,0.327,37.0,0.374,0.192,0.6910000000000001,1.9,0.194,0.015,0.157,0.00101,,0.10300000000000001,1.022,9.0,0.00019,,2e-05,2e-06,0.489,0.317,4e-05,0.244,0.259,0.082,0.46900000000000003,0.0,0.0,,0.00037,7.5
sedano rapa,,,,88.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.052000000000000005,3.8,Verdure e Ortaggi,,5690.0,0.0,95.0,23.0,,0.0005,,,,0.09,,,,,,0.1,,,,0.0005,Brassica rapa cv. Rapifera,,,1.9,,,0.00011,,,,7.000000000000001e-05,,,,,0.0,0.006,,,3.8
cavallo,1.77,0.0,2.83,74.9,0.9,0.0,0.5,Trip.,1.16,0.01,0.24,0.03,1.65,0.64,0.23,2.12,0.75,0.31,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.004,0.6,Carni Fresche,0.2,103010.0,0.061,597.0,143.0,0.8200000000000001,0.0039,0.0,0.0,0.0,0.231,1.04,69.0,0.91,0.9,1.52,6.8,1.57,0.029,0.48,0.00554,Equus cabalus,0.331,0.89,19.8,0.0002,0.5,0.00017999999999999998,,0.6900000000000001,0.074,4e-05,0.67,0.84,0.15,0.96,,0.0,,0.00372,0.0
menta,,,,86.4,,0.0,0.05,,,,,,,,,,,,,,,,,,,0.21,5.3,Verdure e Ortaggi,,6810.0,0.0,173.0,41.0,,0.0095,,,,0.075,,,,,,0.7,,,,0.0011,Mentha spicata,0.26,,3.8,,,0.00033,,,0.015,0.00012,,,,,0.00012299999999999998,0.031,,,5.3
patè di prosciutto,,0.0,,49.8,,0.0,,,,,,,,,,,,,,,,,,,,0.013000000000000001,1.1,Carni Trasformate e Conservate,,114040.0,,1498.0,358.0,,0.0038,0.0,0.0,0.0,0.113,,,,,,34.3,,,,,,,,11.3,,,,,,,,,,,,,0.0,,,
"spinaci, surgelati",,,,92.8,,0.0,,,,0.0,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,3.0,Verdure e Ortaggi,,5710.0,0.0,94.0,23.0,,0.001,,,1.8,0.044,,,,,,0.05,,,,0.0005,Spinacia oleracea,0.354,,2.8,,1.0,0.00016,,,0.057,8.999999999999999e-05,,,,,0.0005,0.024,,,
lattuga,0.209,,0.186,94.3,0.078,0.0,0.0,Lis.,0.082,,,,,,,,,,,,,,,,,0.045,2.2,Verdure e Ortaggi,,5410.0,0.0,80.0,19.0,0.093,0.0008,1.33,0.13,1.5,0.031,0.075,66.0,0.069,0.029,0.115,0.4,0.069,,0.033,0.0007,Lactuca sativa L.,0.24,0.094,1.8,,,0.00017999999999999998,,0.06,0.009000000000000001,5e-05,0.048,0.075,0.016,0.098,0.00022899999999999998,0.006,,,2.2
olio di fegato di merluzzo,0.0,0.0,0.0,0.05,0.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,Olii e Grassi,0.0,194000.0,0.5700000000000001,3762.0,899.0,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,99.9,0.0,,0.0,0.0,Merluccius merluccius,5e-05,0.0,0.0,,,0.0,,0.0,5e-05,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0198,,0.0
"faraona, coscio, senza pelle, cotto [allo spiedo senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura]",3.4,0.0,5.585,59.1,2.326,0.0,0.3,Trip.,2.267,0.0,0.09,0.0,1.32,0.18,0.65,2.03,1.37,0.08,0.0,0.03,0.08,0.0,0.0,0.0,0.0,0.011,0.3,Carni Fresche,0.354,106032.0,0.099,810.0,194.0,1.44,0.0028,0.0,0.0,0.0,0.29,2.35,83.0,1.653,1.004,2.787,6.1,3.0460000000000003,0.01,0.909,,Numida meleagris,0.46,1.866,34.4,0.00029,0.8,,,,0.18,,1.216,1.5110000000000001,0.307,1.5350000000000001,5e-08,0.0,,0.00344,0.0
"lievito di birra, compresso",,,,71.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.013000000000000001,1.1,Prodotti Vari,,503100.0,0.0,235.0,56.0,,0.004900000000000001,,,6.9,0.394,,,,,,0.4,,,,0.0112,,0.61,,12.1,,,0.00165,,,0.016,0.00071,,,,,5e-08,5e-05,,,1.1
rene di suino,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,Frattaglie,,115730.0,0.41000000000000003,,,,,0.0,0.0,0.0,,,,,,,,,0.019,,,Sus scrofa domestica,,,,0.00042,,,0.000145,,,,,,,,,,,0.0019,
"limoni, succo",,0.0,,92.1,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,1.4,Frutta,,8040.0,0.0,25.0,6.0,,0.0002,0.0,0.0,0.0,0.01,,,,,,0.0,,,,0.0002,Citrus limon,0.14,,0.2,,,2e-05,,,0.002,2e-05,,,,,0.0,0.043000000000000003,5e-05,,1.4
cuore di ovino,,0.0,,75.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.009000000000000001,0.4,Frattaglie,,115230.0,,560.0,134.0,,0.005,0.0,0.0,0.0,0.2,,,,,,7.2,,,,0.0075,Ovis agnus,,,16.9,,,0.0008,,,,0.00049,,,,,,0.003,,,0.4
aperitivi a base di vino,5e-05,0.0,5e-05,65.5,5e-05,17.4,0.0,,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,Bevande Alcooliche,5e-05,403010.0,0.0,779.0,186.0,5e-05,5e-05,0.0,0.0,0.0,0.0,5e-05,,5e-05,5e-05,5e-05,0.0,5e-05,,5e-05,0.0,,5e-05,5e-05,0.05,,,0.0,,5e-05,5e-05,0.0,5e-05,5e-05,5e-05,5e-05,0.0,0.0,0.0,,17.0
occhiata,,0.0,,77.0,,0.0,0.0,,,0.0,0.12,0.0,0.72,0.21,0.18,0.68,0.15,0.03,0.01,0.03,0.09,0.2,0.0,0.02,0.0,0.032,2.0,Prodotti della pesca,,121600.0,0.048,489.0,117.0,,0.004200000000000001,0.0,0.0,0.0,,,,,,,3.7,,0.017,,,Oblada melanura,0.427,,19.0,0.0006,0.9,,,,,,,,,,,0.0,,0.0014,2.0
biscotti frollini,,,,2.4,,0.0,45.2,,,,,,,,,,,,,,,,,,,,73.7,Cereali e Derivati,,900.0,,1797.0,429.0,,,,,1.9,,,,,,,13.8,,,,0.00033,,,,7.2,,,,,,0.223,,,,,,,0.0,,,22.0
savoiardi,,0.0,,8.5,,0.0,27.5,,,,,,,,,,,,,,,,,,,0.04,69.6,Dolci,,215000.0,,1638.0,391.0,,0.002,,,,0.18,,,,,,9.2,,,,,,,,11.9,,,0.00012,,,,0.0001,,,,,0.0,0.0,,,39.3
"patate, cotte senza buccia [bollite in acqua distillata senza aggiunta di sale]",,,,80.1,,0.0,15.0,,,,,,,,,,,,,,,,,,,0.005,16.9,Verdure e Ortaggi,,6515.0,0.0,299.0,71.0,,0.0004,,,1.3,0.031,,,,,,0.1,,,,0.0005,Solanum tuberosum,0.28,,1.8,,,1e-05,,,0.007,8e-05,,,,,5e-08,0.006,,,0.4
"tacchino intero, senza pelle, cotto [in forno senza aggiunta di grassi e di sale e scolato dal grasso prodotto con la cottura]",,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,0.0,Carni Fresche,,106719.0,0.08,,,,,0.0,0.0,0.0,,,,,,,,,,,,Meleagris gallopavo,,,,,,,,,,,,,,,5e-08,0.0,,,0.0
fave fresche crude,,,,83.9,,0.0,2.1,,,,,,,,,,,,,,,,,,,0.022,4.5,Legumi,,4400.0,0.0,171.0,41.0,,0.0017,4.45,0.52,5.0,0.093,,,,,,0.4,,,,0.00127,Vicia faba,0.2,,5.2,,,0.00011,,,0.017,0.00011,,,,,1.1e-05,0.033,,,2.2
aglio,,,,80.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.014,8.4,Verdure e Ortaggi,,5000.0,0.0,171.0,41.0,,0.0015,,,3.1,0.063,,,,,,0.6,,,,0.0013000000000000002,Allium sativum,0.6,,0.9,,,2e-05,,,0.003,0.00014000000000000001,,,,,4.9999999999999996e-06,0.005,,,8.4
fagioli -borlotti freschi crudi,1.34,,1.663,60.8,0.41100000000000003,0.0,19.5,Solf.,0.606,,,,,,,,,,,,,,,,,0.044,22.7,Legumi,0.11800000000000001,4110.0,0.0,557.0,133.0,0.601,0.003,3.93,0.91,4.8,0.18,0.378,93.0,0.556,0.303,0.885,0.8,0.714,,0.12,0.0027,Phaseolus vulgaris,0.65,0.441,10.2,,,0.0001,,0.641,0.002,0.00024,0.362,0.428,0.113,0.616,1.8e-05,0.01,,,1.2
"minestre in scatola, crema di cipolle",,,,93.4,,0.0,,,,,,,,,,,,,,,,,,,,0.012,2.2,Prodotti Vari,,900110.0,0.0,109.0,26.0,,0.0002,,,,0.011,,,,,,1.0,,,,5e-05,,0.043000000000000003,,2.2,,,1e-05,,,0.438,5e-05,,,,,5e-08,0.0,,,
piselli secchi,2.269,0.8,3.341,13.0,0.845,0.0,41.2,Solf.,1.971,,,,,,,,,,,,,,,,,0.048,48.2,Legumi,0.232,4710.0,0.0,1195.0,286.0,0.9500000000000001,0.0045000000000000005,,,15.7,0.32,0.838,78.0,0.884,0.47300000000000003,1.407,2.0,1.557,,0.189,0.0022,Pisum sativum,0.99,0.808,21.7,,,0.00015,,0.898,0.038,0.00058,0.5670000000000001,0.841,0.194,0.973,9.999999999999999e-06,0.004,,,2.9
pasta di semola cruda,0.509,0.25,3.512,10.8,0.359,0.0,68.1,Lis.,0.395,0.0,0.0,0.0,0.2,0.05,0.01,0.16,0.65,0.05,0.01,0.05,0.05,0.0,0.0,0.0,0.0,0.022,79.1,Cereali e Derivati,0.255,800.0,0.0,1476.0,353.0,0.542,0.0014,1.55,1.15,2.7,0.189,0.354,35.0,0.455,0.226,0.834,1.4,0.219,0.051000000000000004,0.183,0.0025,,0.192,1.189,10.9,0.00032,3.1,0.0002,2.7e-06,0.5680000000000001,0.004,0.0001,0.31,0.314,0.105,0.544,0.0,0.0,5e-05,0.00115,4.2
"pomodori, conserva",,,,70.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.027,20.4,Verdure e Ortaggi,,6660.0,0.0,400.0,96.0,,0.0022,,,2.0,0.085,,,,,,0.4,,,,0.0031000000000000003,Solanum lycopersicum L.,0.25,,3.9,,,0.0001,,,,0.0002,,,,,,0.043000000000000003,,,20.4
patate novelle crude,,,,81.9,,0.0,14.1,,,,,,,,,,,,,,,,,,,0.01,15.7,Verdure e Ortaggi,,6580.0,0.0,291.0,70.0,,0.0006,,,1.4,0.054,,,,,,0.3,,0.038,,0.0024,Solanum tuberosum,0.318,,2.0,0.00022,,3e-05,1e-06,,0.01,0.00012,,,,,5e-08,0.028,,0.00152,0.2
bevanda tipo cola,5e-05,0.0,5e-05,89.0,5e-05,0.0,0.0,,5e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,10.5,Prodotti Vari,5e-05,401100.0,0.0,165.0,39.0,5e-05,,0.0,0.0,0.0,0.015,5e-05,,5e-05,5e-05,5e-05,0.0,5e-05,,5e-05,0.0,,0.001,5e-05,0.05,,,0.0,,5e-05,0.008,0.0,5e-05,5e-05,5e-05,5e-05,0.0,0.0,0.0,,10.5
prugne gialle,,,,87.7,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.004,7.2,Frutta,,7350.0,0.0,125.0,30.0,,0.0003,0.84,0.53,1.4,0.018000000000000002,,,,,,0.1,,0.006,,,Prunus domestica,0.202,,0.5,7.000000000000001e-05,,,,,0.002,,,,,,,0.003,,0.00012,7.2
tapioca [farina ricavata dai tuberi della manioca],,,,12.6,,0.0,86.3,,,,,,,,,,,,,,,,,,,0.012,94.9,Cereali e Derivati,,320.0,0.0,1507.0,360.0,,0.001,,,0.4,0.012,,,,,,0.2,,,,0.0,Manihot esculenta,0.02,,0.6,,,0.0001,,,0.004,0.0,,,,,0.0,0.0,,,0.05
"big-burger -peso medio 191g- [pane all'olio o al latte, doppio hamburger di carne bovina, ketchup, verdure]",,0.05,,54.6,,0.0,,,,,,,,,,,,,,,,,,,,,17.0,Fast-Food a base di carne,,119010.0,,926.0,221.0,,,,,1.5,,,,,,,11.5,,,,,,,,13.5,,,,,,,,,,,,,,,,
"yogurt greco, da latte intero",,0.0,,78.5,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.15,2.0,Latte e Yogurt,,150020.0,,481.0,115.0,,0.0003,0.0,0.0,0.0,0.13,,,,,,9.1,,,,0.0001,,0.15,,6.4,,,0.00035999999999999997,,,0.07100000000000001,3e-05,,,,,0.000121,5e-05,,,2.0
rana,,0.0,,81.9,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.02,0.0,Carni Fresche,,109510.0,0.05,267.0,64.0,,0.006,0.0,0.0,0.0,0.43,,,,,,0.2,,,,0.0012,Rana esculenta,,,15.5,,,6e-05,,,,0.00016,,,,,,0.0,,,0.0
