name,acido aspartico | g,acido glutamico | g,acqua | g,alanina | g,alcol | g,aminoacido limitante | g,arginina | g,c12:0 | g,c14:0 | g,c14:1 | g,c15:0 | g,c16:0 | g,c16:1 | g,c17:0 | g,c17:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c20:0 | g,c20:1 | g,c20:2 | g,c20:3 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,c4:0:c10:0 | g,calcio | g,carboidrati complessi | g,carboidrati disponibili | g,category,cistina | g,colesterolo | g,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,fosforo | g,glicina | g,grassi | g,indice chimico | g,isoleucina | g,istidina | g,leucina | g,lipidi totali | g,lisina | g,magnesio | g,manganese | g,metionina | g,monoinsaturi totali | g,niacina | g,nitrati | g,nitriti | g,parte edibile | %,polinsaturi totali | g,potassio | g,prolina | g,proteine | %,proteine | g,rame | g,riboflavina | g,saturi totali | g,selenio | g,serina | g,sodio | g,tiamina | g,tirosina | g,treonina | g,triptofano | g,valina | g,vitamina a retinolo eq. | g,vitamina b12 | g,vitamina b6 | g,vitamina c | g,vitamina e | g,zinco | g,zuccheri solubili | g
bovino adulto punta di petto,9.26169507724314,16.06969460742078,69.38729210963915,6.063845962624987,0.0,,6.164407255537507,0.0,0.22123484440754512,0.3217961373200656,,1.6693174623478402,0.22123484440754512,,,1.166510997785238,2.2626290905317115,1.1363426099114817,0.201122585825041,0.0,0.0,,,0.3419083959025698,0.13072968078627667,0.0,0.24134710299004922,0.13072968078627667,0.0,0.00603367757475123,0.0,0.0,carni fresche,1.0961180927464735,,3.801216872093275,0.0011061742220377258,0.0,0.0,0.0,0.16894297209303447,5.862723376799946,10.257251877077092,,4.1531813972870975,3.378859441860689,7.9443421400891205,10.257251877077092,8.557766026855496,0.014078581007752873,,2.654818132890542,3.3285787954044292,0.004726380766888465,,,100.0,2.2827413491142154,0.2886109106589339,4.515202051772171,19.7,19.81057470376654,6.033677574751231e-05,0.00011061742220377258,3.228017502491908,,3.8112730013845275,0.057319936960136694,7.039290503876436e-05,3.1576245974531445,3.9721710700445603,0.8748832483389285,4.555426568937179,,,,0.0,,0.0038213291306757797,0.0
cola,,,89.4211737282601,,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.005023661445407872,0.0,10.54968903535653,prodotti vari,,0.0,,,0.0,0.0,0.0,0.015070984336223612,,0.0,,,,,0.0,,,,,0.0,0.0,,,100.0,0.0,0.0010047322890815744,,,0.0,,0.0,0.0,,,0.008037858312652595,0.0,,,,,0.0,,,0.0,0.0,,10.54968903535653
melone estate,,,90.45623565180628,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.019075121835564035,0.0,7.429257978061782,frutta,,0.0,,0.00030118613424574787,0.5521745794505378,0.19075121835564035,0.7027676465734117,0.013051399150649078,,0.20079075616383193,,,,,0.20079075616383193,,,,,,0.0006023722684914957,,,47.0,,0.3343166090127802,,0.8,0.8031630246553277,,4.015815123276639e-05,,,,0.00803163024655328,5.0197689040957986e-05,,,,,0.00018974726457482118,,,0.03212652098621312,,,7.429257978061782
panini al latte,,,32.78081064968102,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.1272091159539861,40.413357606920194,47.1652260690933,cereali e derivati,,,,0.001663503824013664,,,1.8592101562505656,0.1272091159539861,,8.513225452305221,,,,,8.513225452305221,,,,,,0.0017613569901321151,,,100.0,,0.1663503824013664,,9.0,8.806784950660575,,0.00012720911595398609,,,,0.4501245641448738,0.00021527696546059185,,,,,8.21966595394987e-05,,,,,,2.6420354851981727
acciuga,10.707036395113382,13.725400940783441,78.00840802154035,5.577856102978114,0.0,,4.598927061139176,0.0,0.14276048526817844,0.0,,1.0299149294347159,0.10197177519155602,,,0.13256330774902284,0.17335201782564524,0.010197177519155602,0.010197177519155602,,0.010197177519155602,,,,0.2753237930172013,0.0,0.010197177519155602,0.5302532309960913,0.0,0.1509182272835029,0.0,1.5295766278733403,prodotti della pesca,1.1114923495879607,0.062202782866849174,3.6098008417810834,0.002855209705363569,0.0,0.0,0.0,0.1998646793754498,4.384786333236909,2.6512661549804566,,4.996616984386246,4.099265362700552,8.076164595171237,2.6512661549804566,8.37188274322675,0.022433790542142323,,2.1210129239843654,0.4078871007662241,0.014276048526817844,,,75.0,0.8667600891282262,0.28348153503252577,2.794026640248635,16.8,17.131258232181413,0.0010197177519155603,0.0002651266154980457,1.3256330774902283,,3.946307699913218,,6.118306511493361e-05,2.5798859123463673,4.4051806882752205,1.0605064619921827,4.609124238658332,3.263096806129793e-05,,,,,0.004282814558045354,1.5295766278733403
prosciuttocrudo parma,,,51.75646191189802,,0.0,,,0.010228549784960085,0.21479954548416177,0.0,,4.019820065489313,0.5421131386028845,,,1.9945672080672165,7.845297685064384,1.6161108660236936,0.0,0.030685649354880253,0.1943424459142416,,,0.010228549784960085,0.0,,0.0,0.0,0.0,0.016365679655936133,0.0,0.0,carni trasformate e conservate,,0.07364555845171261,,0.0007159984849472059,0.0,0.0,0.0,0.2669651493874582,,18.820531604326554,,,,,18.820531604326554,,0.02659422944089622,,,8.59198181936647,0.005625702381728046,,,100.0,1.6365679655936136,0.38152490697901115,,25.5,26.082801951648214,0.00017388534634432145,0.0002045709956992017,6.290558117750451,,,2.6369201345627094,0.001810453311937935,,,,,,,,0.0,,0.003303821580542107,0.0
piselli surgelati,,,81.08635377154233,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.020095750624917558,,6.4306401999736185,legumi,,0.0,,0.0020095750624917557,,,6.330161446849029,0.09043087781212898,,0.3014362593737633,,,,,0.3014362593737633,,,,,,0.0020095750624917557,,,100.0,,0.15071812968688164,,5.4,5.425852668727741,,0.00010047875312458778,,,,0.12961759153071822,0.00036172351124851595,,,,,6.832555212471968e-05,,,0.030143625937376333,,,
marmellata,,,36.90667143446184,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.018453335717230922,0.0,60.17837814452528,dolci,,0.0,,0.001435259444673516,,,2.255407698772668,0.00717629722336758,,0.0,,,,,0.0,,,,,0.0,0.0009226667858615461,,,100.0,0.0,0.102518531762394,,0.5,0.51259265881197,,2.0503706352478803e-05,0.0,,,0.01230222381148728,2.0503706352478803e-05,,,,,0.0,,,0.00410074127049576,,,60.17837814452528
gelato fiordilatte,,,60.93489820051,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.08546974170038532,0.0,20.81439591997619,dolci,,,,0.00040221054917828386,0.0,0.0,0.0,0.1659118515360421,,13.77571130935622,,,,,13.77571130935622,,,,,,,,,100.0,,,,4.2,4.223210766371981,,,,,,,,,,,,,,,0.0,,,20.81439591997619
fette biscottate integrali,,,6.625891946992864,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,63.20081549439347,cereali e derivati,,,,,,,5.504587155963303,,,10.19367991845056,,,,,10.19367991845056,,,,,,,,,100.0,,,,14.2,14.475025484199794,,,,,,,,,,,,0.0,,,0.0,,,
