name,acido aspartico | g,acido glutamico | g,acqua | g,alanina | g,alcol | g,aminoacido limitante | g,arginina | g,c12:0 | g,c14:0 | g,c14:1 | g,c15:0 | g,c16:0 | g,c16:1 | g,c17:0 | g,c17:1 | g,c18:0 | g,c18:1 | g,c18:2 | g,c18:3 | g,c20:0 | g,c20:1 | g,c20:2 | g,c20:3 | g,c20:4 | g,c20:5 | g,c22:0 | g,c22:1 | g,c22:6 | g,c4:0:c10:0 | g,calcio | g,carboidrati complessi | g,carboidrati disponibili | g,category,cistina | g,colesterolo | g,fenilalanina | g,ferro | g,fibra insolubile | g,fibra solubile | g,fibra totale | g,fosforo | g,glicina | g,grassi | g,indice chimico | g,isoleucina | g,istidina | g,leucina | g,lipidi totali | g,lisina | g,magnesio | g,manganese | g,metionina | g,monoinsaturi totali | g,niacina | g,nitrati | g,nitriti | g,parte edibile | %,polinsaturi totali | g,potassio | g,prolina | g,proteine | %,proteine | g,rame | g,riboflavina | g,saturi totali | g,selenio | g,serina | g,sodio | g,tiamina | g,tirosina | g,treonina | g,triptofano | g,valina | g,vitamina a retinolo eq. | g,vitamina b12 | g,vitamina b6 | g,vitamina c | g,vitamina e | g,zinco | g,zuccheri solubili | g
wurstel,9.38064852498703,15.336293200655938,59.861343241791566,6.636580159064498,0.0,,6.382499754812411,0.0,0.3455493497828376,0.0,,4.095776116543633,0.5386504570144233,,,2.3883557999696126,9.990441495192039,3.6282681727197943,0.27440683659225334,0.22359075574183607,0.4573447276537556,,,0.5996297540349239,0.0,0.0,0.0,0.0,0.0,0.014228502638116841,1.3212181021108496,1.422850263811684,carni trasformate e conservate,0.8130572936066767,0.06301194025451744,4.085612900373549,0.0012195859404100149,0.0,0.0,0.0,0.13212181021108496,8.709876257761524,23.680293676294458,,4.471815114836722,2.73390514975245,7.693554640753178,23.680293676294458,7.2362099130994215,0.011179537787091803,,2.337539719119195,10.986436679860217,0.0027643947982627006,,,100.0,4.502304763346971,0.1422850263811684,7.073598454378087,13.7,13.923606153014337,8.130572936066767e-05,0.0003048964851025037,7.05327202203792,,4.431162250156388,0.8059430422876181,0.00015244824255125186,3.4046774169779583,4.156755413564134,0.7317515642460088,5.43732065099465,,,,0.0,,0.0016261145872133534,0.0
papaia,,,89.9728847115364,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.02821098288827569,0.0,6.951992211753652,frutta,,0.0,,0.0005037675515763516,,,2.317330737251217,0.01612056165044325,,0.10075351031527033,,,,,0.10075351031527033,,,,,,0.00030226053094581097,,,70.0,,0.14105491444137847,,0.4,0.4030140412610813,,3.0226053094581098e-05,,,,0.007052745722068923,3.0226053094581098e-05,,,,,0.0002669968023354663,,,0.06045210618916219,,,6.951992211753652
riso integrale,,,11.859637630748798,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.03162570034866346,68.39057700398475,76.49466271832975,cereali e derivati,,0.0,,0.0015812850174331732,1.7789456446123195,0.11859637630748797,1.8777759582018931,0.21841499303295703,,1.8777759582018931,,,,,1.8777759582018931,,,,,,0.004645024738709947,,,100.0,,0.2114968710816869,,7.5,7.412273519217999,,4.941515679478666e-05,,,,0.0088947282230616,0.00047438550522995197,,,,,0.0,,,0.0,0.0006918121951270132,,1.1859637630748798
granchi scatola,,,79.99519220814507,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.12120483667900767,0.0,0.0,prodotti della pesca,,0.10201407087149814,,0.002828112855843512,0.0,0.0,0.0,0.03232128978106871,,0.9090362750925576,,,,,0.9090362750925576,,,,,,0.001111044336224237,,,100.0,,0.10100403056583973,,18.1,18.281729532416993,,5.0502015282919866e-05,,,,0.5555221681121185,,,,,,,,,,,,0.0
uova albume,10.035565680209242,12.577368894873741,88.8112119227397,6.238050917264271,0.0,,5.711462203469235,0.0,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.007088694224163945,0.0,0.0,uova,2.9569981620798167,0.0,5.924123030194154,0.00010126706034519923,0.0,0.0,0.0,0.015190059051779881,3.5139669939784133,0.0,,5.4177877284681575,2.227875327594383,8.162125063823057,0.0,6.865906691404507,0.012152047241423906,,3.989922177600849,0.0,0.00010126706034519923,,,100.0,0.0,0.13671053146601894,3.9494153534627694,10.7,10.835575456936315,4.050682413807969e-05,0.0002734210629320379,0.0,3.240545931046375e-06,6.643119158645068,0.18126803801790659,2.0253412069039844e-05,4.243089828463847,4.729171718120803,1.6202729655231876,6.926666927611626,0.0,,,0.0,0.0,0.000263294356897518,0.0
ghiacciolo arancio,0.0,0.0,63.67398917542184,0.0,0.0,,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.314071951607765,dolci,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,,100.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.011938872970391595,,,36.314071951607765
prosciutto_cotto_sgrassato,,,76.54733200382205,,0.0,,,0.01024730013438046,0.0512365006719023,0.0,0.0,0.8812678115567195,0.1024730013438046,0.01024730013438046,0.01024730013438046,0.44063390577835976,1.444869318947645,0.19469870255322874,0.01024730013438046,0.01024730013438046,0.02049460026876092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030741900403141377,0.007173110094066322,0.0,1.9469870255322874,salumi italiani - aggiornamento 2011,,0.0,,0.0005328596069877839,0.0,0.0,0.0,0.1352643617738221,,3.586555047033161,,,,,,,0.013321490174694597,1.0247300134380462e-05,,1.5883315208289714,0.004713758061815012,0.0,0.0,100.0,0.22544060295637014,0.333037254367365,,,17.420410228446784,8.19784010750437e-05,0.00013321490174694598,1.444869318947645,0.0,,0.002151933028219897,0.0007173110094066323,,,,,0.0,9.222570120942414e-08,0.00039964470524083806,0.0,0.0,0.001178439515453753,0.0
mortadella,10.519375734636,16.287072478894956,53.674473260630506,6.578458386245538,0.0,,6.157683356860097,0.0,0.42077502938544,0.0,,5.849799189017093,0.6157683356860096,,,3.1814697343777167,12.028008157066724,3.56119354138409,0.1744676951110361,0.04105122237906732,0.0,,,0.2257817230848702,0.0,0.0,0.0,0.0,0.0,0.009236525035290146,0.0,1.5394208392150242,carni trasformate e conservate,1.1083830042348175,0.0718396391633678,3.9717057651747627,0.001436792783267356,0.0,0.0,0.0,0.1847305007058029,7.40974563942165,28.83848372129479,,4.9774607134619115,3.243046567946318,8.425763393303567,28.83848372129479,8.302609726166365,0.008210244475813462,,2.801745927371344,13.136391161301542,0.0036843472085212915,,,100.0,4.04354540433813,0.13341647273196877,5.541915021174088,14.7,15.086324224307237,,0.0002668329454639376,9.493095175159317,2.2578172308487023e-06,4.289852738612534,0.5192979630952015,0.00019499330630056975,3.2635721791358514,4.289852738612534,1.016017753881916,5.295607686899684,,,,0.0,,0.0008210244475813464,1.5394208392150242
gallina,,,66.38102709552834,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.01508659706716553,0.0,0.0,carni fresche,,,,0.0016092370204976566,0.0,0.0,0.0,0.20618349325126226,,12.371009595075735,,,,,12.371009595075735,,,,,,0.004023092551244141,,,70.0,,,,20.9,21.020658580250636,,0.00010057731378110354,,,,,0.00030173194134331055,,,,,,,,0.0,,,0.0
struzzo,,,77.73237997957098,,0.0,,,0.0,0.0,0.0,,0.1634320735444331,0.0,,,0.12257405515832481,0.030643513789581203,0.15321756894790603,0.05107252298263534,0.0,0.2655771195097038,,,0.05107252298263534,0.010214504596527068,0.0,0.0,0.0,0.0,,0.0,0.0,carni fresche,,0.058222676200204285,,,0.0,0.0,0.0,,,0.9193054136874361,,,,,0.9193054136874361,,,,,0.29622063329928494,,,,100.0,0.27579162410623087,,,20.9,21.34831460674157,,,0.28600612870275793,,,,,,,,,,,,0.0,,,0.0
pollo petto,9.753285035841817,14.268694774657472,75.15648654162058,6.100820269333152,0.0,,7.003902217096283,0.0,0.01003424386403479,0.01003424386403479,,0.14047941409648707,0.01003424386403479,,,0.1003424386403479,0.16054790182455664,0.11037668250438268,0.0,0.0,0.0,,,0.06020546318420873,0.0,0.0,0.0,0.0,0.0,0.004013697545613916,0.0,0.0,carni fresche,1.3245201900525923,0.06020546318420873,4.194313935166542,0.0004013697545613916,0.0,0.0,0.0,0.2107191211447306,4.415067300175308,0.8027395091227832,,4.966950712697221,4.033766033341985,8.418730601925189,0.8027395091227832,9.673011084929538,0.03210958036491133,,2.8697937451139497,0.190650633416661,0.008328422407148876,,,98.0,0.2307876088728002,0.3712670229692872,3.702635985828837,23.3,23.37978820320106,5.017121932017395e-05,0.0002006848772806958,0.25085609660086977,1.0034243864034788e-05,4.354861836991099,0.033113004751314803,0.0001003424386403479,3.4517798892279674,4.9970534442893255,1.1740065320920703,5.960340855236666,0.0,,,0.0,,0.0006722943388903309,0.0
cocomero,,,95.39503539611263,,0.0,,,0.0,,0.0,,,,,,,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.007006980564247519,0.0,3.7036897268165454,frutta,,0.0,,0.00020019944469278623,0.20019944469278622,0.020019944469278624,0.20019944469278622,0.0020019944469278623,,0.0,,,,,0.0,,,,,0.0,0.00010009972234639311,,,52.0,0.0,0.28027922256990073,,0.4,0.40039888938557244,,2.0019944469278623e-05,0.0,,,0.0030029916703917933,2.0019944469278623e-05,,,,,3.703689726816545e-05,,,0.00800797778771145,,,3.7036897268165454
cipolline cotte,,,71.00103199174406,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,23.323013415892675,verdure e ortaggi,,0.0,,,1.2383900928792568,0.608875128998968,1.8575851393188854,,,0.3095975232198142,,,,,0.3095975232198142,,,,,,,,,100.0,,,,3.4,3.508771929824561,,,,,,,,,,,,,,,,,,23.323013415892675
piselli scatola,,,77.50239026226144,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0417856276125158,6.466823320984588,11.043344440450603,legumi,,0.0,,0.0015918334328577446,4.576521119466015,0.517345865678767,5.07396906723406,0.09451511007592858,,0.5969375373216542,,,,,0.5969375373216542,,,,,,0.0011938750746433083,,,100.0,,0.12933646641969174,,5.3,5.2729482463412785,,6.964271268752634e-05,,,,0.24076480671973388,8.954063059824813e-05,,,,,6.864781679199024e-05,,,0.0009948958955360906,,,3.8800939925907523
big burger,,,55.65749235474007,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,17.329255861365954,fast-food a base di carne,,,,,,,1.5290519877675843,,,11.722731906218145,,,,,11.722731906218145,,,,,,,,,100.0,,,,13.5,13.761467889908257,,,,,,,,,,,,,,,,,,
maionese,,,16.403007637983954,,0.0,,,0.0,0.0,0.0,,5.664505304317126,0.15309473795451695,,,0.22964210693177536,15.00328431954266,44.703663482718945,5.664505304317126,0.07654736897725847,0.15309473795451695,,,0.0,0.0,0.0,0.15309473795451695,0.0,0.0,0.019683609165580748,0.0,2.296421069317754,prodotti vari,,0.07654736897725847,,0.0005467669212661318,0.0,0.0,0.0,0.030618947590903386,,76.54736897725846,,,,,76.54736897725846,,,,,15.462568533406209,,,,100.0,50.36816878703607,,,4.3,4.702195522888734,,4.374135370129055e-05,7.578189528748587,,,,2.1870676850645277e-05,,,,,9.185684277271015e-05,,,,,,2.296421069317754
fave crude,,,84.43344969081203,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.02213987953751924,2.1133521376722912,4.528611723583481,legumi,,0.0,,0.0017108088733537594,4.478293815543665,0.5233062436140912,5.031790803981646,0.09359130895405861,,0.4025432643185317,,,,,0.4025432643185317,,,,,,0.001278074864211338,,,26.0,,0.20127163215926586,,5.2,5.233062436140912,,0.00011069939768759622,,,,0.017108088733537596,0.00011069939768759622,,,,,1.106993976875962e-05,,,0.033209819306278865,,,2.213987953751924
capretto,,,75.37583368140912,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.009069284801239067,0.0,0.0,carni fresche,,,,0.001007698311248785,0.0,0.0,0.0,0.2216936284747327,,5.038491556243925,,,,,5.038491556243925,,,,,,0.005743880374118075,,,75.0,,,,19.2,19.347807575976674,,0.0001007698311248785,,,,,0.00025192457781219625,,,,,,,,0.0,,,0.0
aragosta bollita,,,74.83179538489992,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.07648553671937283,0.0,1.3436648342592525,prodotti della pesca,,0.08785500839387421,,0.0010335883340455787,0.0,0.0,0.0,0.3617559169159526,,2.480612001709389,,,,,2.480612001709389,,0.022738943349002734,,,,,,,,,,,20.2,20.87848434772069,0.0005167941670227894,,,7.028400671509936e-05,,,,,,,,,,,0.0,,0.0028423679186253418,1.3436648342592525
trota surgelata cruda,,,78.71250807007127,,0.0,,,0.0,0.06117552440679114,0.0,,0.2854857805650253,0.07137144514125633,,,0.07137144514125633,0.30587762203395563,0.16313473175144302,0.0,0.0,0.07137144514125633,,,0.020391841468930378,0.1019592073446519,0.0,0.05097960367232595,0.377249067175212,0.0,0.015293881101697784,0.0,0.0,prodotti della pesca,,0.05709715611300506,,0.0021411433542376903,0.0,0.0,0.0,0.22431025615823416,,2.3450617689269935,,,,,2.3450617689269935,,0.025489801836162975,,,0.4996001159887942,0.003058776220339557,,,55.0,0.7137144514125632,0.4792082745198639,,17.8,18.14873890734804,,6.117552440679114e-05,0.4180327501130727,,,0.042822867084753795,8.156736587572152e-05,,,,,,,,,,0.0012235104881358225,0.0
cioccolato lattenocciole,,,1.113265448430407,,0.0,,,0.11132654484304069,0.28337665960046726,0.04048237994292389,,7.782737544027117,0.11132654484304069,,,8.784676447614483,15.919695912554818,1.7103805525885343,0.07084416490011682,0.28337665960046726,0.04048237994292389,,,,0.0,0.04048237994292389,0.0,0.0,0.0,0.04250649894007009,0.0,49.18609163065252,dolci,,0.009108535487157876,,0.0019229130472888847,,,4.857885593150867,0.16395363876884175,,37.344995497347284,,,,,37.344995497347284,,,,,16.13222840725517,0.0020241189971461943,,,100.0,1.781224717488651,,,7.2,7.286828389726301,,0.00026313546962900534,17.67055884508628,,,,0.00026313546962900534,,,,,,,,0.0,,,49.18609163065252
trota,8.679368857313095,13.367642605617258,81.33750791777697,6.304919868409048,0.0,,5.708781611620371,0.0,0.13135249725852183,0.0,,0.3536413387729433,0.2526009562663881,,,0.22228884151442155,0.5254099890340873,0.3738494152742544,0.10104038250655525,0.0,0.0,,,0.05052019125327763,0.15156057375983284,0.0,0.0,0.5052019125327762,0.0,0.014145653550917734,0.0,0.0,prodotti della pesca,1.020507863316208,0.05557221037860539,3.7688062674945106,0.002020807650131105,0.0,0.0,0.0,0.22228884151442155,5.870446223630859,3.0312114751966575,,4.5771293275469525,3.0716276281992796,7.062722737208212,3.0312114751966575,9.002698081334072,0.025260095626638814,,2.6371539834210918,0.7780109453004754,0.0030312114751966574,,,55.0,1.1821724753266962,0.4698377786554819,3.8294304969984436,14.7,14.85293622846362,,6.0624229503933145e-05,0.7072826775458866,,3.930470879504999,0.0404161530026221,8.08323060052442e-05,3.0716276281992796,4.415464715536464,1.1114442075721078,5.385452387599394,,,,,,0.0012023805518280072,0.0
fichi canditi,,,21.105527638190953,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,74.07035175879398,frutta,,0.0,,,,,1.105527638190955,,,0.20100502512562815,,,,,0.20100502512562815,,,,,,,,,100.0,,,,3.5,3.5175879396984926,,,,,,,,,,,,,,,,,,74.07035175879398
cuore equino,,,72.82411519697627,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.008978315572229952,0.0,0.5985543714819966,frattaglie,,,,0.004987953095683306,0.0,0.0,0.0,0.21348439249524548,,7.681447767352291,,,,,7.681447767352291,,,,,,0.007082893395870295,,,100.0,,,,18.7,18.654944577855563,,0.0009078074634143617,,,,,0.0005087712157596972,,,,,,,,0.004987953095683306,,,0.5985543714819966
litchi,,,80.19651529226157,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0019899879725126944,0.0,17.113896563609167,frutta,,0.0,,0.0004974969931281736,,,1.2934921821332512,,,0.09949939862563473,,,,,0.09949939862563473,,,,,,0.0004974969931281736,,,72.0,,0.14924909793845206,,1.1,1.0944933848819818,,6.96495790379443e-05,,,,0.0009949939862563472,4.974969931281736e-05,,,,,,,,0.04875470532656101,,,17.113896563609167
olio vinacciolo,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.10008106566318717,0.0,,6.305107136780791,0.39031615608643,,,2.832294158268197,16.012970506109948,67.75488145397772,0.2902350904232428,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,olii e grassi,0.0,0.0,0.0,0.00010008106566318717,0.0,0.0,0.0,0.0,0.0,99.98098459752399,,0.0,0.0,0.0,99.98098459752399,0.0,,,0.0,16.40328666219638,0.0,,,100.0,68.04511654440095,,0.0,0.0,0.0,,0.0,9.237482360712177,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.018915321410342373,,0.0
rene bovino,,,75.75133441174187,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.008911921695499044,0.0,0.7921708173776928,frattaglie,,0.3713300706457935,,0.007921708173776928,0.0,0.0,0.0,0.2178469747788655,,4.554982199921733,,,,,4.554982199921733,,0.015843416347553856,,,,0.005743238425988273,,,100.0,,0.2277491099960867,,18.4,18.219928799686933,0.0008020729525949141,0.002227980423874761,,0.00014358096064970681,,0.17823843390998087,0.0003663790030371829,,,,,0.00034162366499413,,,0.012872775782387508,,0.002574555156477502,0.7921708173776928
biscotti secchi,,,2.0986224737474255,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.020986224737474253,57.52133416680443,80.89235716990075,cereali e derivati,,,,0.0008585273756239468,1.2591734842484552,1.2591734842484552,2.4801901962469572,0.14976533108106627,,7.5359625193657545,,,,,7.5359625193657545,,,,,,0.0004769596531244148,,,100.0,,0.13354870287483617,,6.6,6.295867421242275,,0.00018124466818727765,,,,0.3911069155620202,7.631354449990638e-05,,,,,,,,0.0,,,17.64750716560335
dentice surgelato,,,78.74377238508005,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.02949204958242698,0.0,0.688147823589963,prodotti della pesca,,,,0.0007864546555313864,0.0,0.0,0.0,0.18481684404987578,,3.440739117949815,,,,,3.440739117949815,,,,,,0.0032441254540669685,,,65.0,,,,17.2,16.908775093924806,,0.00014746024791213491,,,,,7.864546555313863e-05,,,,,,,,0.0,,,0.688147823589963
soia isolato proteico,,,5.170630816959669,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,4.653567735263702,legumi,,0.0,,,,,0.0,,,0.7238883143743536,,,,,0.7238883143743536,,,,,,,,,100.0,,,,86.5,89.45191313340227,,,,,,,,,,,,,,,,,,
bresaola,9.616161424397006,14.92981285526016,61.9066186119979,6.046213084438461,0.0,,6.685914810095774,0.0,0.030953309305998947,0.010317769768666317,,0.4333463302839852,0.08254215814933054,,,0.28889755352265684,0.8151038117246391,0.12381323722399579,0.051588848843331585,0.0,0.020635539537332635,,,0.04127107907466527,0.10317769768666317,0.0,0.11349546745532949,0.010317769768666317,0.0,0.007222438838066421,0.0,0.0,carni trasformate e conservate,1.1968612931652924,0.06912905745006433,4.343781072608519,0.002476264744479916,0.0,0.0,0.0,0.17333853211359412,4.477912079601181,2.6826201398532423,,5.251744812251155,4.271556684227854,8.65660883591104,2.6826201398532423,9.564572575553674,0.03508041721346548,,3.0850131608312283,1.1143191350159622,0.002476264744479916,,,100.0,0.4023930209779863,0.5210473733176489,3.8588458934812024,32.0,33.01686325973221,0.00015476654652999474,0.00023730870467932527,0.7738327326499737,,4.230285605153189,1.6477478320560106,0.0001238132372239958,3.6731260376452086,4.993800568034497,1.0627302861726304,5.5096890564678125,,,,0.0,,0.003992976900473864,0.0
peperoni verdi,,,92.86383143228116,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0161502315534402,0.0,6.056336832540075,verdure e ortaggi,,0.0,,0.0006056336832540076,,,,0.026244126274340328,,0.20187789441800255,,,,,0.20187789441800255,,,,,,,,,81.0,,,,0.7,0.7065726304630088,,3.028168416270038e-05,,,,,4.037557888360051e-05,,,,,0.00011809856823453147,,,0.1281924629554316,,,6.056336832540075
