name,"acidi grassi, monoinsaturi | g","acidi grassi, polinsaturi | g","acidi grassi, saturi | g",acido ascorbico (vit. c) | g,acido folico (vit. b9 o m o folacina) | g,acido pantotenico (vit. b5) | g,alpha-tocoferolo (vit. e) | g,amido | g,beta-sistosterolo | g,betaina | g,caffeina | g,calcio | g,calorie | kcal,campesterolo | g,carboidrati | g,"carotene, alfa | g","carotene, beta | g",category,cobalamina (vit. b12) | g,colesterolo | g,colina totale (vit. j) | g,"criptoxantina, beta | g",ferro | g,fibre | g,fillochinone (vit. k) | g,fitosteroli | g,fluoro | g,"folati, totali | g",folato alimentare | g,fosforo | g,galattosio | g,grassi | g,lattosio | g,licopene | g,luteina + zeaxantina | g,magnesio | g,manganese | g,niacina (vit. b3) | g,piridossina (vit. b6) | g,potassio | g,proteine | g,rame | g,retinolo (vit. a) | g,riboflavina (vit. b2) | g,selenio | g,sodio | g,stigmasterolo | g,teobromina | g,tiamina (vit. b1) | g,tocoferolo beta | g,tocoferolo delta | g,tocoferolo gamma | g,"vitamina b-12, aggiunta | g","vitamina e, aggiunta | g",zinco | g
"granarolo latte accadì - latte accadì scremato 0,1% di grassi con vitamine c, e, a, d3",,,,0.012,,,,,,,,0.12,33.0,,4.90000009536743,,,latticini e uova,,,,,,0.0,,,,,,,,0.0500000007450581,,,,,,,,,3.29999995231628,,0.00015999999999999999,,,0.05,,,,,,,,0.002,
colussi - sapori - divisione salutistica - bjorg mini gallette di riso al cioccolato fondente bio,,,,,,,,,,,,,495.0,,69.59999847412111,,,dolci,,,,,,,,,,,,,,20.1000003814697,,,,,,,,,5.900000095367429,,,,,,,,,,,,,,
kraft philadelphia light - panetto 80 grammi,,,11.5,,,,,,,,,,220.0,,3.0,,,latticini e uova,,,,,,0.30000001192092896,,,,,,,,18.0,,,,,,,,,10.0,,,,,0.3,,,,,,,,,
nestle - motta la cremeria - coppa spagnola,,,,,,,,,,,,,186.0,,34.0,,,dolci,,,,,,,,,,,,,,4.59999990463257,,,,,,,,,1.89999997615814,,,,,,,,,,,,,,
valsoia yosoi mora e germe di grano,,,,,,,,,,,,,88.0,,15.1999998092651,,,soia,,,,,,1.5,,,,,,,,1.60000002384186,,,,,,,,,3.20000004768372,,,,,,,,,,,,,,
ali di tacchino arrosto,,,,,,,8.999999999999999e-05,,,,0.0,,163.0,,,0.0,0.0,pollo,,0.10200000000000001,0.08470000000000001,0.0,,,3e-07,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
algida carte d'or desiderio alla nocciola,,,5.0,,,,,,,,,,220.0,,32.0,,,dolci,,,,,,1.5,,,,,,,,9.0,,,,,,,,,3.0,,,,,0.07,,,,,,,,,
merluzzo nero,,,,0.0,,,,,,,,,195.0,,,,,pesci,1.5e-06,0.049,,,,,,,,1.4999999999999999e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
maccheroni integrali crudi,,,,,,,,,,,,,348.0,,,,,cereali e pasta,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
carne di anatra,,,,,,,,,,,,,84.0,,,,,cibi etnici,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
algida kids shoots ice,,,8.0,,,,,,,,,,180.0,,20.0,,,dolci,,,,,,1.10000002384186,,,,,,,,10.0,,,,,,,,,3.5,,,,,0.07,,,,,,,,,
nestle - motta la cremeria - spagnola,,,3.20000004768372,,,,,,,,,,179.0,,31.5,,,dolci,,,,,,2.29999995231628,,,,,,,,4.90000009536743,,,,,,,,,2.09999990463257,,,,,0.04,,,,,,,,,
cappone di pollo con pelle,,,,0.0017,,,0.00032,,,,0.0,,234.0,,,0.0,0.0,pollo,3.4000000000000003e-07,0.075,,0.0,,,2.4e-06,,,6e-06,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,
mozzarella per pizza,,,,,,,0.00015,,,,0.0,,280.0,,,0.0,4.4e-05,latticini e uova,,0.054,0.0184,0.0,,,1.8e-06,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
"chili e fagioli, in barattolo",,,,0.0014,,,,,,,,,121.0,,,,,"pasti completi, antipasti e contorni",6.5e-07,0.013000000000000001,0.027100000000000003,,,,,,,2.6e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
granarolo linea granarolo - mascarpone cremoso granarolo,,,,,,,,,,,,,439.0,,2.5999999046325697,,,latticini e uova,,,,,,,,,,,,,,46.0,,,,,,,,,3.70000004768372,,,,,,,,,,,,,,
knorr magia di aromi soffritto,,,,,,,,,,,,,458.0,,41.0999984741211,,,spezie ed erbe,,,,,,,,,,,,,,29.0,,,,,,,,,6.599999904632571,,,,,,,,,,,,,,
"vino rosso, barbera",,,,,,,,,,,,,85.0,,,,,bevande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nettare di guava,,,,0.0197,,,5e-05,,,,,,57.0,,,0.0,1.7e-05,frutta e succhi,,,0.0011,8e-06,,,8e-07,,,3e-06,,,,,,1.8e-05,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,
granarolo - centrale del latte milano yogurt - yogurt centrale del latte di milano bianco dolce cremoso,,,,,,,,,,,,,95.0,,11.3000001907349,,,latticini e uova,,,,,,,,,,,,,,3.79999995231628,,,,,,,,,3.29999995231628,,,,,,,,,,,,,,
doria crackers doriano i classici 5 cereali,,,12.6999998092651,,,,,,,,,,469.0,,65.90000152587889,,,prodotti da forno,,,,,,3.70000004768372,,,,,,,,16.5,,,,,,,,,10.1000003814697,,,,,1.04,,,,,,,,,
nestle nero perugina - uovo nero,,,,,,,,,,,,,577.0,,48.2000007629395,,,dolci,,,,,,,,,,,,,,39.4000015258789,,,,,,,,,7.5,,,,,,,,,,,,,,
granarolo - yomo yogurt yomo desiderio crema di latte e mirtilli,,,,,,,,,,,,,119.0,,16.7000007629395,,,latticini e uova,,,,,,,,,,,,,,4.0,,,,,,,,,3.4000000953674303,,,,,,,,,,,,,,
stufato vegetariano,,,,,,,0.00049,,,,0.0,,123.0,,,0.0,0.000563,legumi e derivati,,0.0,0.0598,0.0,,,1.3e-06,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
"filet-o-fish senza salsa tartara, mcdonald's",,,,0.0001,,,,,,,,,243.0,,,,,fast food,8.1e-07,0.025,,,,,,,,5.6999999999999996e-05,,,,,,,,,,0.0027480000000000004,,,,,,0.000201,,,,,0.00028300000000000005,,,,,,
loacker minis napolitaner 150 grammi,,,,,,,,,,,,,511.0,,59.2999992370605,,,prodotti da forno,,,,,,,,,,,,,,27.100000381469695,,,,,,,,,7.5,,,,,,,,,,,,,,
"coscia di agnello, cruda",,,,0.0,,,0.00025,,,,,,201.0,,,,,"agnello, vitello, cacciagione",2.3399999999999996e-06,0.07200000000000001,,,,,,,,1.8999999999999998e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
pane grattuggiato,,,,0.0027,,,0.00026000000000000003,,,,,,383.0,,,0.0,0.000116,prodotti da forno,,0.001,,0.0,,,4.6e-05,,,0.00011899999999999999,,,,,,0.0,,,,,,,,,,,,,,,,5e-05,0.00025,0.00085,,,
"ciliege, sciroppo, zuccherato, in barattolo",,,,,,,0.00017,,,,0.0,,83.0,,,0.0,0.00014199999999999998,frutta e succhi,,0.0,0.0027,0.0,,,9e-07,,,,,,,,,0.0,5.6999999999999996e-05,,,,,,,,,,,,,0.0,,,,,,0.0,
purea di prugne,,,,0.0043,,0.00043,,,,,,,257.0,,,,,frutta e succhi,,0.0,,,,,,,,,,,,,,,,,,0.0025,,,,,,,,,,,4e-05,,,,,,
burrito con fagioli e formaggio,,,,0.0009000000000000001,,,,,,,,,203.0,,,,,fast food,4.8e-07,0.015,,,,,,,,3.9999999999999996e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
granarolo - centrale del latte milano dessert - crema alla vaniglia centrale del latte,,,,,,,,,,,,,137.0,,16.1000003814697,,,dolci,,,,,,,,,,,,,,5.699999809265139,,,,,,,,,5.1999998092651385,,,,,,,,,,,,,,
yogurt da latte intero,,,,,,,6e-05,,,,0.0,,61.0,,,0.0,4.9999999999999996e-06,latticini e uova,,0.013000000000000001,0.0152,0.0,,,2e-07,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
pasticiccini danesi alle noci,,,,,,,0.00082,,,,0.0,,430.0,,,1e-06,4e-06,prodotti da forno,,0.046,0.0218,1e-06,,,6.5999999999999995e-06,,,,,,,,,0.0,4.2e-05,,,,,,,,,,,,,0.0,,,,,,0.0,
pancake,,,,,,,0.00048,,,,0.0,,340.0,,,0.0,2e-06,prodotti da forno,,0.0,0.027600000000000003,0.0,,,3e-06,,,,,,,,,0.0,0.000154,,,,,,,,,,,,,0.0,,,,,,0.0,
"costarelle di agnello, brasato",,,,,,0.0006929999999999999,,,,,,0.015,210.0,,,,,"agnello, vitello, cacciagione",1.96e-06,0.08,,,0.0017800000000000001,,,,,,,0.195,,,,,,0.023,1.3e-05,0.006057000000000001,0.000421,0.302,,0.000143,,0.000297,9.699999999999999e-06,0.082,,,0.000143,,,,,,0.0037
kellogs cereali - kellogg's special k classic cioccolato fondente,,,,,,,,,,,,,399.0,,72.0,,,cereali per colazione,1.2699999809265099e-06,,,,0.00880000019073486,4.0,,,,,,,,7.0,,,,,,0.022899999618530308,0.0025,,12.0,,,0.002,,0.35000000000000003,,,0.00179999995231628,,,,,,
"caffe istantaneo in polvere, preparato con acqua",,,,0.0,,,0.0,,,,0.026000000000000002,,2.0,,,0.0,0.0,bevande,0.0,0.0,,0.0,,,0.0,,,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,0.0,0.0,
nestle - motta la cremeria - sorbetto limone,,,0.0,,,,,,,,,,103.0,,25.5,,,dolci,,,,,,1.20000004768372,,,,,,,,0.0,,,,,,,,,0.100000001490116,,,,,0.003,,,,,,,,,
loacker minis chocolat dark noir 114 grammi,,,,,,,,,,,,,515.0,,55.0,,,prodotti da forno,,,,,,,,,,,,,,29.399999618530305,,,,,,,,,7.699999809265139,,,,,,,,,,,,,,
agnesi ponte - pasta di semola corta - rigatoni,,,,,,,,,,,,,348.0,,71.5,,,cereali e pasta,,,,,,,,,,,,,,1.5,,,,,,,,,12.1999998092651,,,,,,,,,,,,,,
