name,"acidi grassi, monoinsaturi | g","acidi grassi, polinsaturi | g","acidi grassi, saturi | g",acido ascorbico (vit. c) | g,acido folico (vit. b9 o m o folacina) | g,acido pantotenico (vit. b5) | g,alpha-tocoferolo (vit. e) | g,amido | g,beta-sistosterolo | g,betaina | g,caffeina | g,calcio | g,calorie | kcal,campesterolo | g,carboidrati | g,"carotene, alfa | g","carotene, beta | g",category,cobalamina (vit. b12) | g,colesterolo | g,colina totale (vit. j) | g,"criptoxantina, beta | g",ferro | g,fibre | g,fillochinone (vit. k) | g,fitosteroli | g,fluoro | g,"folati, totali | g",folato alimentare | g,fosforo | g,galattosio | g,grassi | g,lattosio | g,licopene | g,luteina + zeaxantina | g,magnesio | g,manganese | g,niacina (vit. b3) | g,piridossina (vit. b6) | g,potassio | g,proteine | g,rame | g,retinolo (vit. a) | g,riboflavina (vit. b2) | g,selenio | g,sodio | g,stigmasterolo | g,teobromina | g,tiamina (vit. b1) | g,tocoferolo beta | g,tocoferolo delta | g,tocoferolo gamma | g,"vitamina b-12, aggiunta | g","vitamina e, aggiunta | g",zinco | g
nestle fruttolo - gusti misti,,,2.5,,,,,,,,,0.122,125.0,,16.2999992370605,,,dolci,,,,,,0.200000002980232,,,,,,,,3.79999995231628,,,,,,,,,6.300000190734861,,,,,0.03,,,,,,,,,
"fagioli cannellini, lessi",,,,,,,1e-05,,,,0.0,,140.0,,,0.0,0.0,legumi e derivati,,,0.044700000000000004,0.0,,,6e-07,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,8.999999999999999e-05,0.00128,,,
"vongole, in barattolo",,,,,,,0.00031,,,,0.0,,2.0,,,0.0,0.0,pesci,,0.003,0.013000000000000001,0.0,,,2e-07,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,1e-05,0.0,,0.0,
galbani - bel paese formaggini con grana padano d.o.p.,,,,,,,,,,,,0.26,230.0,,4.0,,,latticini e uova,,,,,,,,,,,,,,19.0,,,,,,,,,10.0,,,,,,,,,,,,,,
"cervo, carne cruda",,,,0.0,,,0.0002,,,,0.0,,120.0,,,0.0,0.0,"agnello, vitello, cacciagione",6.31e-06,0.085,,0.0,,,1.1e-06,,,4e-06,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,
"granchio, in umido",,,,0.0076,,,,,,,,,97.0,,,,,pesci,1.15e-05,0.053,,,,,,,,5.1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
loacker gardena chocolate 38 grammi,,,,,,,,,,,,,515.0,,56.5,,,prodotti da forno,,,,,,,,,,,,,,28.899999618530305,,,,,,,,,7.099999904632571,,,,,,,,,,,,,,
nestle nesquik duo,,,4.90000009536743,0.051000000000000004,0.00016999999999999999,0.00509999990463257,,,,,,0.267,402.0,,76.8000030517578,,,cereali per colazione,8.500000238418579e-07,,,,0.0118999996185303,4.40000009536743,,,,,,,,7.5,,,,,,0.015300000190734901,0.0017000000476837202,,6.900000095367429,,,0.00139999997615814,,0.2,,,0.0012000000476837201,,,,,,
knorr magia di aromi aglio e prezzemolo,,,,,,,,,,,,,448.0,,36.5999984741211,,,spezie ed erbe,,,,,,,,,,,,,,30.2000007629395,,,,,,,,,7.400000095367429,,,,,,,,,,,,,,
"tonno, cotto",,,,0.0,,,,,,,,,184.0,,,,,pesci,1.0880000000000001e-05,0.049,,,,,,,,2e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
granarolo - alta qualità yogurt ai cereali - yogurt cereali e prugne fatto con latte fresco pastorizzato di alta qualità,,,,,,,,,,,,,118.0,,17.0,,,latticini e uova,,,,,,,,,,,,,,3.9000000953674303,,,,,,,,,3.0,,,,,,,,,,,,,,
"tonno pinne gialle, cotto",,,,,,,0.00029,,,,0.0,,130.0,,,0.0,0.0,pesci,,0.047,0.0776,0.0,,,1e-07,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,
"merluzzo, nasello",,,,,,,0.00064,,,,0.0,,82.0,,,0.0,0.0,pesci,,0.043000000000000003,0.06520000000000001,0.0,,,1e-07,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,
crostata al cocco,,,,0.0006,,,,,,,,,276.0,,,,,prodotti da forno,2.0999999999999997e-07,0.023,,,,,,,,1.4999999999999999e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
doria frollini atene cacao e nocciola,,,8.80000019073486,,,,,,,,,,460.0,,68.6999969482422,,,prodotti da forno,,,,,,3.4000000953674303,,,,,,,,16.8999996185303,,,,,,,,,8.300000190734862,,,,,0.23,,,,,,,,,
algida cucciolone multipack cacao,,,2.5,,,,,,,,,,270.0,,46.0,,,dolci,,,,,,3.5,,,,,,,,7.0,,,,,,,,,6.0,,,,,0.09,,,,,,,,,
asparagi di bosco,,,,,,,,,,,,0.025,35.0,,,,,verdure,,0.0,,,0.0011,,,,,,,0.09,,,,,,,,0.0015,,0.198,,,0.000155,0.00043,,0.005,,,0.00013000000000000002,,,,,,
ferrero kinder délice - confezione 10 pz,,,16.5,,,,,,,,,0.12,460.0,,43.4000015258789,,,prodotti da forno,,,,,,4.40000009536743,,,,,,0.133,,29.2000007629395,,,,,,,,,5.800000190734861,,,,,0.093,,,,,,,,,
nestle baci cuore cuscino,,,,,,,,,,,,,571.0,,47.0,,,dolci,,,,,,,,,,,,,,39.4000015258789,,,,,,,,,7.0,,,,,,,,,,,,,,
granarolo - yomo rinforzo plus banane,,,,,,,,,,,,,72.0,,10.8999996185303,,,latticini e uova,,,,,,3.0,,,,,,,,1.70000004768372,,,,,,,,,2.5,,,,,,,,,,,,,,
"lombo di maiale, senza osso, magro",,,,,,,0.00013000000000000002,,,,0.0,,127.0,,,0.0,0.0,maiale,,0.066,0.0596,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,1e-05,4e-05,,0.0,
colussi gran turchese buoncacao con cereali,,,10.0,,,,,,,,,,475.0,,63.7000007629395,,,prodotti da forno,,,,,,,,,,,,,,20.6000003814697,,,,,,,,,8.80000019073486,,,,,,,,,,,,,,
zuppa di tacchino,,,,,,,0.00014000000000000001,,,,0.0,,55.0,,,2.7e-05,9.7e-05,"zuppe, salse e sughi",,0.004,0.012199999999999999,0.0,,,4.4e-06,,,,,,,,,0.0,4.4e-05,,,,,,,,,,,,,0.0,,,,,,0.0,
aceto di mele,,,,,,,0.0,,,,0.0,,21.0,,,0.0,0.0,spezie ed erbe,,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
succo di melograno,,,,,,,0.00038,,,,0.0,,54.0,,,0.0,0.0,frutta e succhi,,0.0,0.0048,0.0,,,1.04e-05,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
nestle - baby omogeneizzato di pollo,,,,,,,,,,,,,83.0,,4.0,,,cibi per bambini,,,,,,,,,,,,,,4.19999980926514,,,,,,,,,7.199999809265139,,,,,,,,,,,,,,
caffe moka in tazza,,,,,,,1e-05,,,,0.04,,1.0,,,0.0,0.0,bevande,,0.0,0.0026000000000000003,0.0,,,1e-07,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,1e-05,,0.0,
nestle nescafé dolce gusto cappuccino ice,,,,,,,,,,,,,411.0,,64.3000030517578,,,bevande,,,,,,,,,,,,,,10.3999996185303,,,,,,,,,15.3999996185303,,,,,,,,,,,,,,
nestle fruit joy - tropical,,,0.0,,,,,,,,,,333.0,,78.0999984741211,,,dolci,,,,,,0.0,,,,,,,,0.0,,,,,,,,,3.9000000953674303,,,,,0.2,,,,,,,,,
galbusera cerealicosì,6.400000095367429,4.0,8.5,,,,,41.2000007629395,,,,,424.0,,63.7000007629395,,,prodotti da forno,,,,,,6.0,,,,,,,,18.8999996185303,,,,,,,,,7.800000190734861,,,,,0.3,,,,,,,,,
galbani - santa lucia mascarpone,,,,,,,,,,,,,412.0,,4.8000001907348615,,,latticini e uova,,,,,,,,,,,,,,41.5,,,,,,,,,4.8000001907348615,,,,,,,,,,,,,,
barilla - mulino bianco panetti rugotti,,,7.0,,,,,,,,,,454.0,,61.0,,,prodotti da forno,,,,,,3.0,,,,,,,,17.5,,,,,,,,,13.0,,,,,1.0,,,,,,,,,
galbusera frollini novellino,6.099999904632571,2.9000000953674303,9.0,,,,,46.4000015258789,,,,,470.0,,71.4000015258789,,,prodotti da forno,,,,,,2.0,,,,,,,,18.0,,,,,,,,,5.599999904632571,,,,,0.2,,,,,,,,,
pizzelle,,,,0.0004,,,,,,,,,291.0,,,,,prodotti da forno,2.5e-07,0.069,,,,,,,,4.6e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
valsoia frollini alla soia cereali,,,,,,,,,,,,,472.0,,61.0999984741211,,,soia,,,,,,4.59999990463257,,,,,,,,20.5,,,,,,,,,10.8000001907349,,,,,,,,,,,,,,
"felce arborea, cotta, con sale",,,,,,,,,,,,,40.0,,,,,verdure,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"orzo perlato, cotto",,,,,,,1e-05,,,,0.0,,123.0,,,0.0,4.9999999999999996e-06,cereali e pasta,,0.0,0.0134,0.0,,,8e-07,,,,,,,,,0.0,5.6e-05,,,,,,,,,,,,,0.0,,,,,,0.0,
"aragosta, in umido",,,,0.0021000000000000003,,,,,,,,,143.0,,,,,pesci,4.0399999999999994e-06,0.09,,,,,,,,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
semola di granturco,,,,,,,0.00042,,,,0.0,,224.0,,,2.1e-05,3.2e-05,cereali e pasta,,0.0,0.0181,0.0,,,3e-07,,,,,,,,,0.0,0.0013549999999999999,,,,,,,,,,,,,0.0,,,,,,0.0,
pane di frumento,,,,0.0,,,,,,,,,260.0,,,,,prodotti da forno,2e-08,0.0,,,,,,,,6.1e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
kraft spuntì alla carne,,,2.2000000476837203,,,,,,,,,,149.0,,7.0,,,snacks,,,,,,0.5,,,,,,,,9.0,,,,,,,,,10.0,,,,,0.61,,,,,,,,,
colussi misura biscotti integrali senza zucchero aggiunto,,,7.400000095367429,,,,,,,,,,399.0,,63.4000015258789,,,prodotti da forno,,,,,,8.10000038146973,,,,,,,,15.6999998092651,,,,,,,,,8.60000038146973,,,,,0.2,,,,,,,,,
knorr dado gusto vegetale,,,,,,,,,,,,,262.0,,3.0,,,spezie ed erbe,,,,,,,,,,,,,,21.7000007629395,,,,,,,,,10.5,,,,,,,,,,,,,,
patatine light,,,,,,,0.00218,,,,0.0,,502.0,,,0.0,0.0,snacks,,0.0,0.0,0.0,,,7.2e-06,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
nestle nescafè - classic,,,0.100000001490116,,,,,,,,,,66.0,,9.0,,,bevande,,,,,,27.0,,,,,,,,0.200000002980232,,,,,,,,,7.0,,,,,0.1,,,,,,,,,
granarolo - centrale del latte milano yogurt - yogurt centrale del latte di milano banana,,,,,,,,,,,,,107.0,,15.1000003814697,,,latticini e uova,,,,,,,,,,,,,,3.5,,,,,,,,,3.0999999046325697,,,,,,,,,,,,,,
algida lemonissimo,,,0.0,,,,,,,,,,75.0,,19.0,,,dolci,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,
"fiorentina di manzo arrosto, carne scelta, semigrassa",,,,0.0,,,,,,,0.0,,331.0,,,0.0,0.0,bovino,3.37e-06,0.085,0.091,0.0,,,,,,8e-06,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,
"controfiletto di agnello, arrosto",,,,,,0.0009190000000000001,,,,,,0.011,244.0,,,,,"agnello, vitello, cacciagione",3.03e-06,0.088,,,0.0020299999999999997,,,,,,,0.202,,,,,,0.023,1.4e-05,0.005382999999999999,0.000425,0.309,,0.000147,,0.000386,5.7e-06,0.07,,,0.000126,,,,,,0.00443
granarolo linea granarolo - burro granarolo,,,,,,,,,,,,,752.0,,0.30000001192092896,,,latticini e uova,,,,,,,,,,,,,,83.0,,,,,,,,,0.400000005960464,,0.0009,,,,,,,,,,,,
"lombo di maiale, senza osso, brasato",,,,,,,0.00024,,,,0.0,,200.0,,,0.0,0.0,maiale,,0.07200000000000001,0.1,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
sciroppo di cioccolato,,,,,,,0.00263,,,,0.007,,350.0,,,0.0,0.0,dolci,,0.001,0.0055,0.0,,,2.4999999999999998e-06,,,,,,,,,0.0,4e-06,,,,,,,,,,,,,0.247,,,,,,0.0,
barilla - mulino bianco biscotti cuor di mela,,,7.900000095367429,,,,,,,,,,421.0,,65.3000030517578,,,prodotti da forno,,,,,,2.0,,,,,,,,15.5,,,,,,,,,5.0,,,,,0.1,,,,,,,,,
galbani - vallelata scamorza fresca,,,,,,,,,,,,0.78,288.0,,0.5,,,latticini e uova,,,,,,,,,,,,,,22.0,,,,,,,,,22.0,,,,,,,,,,,,,,
"chili, senza fagioli, in barattolo",,,,0.0018000000000000002,,0.000157,,,,,,0.03,118.0,,,,,"pasti completi, antipasti e contorni",1.02e-06,0.021,,,0.0020099999999999996,,,,,,,0.077,,,,,,0.02,0.00027600000000000004,0.0012450000000000002,0.00012900000000000002,0.185,,0.00018800000000000002,,0.000111,6.5e-06,0.389,,,3.1e-05,,,,,,0.0011200000000000001
kellogs snack - kellogg's extra snack di cereali dolce e salato,,,,,,,,,,,,,475.0,,49.0,,,snacks,,,,,,4.5,,,,,,,,25.0,,,,,,,,,14.0,,,,,0.35000000000000003,,,,,,,,,
"calamaro, cotto",,,,0.004200000000000001,,,,,,,,,175.0,,,,,pesci,1.2299999999999999e-06,0.26,,,,,,,,1.4e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
pomodori rossi,,,,,,,0.00068,,,,0.0,,17.0,,,0.0,7e-05,verdure,,0.0,0.007,0.0,,,2.8999999999999998e-06,,,,,,,,,0.002767,8.599999999999999e-05,,,,,,,,,,,,,0.0,,1e-05,0.0,5e-05,,0.0,
"lombata di manzo, carne scelta, cotta",,,,0.0,,,,,,,0.0,,299.0,,,0.0,0.0,bovino,2.1499999999999997e-06,0.074,0.0886,0.0,,,,,,7e-06,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,
spalla di maiale,,,,,,,0.00019,,,,0.0,,236.0,,,0.0,0.0,maiale,,0.07100000000000001,0.0606,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
colussi - sapori ricorrenze natale - torroncini di panforte,,,,,,,,,,,,,421.0,,64.1999969482422,,,prodotti da forno,,,,,,,,,,,,,,15.6000003814697,,,,,,,,,5.400000095367429,,,,,,,,,,,,,,
loacker sandwich milk-vanilla 30 grammi,,,,,,,,,,,,,505.0,,60.9000015258789,,,prodotti da forno,,,,,,,,,,,,,,25.600000381469695,,,,,,,,,7.699999809265139,,,,,,,,,,,,,,
torta di caffè alla frutta,,,,0.0008,,,,,,,,,311.0,,,,,prodotti da forno,2e-08,0.007,,,,,,,,4.7e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
barilla - mulino bianco biscotti batticuori,,,11.8999996185303,,,,,,,,,,469.0,,66.0,,,prodotti da forno,,,,,,3.70000004768372,,,,,,,,19.7999992370605,,,,,,,,,6.800000190734861,,,,,0.25,,,,,,,,,
budino al cocco,,,,,,,8e-05,,,,0.0,,389.0,,,0.0,0.0,dolci,,0.0,0.0039,0.0,,,1e-07,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
soia,,,,,,,,,,,,,122.0,,,,,soia,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
granarolo - prima natura bio yogurt prima natura bio bianco magro,,,,,,,,,,,,,47.0,,4.30000019073486,,,latticini e uova,,,,,,,,,,,,,,0.8999999761581421,,,,,,,,,4.8000001907348615,,,,,,,,,,,,,,
danone - activia 0.1 % lampone e fragoline di bosco,,,,,,,,,,,,,52.0,,7.5,,,latticini e uova,,,,,,1.20000004768372,,,,,,,,0.100000001490116,,,,,,,,,4.40000009536743,,,,,,,,,,,,,,
valsoia gelato fragola limone,,,,,,,,,,,,,155.0,,22.2000007629395,,,soia,,,,,,0.200000002980232,,,,,,,,6.300000190734861,,,,,,,,,2.4000000953674303,,,,,,,,,,,,,,
pane di segale,,,,,,,0.00033,,,,0.0,,258.0,,,0.0,4e-06,prodotti da forno,,0.0,0.0146,1e-06,,,1.2e-06,,,,,,,,,0.0,5.4e-05,,,,,,,,,,,,,0.0,,,,,,0.0,
farina di frumento tipo 00,,,,,,,0.00071,,,,0.0,,340.0,,,0.0,4.9999999999999996e-06,cereali e pasta,,0.0,0.0312,0.0,,,1.8999999999999998e-06,,,,,,,,,0.0,0.00021999999999999998,,,,,,,,,,,,,0.0,,0.00023,0.0,0.00191,,0.0,
citronella,,,,,,,,,0.004,,,,99.0,0.001,,0.0,3e-06,verdure,,0.0,,0.0,,,,0.006,,,,,,,,,,,,,,,,,,,,,0.001,,,,,,,,
"uovo di gallina, albume",,,,,,,0.0,,,,0.0,,52.0,,,0.0,0.0,latticini e uova,,0.0,0.0011,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
danone danacol - frutti rossi,,,0.6000000238418579,,,,,,,,,,97.5,,4.5,,,latticini e uova,,,,,,0.6000000238418579,,,,,,,,0.6000000238418579,,,,,,,,,3.5,,,,,0.04,,,,,,,,,
"carne di cinghiale, cruda",,,,0.0,,,,,,,,,122.0,,,,,"agnello, vitello, cacciagione",,,,,,,,,,,,,,,,,,,,0.004,,,,,,0.00011,,,,,0.00039000000000000005,,,,,,
nestle mare fresco - nodini di merluzzo,,,0.30000001192092896,,,,,,,,,,78.0,,0.200000002980232,,,pesci,,,,,,0.0,,,,,,,,1.0,,,,,,,,,17.0,,,,,0.116,,,,,,,,,
granarolo - yomo rinforzo plus fragole,,,,,,,,,,,,,78.0,,12.1999998092651,,,latticini e uova,,,,,,3.0,,,,,,,,1.79999995231628,,,,,,,,,2.5999999046325697,,,,,,,,,,,,,,
"pasticcio di carne e verdure, surgelato",,,,0.0003,,,0.00026000000000000003,,,,,,220.0,,,,,"pasti completi, antipasti e contorni",3.2e-07,0.021,0.019600000000000003,,,,2.7e-06,,,1.8e-05,,,,,,,,,,,,,,,,,,,,,,3e-05,0.00013000000000000002,0.00071,,,
amarene,,,,,,,7.000000000000001e-05,,,,0.0,,50.0,,,0.0,0.00077,frutta e succhi,,0.0,0.0060999999999999995,0.0,,,2.1e-06,,,,,,,,,0.0,8.499999999999999e-05,,,,,,,,,,,,,0.0,,,,,,0.0,
nestle quality street ballotin,,,,,,,,,,,,,470.0,,67.1999969482422,,,dolci,,,,,,,,,,,,,,20.5,,,,,,,,,3.5,,,,,,,,,,,,,,
"patate al forno, con sale",,,,,,,4e-05,,,,0.0,,93.0,,,0.0,0.0,verdure,,0.0,0.0145,0.0,,,3e-07,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
caramelle alla frutta,,,,,,,0.0,,,,0.0,,375.0,,,0.0,0.0,dolci,,0.0,0.0,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
proteine isolate della soia,,,,0.0,,,,,,,,,388.0,,,,,soia,0.0,0.0,,,,,,,,0.00019999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,
barilla - mulino bianco merende - saccottino con crema pasticcera,,,11.0,,,,,,,,,,423.0,,45.7999992370605,,,prodotti da forno,,,,,,2.0,,,,,,,,23.0,,,,,,,,,7.199999809265139,,,,,0.25,,,,,,,,,
pesce azzurro,,,,0.0,,,,,,,,,124.0,,,,,pesci,5.389999999999999e-06,0.059000000000000004,,,,,,,,2e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
kellogs cereali - kellogg's coco pops risociok,,,,,,,,,,,,,387.0,,85.0,,,cereali per colazione,8.299999833106991e-07,,,,0.008,2.0,,,,,,,,3.0,,,,,,0.0148999996185303,0.0017000000476837202,,5.0,,,0.00129999995231628,,0.5,,,0.0012000000476837201,,,,,,
zampa di maiale,,,,0.0,,,2e-05,,,,0.0,,212.0,,,0.0,0.0,maiale,5.2e-07,0.088,,0.0,,,0.0,,,9.999999999999999e-06,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,
petto di pollo arrosto,,,,,,,0.00027,,,,0.0,,165.0,,,0.0,0.0,pollo,,0.085,0.0853,0.0,,,3e-07,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
"zucca in barattolo, senza sale",,,,,,,0.0010600000000000002,,,,0.0,,34.0,,,0.004795,0.00694,verdure,,0.0,0.009800000000000001,0.0,,,1.6e-05,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
"snack salato uova e pancetta, per l'infanzia",,,,0.0009000000000000001,,,,,,,,,79.0,,,,,cibi per bambini,9e-08,0.094,,,,,,,,4e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
"sprite al limone, senza caffeina",,,,,,,0.0,,,,0.0,,40.0,,,0.0,0.0,bevande,,0.0,0.0004,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
barilla - mulino bianco merende - trancino,,,6.300000190734861,,,,,,,,,,361.0,,56.0,,,prodotti da forno,,,,,,1.5,,,,,,,,12.5,,,,,,,,,6.0,,,,,0.2,,,,,,,,,
agnesi pasta di semola gli speciali forno - lasagne,,,,,,,,,,,,,353.0,,71.8000030517578,,,cereali e pasta,,,,,,,,,,,,,,1.5,,,,,,,,,13.0,,,,,,,,,,,,,,
nestle - baby pappa con prosciutto e pastina,,,,,,,,,,,,,56.0,,8.0,,,cibi per bambini,,,,,,,,,,,,,,1.5,,,,,,,,,2.5,,,,,,,,,,,,,,
succo di pompelmo,,,,,,,0.00022,,,,0.0,,39.0,,,2e-06,4e-06,frutta e succhi,,0.0,0.0077,1e-06,,,0.0,,,,,,,,,0.0,9.999999999999999e-06,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,
granarolo - yomo yomo 100% naturale - yogurt yomo 100% naturale miele e pappa reale,,,,,,,,,,,,,115.0,,15.3999996185303,,,latticini e uova,,,,,,,,,,,,,,4.19999980926514,,,,,,,,,3.20000004768372,,,,,,,,,,,,,,
barilla - mulino bianco merende - flauti al cioccolato,,,11.0,,,,,,,,,,410.0,,46.5,,,prodotti da forno,,,,,,1.5,,,,,,,,21.5,,,,,,,,,7.5,,,,,0.14,,,,,,,,,
kraft philadelphia balance,,,3.20000004768372,,,,,,,,,0.25,109.0,,4.90000009536743,,,latticini e uova,,,,,,0.5,,,,,,,,4.59999990463257,,,,,,,,,11.0,,,,,0.4,,,,,,,,,
galbani - vallelata scamorza affumicata,,,,,,,,,,,,0.78,288.0,,0.5,,,latticini e uova,,,,,,,,,,,,,,22.0,,,,,,,,,22.0,,,,,,,,,,,,,,
latte uht intero,,,,0.0015,,,,,,,,,64.0,,,,,latticini e uova,3.6e-07,0.014,,,,,,0.0,,4.9999999999999996e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,
algida freddolone limone,,,,,,,,,,,,,60.0,,14.0,,,dolci,,,,,,0.0,,,,,,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,,
nespole,,,,0.001,,,,,,,,,47.0,,,,,frutta e succhi,0.0,0.0,,,,,,0.002,,1.4e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
danone - vitasnella gusti cereali - mirtilli e cereali,,,,,,,,,,,,,58.0,,8.80000019073486,,,latticini e uova,,,,,,1.70000004768372,,,,,,,,0.100000001490116,,,,,,,,,4.40000009536743,,,,,,,,,,,,,,
"filetto di manzo, crudo",,,,0.0,,,,,,,0.0,,274.0,,,0.0,0.0,bovino,2.6e-06,0.07,0.07579999999999999,0.0,,,,,,6e-06,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,0.0,,
nestle uovo principesse latte,,,,,,,,,,,,,533.0,,60.0,,,dolci,,,,,,,,,,,,,,29.7999992370605,,,,,,,,,6.300000190734861,,,,,,,,,,,,,,
pancetta di maiale,,,,,,,0.00027,,,,0.0,,458.0,,,0.0,0.0,maiale,,0.068,0.0466,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,2e-05,0.0,8e-05,,0.0,
loacker napolitaner streichcreme,,,,,,,,,,,,,531.0,,57.5999984741211,,,prodotti da forno,,,,,,,,,,,,,,30.5,,,,,,,,,6.5,,,,,,,,,,,,,,
ferrero duplo cuore fondente - pezzo singolo,,,18.5,,,,,,,,,,532.0,,47.7999992370605,,,dolci,,,,,,2.70000004768372,,,,,,0.143899993896484,,34.9000015258789,,,,,,,,,6.699999809265139,,,,,0.04,,,,,,,,,
"succo di arancia e pompelmo, non zuccherato",,,,,,,0.00014000000000000001,,,,0.0,,43.0,,,4e-06,1.9999999999999998e-05,frutta e succhi,,0.0,0.006200000000000001,9.8e-05,,,1e-07,,,,,,,,,0.0,7.3e-05,,,,,,,,,,,,,0.0,,,,,,0.0,
kellogs snack - kellogg's special k mini breaks cioccolato,,,,,,,,,,,,,414.0,,72.0,,,snacks,,,,,,3.0,,,,,,,,10.0,,,,,,,,,9.0,,,,,0.4,,,,,,,,,
knorr zuppa di ceci,,,,,,,,,,,,,100.0,,11.0,,,"pasti completi, antipasti e contorni",,,,,,,,,,,,,,4.0,,,,,,,,,5.3000001907348615,,,,,,,,,,,,,,
"burrito con carne, formaggio e chili piccante",,,,0.0012,,,,,,,,,208.0,,,,,fast food,6.800000000000001e-07,0.056,,,,,,,,4.6e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
"coscio di maiale, magro",,,,,,,0.00017,,,,0.0,,136.0,,,0.0,0.0,maiale,,0.068,0.0723,0.0,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,
granarolo - alta qualità yogurt - yogurt mirtilli con pezzi fatto con latte fresco alta qualità,,,,,,,,,,,,,106.0,,14.8999996185303,,,latticini e uova,,,,,,,,,,,,,,3.5,,,,,,,,,3.0999999046325697,,,,,,,,,,,,,,
"cereali alla banana con latte intero, per l'infanzia",,,,,,,0.00044,,,,0.0,,86.0,,,2e-06,8e-06,cibi per bambini,,0.01,0.0154,0.0,,,5e-07,,,,,,,,,0.0,1.2e-05,,,,,,,,,,,,,0.0,,0.0,0.0,0.0,,0.0,
lingua di maiale,,,,0.0044,,,0.00029,,,,0.0,,225.0,,,0.0,0.0,maiale,2.84e-06,0.101,,0.0,,,,0.0,,4e-06,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,0.0,0.0,
torrone alle mandorle,,,,,,,0.00277,,,,0.0,,398.0,,,0.0,0.0,dolci,,0.0,0.0050999999999999995,1e-06,,,0.0,,,,,,,,,0.0,1e-06,,,,,,,,,,,,,0.0,,,,,,0.0,
"siero di latte, acido, fluido",,,,0.0001,,,0.0,,,,0.0,,24.0,,,0.0,0.0,latticini e uova,1.8e-07,0.001,0.016,0.0,,,0.0,,,2e-06,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,,,,,
cuore di pollo bollito,,,,0.0018000000000000002,,,,,,,,,185.0,,,,,pollo,7.29e-06,0.242,,,,,,,,7.999999999999999e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,
