name,acqua | g,calorie | kcal,fibra alimentare | g,proteine totali | g,proteine animali | g,proteine vegetali | g,glucidi disponibili | g,glucidi solubili | g,amido | g,lipidi totali | g,lipidi animali | g,lipidi vegetali | g,lipidi saturi totali | g,acido oleico | g,monoinsaturi totali | g,acido linoleico | g,acido linolenico | g,altri polinsaturi | g,polinsaturi totali | g,colesterolo | g,alcool | g,ferro | g,calcio | g,sodio | g,potassio | g,fosforo | g,zinco | g,tiamina (vit.b1) | g,vitamina b6 | g,riboflavina | g,niacina (vit. pp) | g,vitamina c | g,acido folico | g,retinolo (equivalente) | g,retinolo | g,carotene | g,vitamina d | g,vitamina e | g
"salsiccia di suino, fresca",53.6,304.0,0.0,15.4,15.4,0.0,0.6,0.6,0.0,26.7,26.7,0.0,12.22,7.36,8.29,4.85,4.85,0.0,9.7,0.062,0.0,0.0028,0.02,1.1,0.2,0.17300000000000001,0.0012,0.00034,0.0,3e-05,0.004,0.0,0.001,0.0,0.0,0.0,0.0,0.00024
"soia [glycine max], semi",8.5,398.0,11.9,36.9,0.0,36.9,23.3,11.0,12.3,18.1,0.0,18.1,2.54,4.03,4.12,9.3,9.3,0.0,18.6,0.0,0.0,0.006900000000000001,0.257,0.004,1.74,0.591,0.0043,0.00099,0.0,0.0005200000000000001,0.0025,0.0,0.37,2e-06,0.0,1.2e-05,0.0,0.0029
merendine con marmellata,19.7,359.0,1.0,5.5,3.8,1.7,69.8,46.5,23.3,8.3,7.9,0.4,2.45,2.95,3.25,1.06,1.06,0.06,2.18,0.188,0.0,0.0008,0.011,0.13,0.098,0.055,0.0007,7.000000000000001e-05,0.0,0.00017,0.0003,0.0,0.013000000000000001,7.882999999999999e-05,7.4e-05,2.9e-05,5e-07,0.00073
gouda fresco,44.0,344.0,0.0,23.0,23.0,0.0,0.0,0.0,0.0,28.0,28.0,0.0,17.97,6.52,7.91,0.27,0.27,0.0,0.54,0.1,0.0,0.0005,0.56,1.25,0.1,0.35000000000000003,0.0018000000000000002,3e-05,0.0,0.0002,0.0001,0.001,0.0,0.00035999999999999997,0.00033,0.00017999999999999998,2.1999999999999998e-07,0.00048
ricotta magra tipo tedesco,81.0,72.0,0.0,13.5,13.5,0.0,4.1,4.1,0.0,0.2,0.2,0.0,0.12,0.05,0.06,0.0,0.0,0.0,0.0,0.032,0.0,0.0004,0.092,0.04,0.095,0.16,0.0006,4e-05,0.0,0.0003,0.0002,0.001,0.006,2.17e-06,2e-06,1e-06,3e-08,3e-05
"bovino, lessato in gelatina, in scatola",79.0,87.0,0.0,13.9,13.9,0.0,0.0,0.0,0.0,3.5,3.5,0.0,1.48,1.45,1.71,0.07,0.07,0.03,0.17,0.065,0.0,0.0017,0.02,0.9500000000000001,0.14,0.1,0.0056,0.00015,0.0,0.00017999999999999998,0.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0007800000000000001
asparagi di serra,92.0,24.0,2.1,3.0,0.0,3.0,3.0,3.0,0.0,0.1,0.0,0.1,0.02,0.0,0.0,0.04,0.04,0.0,0.08,0.0,0.0,0.001,0.024,0.002,0.278,0.065,0.0008,0.00027,0.0,0.00025,0.0009000000000000001,0.024,0.0,1.3e-05,0.0,7.8e-05,0.0,0.00116
salame felino,35.2,375.0,0.0,30.5,30.5,0.0,0.5,0.5,0.0,27.9,27.9,0.0,9.51,11.26,11.88,3.49,3.49,0.47,7.45,0.095,0.0,0.0021000000000000003,0.02,2.5020000000000002,0.716,0.356,0.0064,0.00034,0.0,0.00026000000000000003,0.0025,0.0,0.003,0.0,0.0,0.0,0.0,0.00028000000000000003
agretti [lepidum sativum],92.3,17.0,2.3,1.8,0.0,1.8,2.2,2.2,0.0,0.2,0.0,0.2,0.01,0.02,0.07,0.04,0.04,0.0,0.08,0.0,0.0,0.0012,0.131,0.014,0.606,0.034,0.0002,3e-05,0.0,0.00019,0.0008,0.024,0.0,0.000392,0.0,0.002352,0.0,0.0007
fichi [ficus carica],81.9,47.0,2.0,0.9,0.0,0.9,11.2,11.2,0.0,0.2,0.0,0.2,0.04,0.04,0.04,0.1,0.1,0.0,0.2,0.0,0.0,0.0005,0.043000000000000003,0.002,0.27,0.025,0.0002,3e-05,0.0,4e-05,0.0004,0.007,0.0,1.4999999999999999e-05,0.0,8.999999999999999e-05,0.0,0.0007700000000000001
spigola [morone labrax],79.0,82.0,0.0,16.5,16.5,0.0,0.6,0.6,0.0,1.5,1.5,0.0,0.24,0.24,0.36,0.0,0.0,0.3,0.3,0.064,0.0,0.0011,0.02,0.069,0.256,0.202,0.0003,0.00011,0.0,0.00016,0.003,0.0,0.009000000000000001,1.4999999999999999e-05,1.4999999999999999e-05,0.0,0.0,0.0005
"tortellini, secchi",12.3,389.0,2.0,15.7,11.6,4.1,61.0,2.7,58.3,10.8,10.4,0.4,4.84,3.48,3.84,0.98,0.98,0.05,2.01,0.271,0.0,0.0025,0.224,0.405,0.291,0.362,0.0036000000000000003,0.00032,0.0,0.00022,0.0028,0.0,0.038,0.0001595,0.000147,7.5e-05,1.08e-06,0.00086
pane di grano duro,31.0,245.0,9.8,10.1,0.0,10.1,49.1,2.5,46.6,2.3,0.0,2.3,0.41,0.3,0.31,0.85,0.85,0.0,1.7,0.0,0.0,0.0028,0.023,0.64,0.336,0.257,0.0032,0.00034,0.0,0.00012,0.0044,0.0,0.034,0.0,0.0,0.0,0.0,0.00079
asparagi di bosco [asparagus officinalis],89.3,35.0,2.6,4.6,0.0,4.6,4.0,4.0,0.0,0.2,0.0,0.2,0.05,0.01,0.01,0.08,0.08,0.0,0.16,0.0,0.0,0.0011,0.025,0.005,0.198,0.09,0.0009000000000000001,0.00013000000000000002,0.0,0.00043,0.0015,0.023,0.0,0.000155,0.0,0.0009299999999999999,0.0,0.0014399999999999999
piselli in scatola sgocciolati,76.0,53.0,9.7,5.8,0.0,5.8,6.8,2.0,4.8,0.8,0.0,0.8,0.29,0.24,0.24,0.08,0.08,0.0,0.16,0.0,0.0,0.0017,0.03,0.306,0.128,0.073,0.0011,0.00013000000000000002,0.0,0.0001,0.0021000000000000003,0.008,0.02,4.9999999999999996e-05,0.0,0.0003,0.0,0.00022
"succo di barbabietola, fresco",93.8,14.0,1.9,0.8,0.0,0.8,2.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003,0.014,0.06,0.214,0.015,0.0003,2e-05,0.0,1e-05,0.0001,0.0,0.07200000000000001,0.0,0.0,0.0,0.0,0.0
aragosta [palinurus elephas],78.1,86.0,0.0,16.2,16.2,0.0,0.0,0.0,0.0,1.9,1.9,0.0,0.3,0.26,0.35,0.02,0.02,0.72,0.76,0.164,0.0,0.0008,0.06,0.177,0.18,0.28,0.0057,0.00015,0.0,0.00017999999999999998,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.00147
"fagioli, secchi",10.7,311.0,17.0,23.6,0.0,23.6,51.7,4.0,47.7,2.5,0.0,2.5,0.5,0.19,0.19,0.58,0.58,0.0,1.16,0.0,0.0,0.0067,0.137,0.004,1.445,0.437,0.0034,0.0004,0.0,0.00017,0.0023,0.003,0.0,3e-06,0.0,1.8e-05,0.0,0.00093
aringa affumicata,62.5,194.0,0.0,19.9,19.9,0.0,0.0,0.0,0.0,12.7,12.7,0.0,2.53,1.79,6.56,0.17,0.17,1.67,2.01,0.082,0.0,0.0014,0.066,0.918,0.447,0.254,0.0014,0.00013000000000000002,0.0,0.00028000000000000003,0.0033,0.0,0.0,9e-06,9e-06,0.0,1.6e-05,0.001
sogliola [solea solea],79.5,86.0,0.0,16.9,16.9,0.0,0.8,0.8,0.0,1.7,1.7,0.0,0.22,0.16,0.33,0.0,0.0,0.87,0.87,0.057,0.0,0.0008,0.012,0.12,0.28,0.195,0.0004,5e-05,0.0,5e-05,0.0017,0.0,0.005,0.0,0.0,0.0,0.0,0.0004
"castrato, carne grassa",53.0,332.0,0.0,16.5,16.5,0.0,0.0,0.0,0.0,29.5,29.5,0.0,13.93,10.53,10.89,0.69,0.69,0.0,1.38,0.076,0.0,0.0016,0.008,0.058,0.25,0.157,0.0019,0.00012,0.0,0.00016,0.0039,0.0,0.0,1.4999999999999999e-05,1.4999999999999999e-05,0.0,4e-07,7.000000000000001e-05
